

164667 + Lcom/example/cwac_test/MainActivity; onCreate
164672 + Landroid/support/v7/app/ActionBarActivity; onCreate
164696 + Landroid/support/v4/app/FragmentActivity; onCreate
164696 - Landroid/support/v4/app/FragmentActivity; onCreate
164705 - Landroid/support/v7/app/ActionBarActivity; onCreate
164913 - Lcom/example/cwac_test/MainActivity; onCreate
164914 + Landroid/support/v4/app/FragmentActivity; onStart
164920 - Landroid/support/v4/app/FragmentActivity; onStart
164921 + Landroid/support/v4/app/FragmentActivity; onResume
164922 - Landroid/support/v4/app/FragmentActivity; onResume
164966 + Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu android.support.v7.internal.view.menu.MenuBuilder@460716c0
164975 - Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu
168960 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605db40
169041 - Lcom/example/cwac_test/MainActivity$1; onClick
170971 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605e440
171101 - Lcom/example/cwac_test/MainActivity$1; onClick
172439 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605ed00
172452 - Lcom/example/cwac_test/MainActivity$1; onClick
174290 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605db40
174325 - Lcom/example/cwac_test/MainActivity$1; onClick
176677 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4605ed00
176690 - Lcom/example/cwac_test/MainActivity$1; onClick
181222 + Landroid/support/v4/app/FragmentActivity; onPause
181224 - Landroid/support/v4/app/FragmentActivity; onPause
181689 + Landroid/support/v7/app/ActionBarActivity; onStop
181691 + Landroid/support/v4/app/FragmentActivity; onStop
181693 - Landroid/support/v4/app/FragmentActivity; onStop
181694 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
181698 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
181702 - Landroid/support/v7/app/ActionBarActivity; onStop
181703 + Landroid/support/v4/app/FragmentActivity; onDestroy
181706 - Landroid/support/v4/app/FragmentActivity; onDestroy
184156 + Lcom/example/cwac_test/MainActivity; onCreate
184157 + Landroid/support/v7/app/ActionBarActivity; onCreate
184158 + Landroid/support/v4/app/FragmentActivity; onCreate
184159 - Landroid/support/v4/app/FragmentActivity; onCreate
184161 - Landroid/support/v7/app/ActionBarActivity; onCreate
184230 - Lcom/example/cwac_test/MainActivity; onCreate
184231 + Landroid/support/v4/app/FragmentActivity; onStart
184233 - Landroid/support/v4/app/FragmentActivity; onStart
184234 + Landroid/support/v4/app/FragmentActivity; onResume
184235 - Landroid/support/v4/app/FragmentActivity; onResume
184265 + Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu android.support.v7.internal.view.menu.MenuBuilder@46014e48
184267 - Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu
185763 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4604e540
185780 - Lcom/example/cwac_test/MainActivity$1; onClick
190619 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
190620 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
190621 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
