

29711252 + Lcom/fsck/k9/activity/MessageList; onResume
29711253 + Lcom/fsck/k9/K9Activity; onResume
29711263 - Lcom/fsck/k9/K9Activity; onResume
29711418 - Lcom/fsck/k9/activity/MessageList; onResume
29714640 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@441a6d58
29714693 - Lcom/fsck/k9/activity/MessageList; onItemClick
29714693 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
29714695 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
29714695 + Lcom/fsck/k9/activity/MessageList; onPause
29714696 - Lcom/fsck/k9/activity/MessageList; onPause
29714706 + Lcom/fsck/k9/activity/MessageView; onCreate
29714706 + Lcom/fsck/k9/K9Activity; onCreate
29714710 - Lcom/fsck/k9/K9Activity; onCreate
29714766 - Lcom/fsck/k9/activity/MessageView; onCreate
29714766 + Lcom/fsck/k9/activity/MessageView; onResume
29714782 + Lcom/fsck/k9/K9Activity; onResume
29714790 - Lcom/fsck/k9/K9Activity; onResume
29714796 - Lcom/fsck/k9/activity/MessageView; onResume
29718504 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@44276d40
29718510 - Lcom/fsck/k9/activity/MessageView; onClick
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
29722600 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4422d5a8
29722608 - Lcom/fsck/k9/activity/MessageView; onClick
29725991 + Lcom/fsck/k9/activity/MessageView; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44359a00
29726010 - Lcom/fsck/k9/activity/MessageView; onCreateOptionsMenu
29729847 + Lcom/fsck/k9/activity/MessageView; onOptionsItemSelected Mark as unread
29729909 - Lcom/fsck/k9/activity/MessageView; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
29733817 + Lcom/fsck/k9/activity/MessageList; onResume
29733818 + Lcom/fsck/k9/K9Activity; onResume
29733821 - Lcom/fsck/k9/K9Activity; onResume
29733939 - Lcom/fsck/k9/activity/MessageList; onResume
29737479 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441941b0
29737505 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
29741355 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
29741355 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
29744952 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
29744958 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
29745554 + Lcom/fsck/k9/service/MailService; onCreate
29745556 - Lcom/fsck/k9/service/MailService; onCreate
29745621 + Lcom/fsck/k9/service/MailService; onDestroy
29745622 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
29752524 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
29752525 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
29759899 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
29759899 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
29764247 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
29764251 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
29767605 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@44284740
29767609 - Lcom/fsck/k9/activity/MessageList; onClick
