



274770 + Lcom/fsck/k9/service/MailService; onCreate
274772 - Lcom/fsck/k9/service/MailService; onCreate
274799 + Lcom/fsck/k9/service/MailService; onDestroy
274800 - Lcom/fsck/k9/service/MailService; onDestroy
309408 + Lcom/fsck/k9/activity/MessageList; onResume
309409 + Lcom/fsck/k9/K9Activity; onResume
309411 - Lcom/fsck/k9/K9Activity; onResume
309617 - Lcom/fsck/k9/activity/MessageList; onResume
312982 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
313011 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
313012 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
313013 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
313014 + Lcom/fsck/k9/activity/MessageList; onPause
313014 - Lcom/fsck/k9/activity/MessageList; onPause
313027 + Lcom/fsck/k9/activity/MessageCompose; onCreate
313027 + Lcom/fsck/k9/K9Activity; onCreate
313029 - Lcom/fsck/k9/K9Activity; onCreate
313093 - Lcom/fsck/k9/activity/MessageCompose; onCreate
313095 + Lcom/fsck/k9/activity/MessageCompose; onResume
313095 + Lcom/fsck/k9/K9Activity; onResume
313097 - Lcom/fsck/k9/K9Activity; onResume
313098 - Lcom/fsck/k9/activity/MessageCompose; onResume
315595 + Lcom/fsck/k9/activity/MessageCompose; onPause
315596 - Lcom/fsck/k9/activity/MessageCompose; onPause
315613 + Lcom/fsck/k9/activity/MessageList; onResume
315613 + Lcom/fsck/k9/K9Activity; onResume
315615 - Lcom/fsck/k9/K9Activity; onResume
315665 - Lcom/fsck/k9/activity/MessageList; onResume
317535 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
317536 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
320052 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
320058 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
320059 + Lcom/fsck/k9/activity/MessageList; onPause
320062 - Lcom/fsck/k9/activity/MessageList; onPause
