



3396617 - Lcom/fsck/k9/activity/FolderList; onResume
Ljava/net/Socket;->connectV
3396701 + Lcom/fsck/k9/service/MailService; onDestroy
3396704 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
3398267 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
3398269 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
3398278 + Lcom/fsck/k9/activity/FolderList; onPause
3398279 - Lcom/fsck/k9/activity/FolderList; onPause
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
3430574 + Lcom/fsck/k9/activity/FolderList; onResume
3430575 + Lcom/fsck/k9/K9ListActivity; onResume
3430577 - Lcom/fsck/k9/K9ListActivity; onResume
3430675 - Lcom/fsck/k9/activity/FolderList; onResume
3434607 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@4403ae00
3434741 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
3434741 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
3434747 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
3434747 + Lcom/fsck/k9/activity/FolderList; onPause
3434748 - Lcom/fsck/k9/activity/FolderList; onPause
3434757 + Lcom/fsck/k9/activity/MessageList; onCreate
3434758 + Lcom/fsck/k9/K9Activity; onCreate
3434761 - Lcom/fsck/k9/K9Activity; onCreate
3434794 - Lcom/fsck/k9/activity/MessageList; onCreate
3434794 + Lcom/fsck/k9/activity/MessageList; onResume
3434795 + Lcom/fsck/k9/K9Activity; onResume
3434797 - Lcom/fsck/k9/K9Activity; onResume
3434890 - Lcom/fsck/k9/activity/MessageList; onResume
3435917 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@43f585a8
3435943 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
3438456 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
3438466 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3438468 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3438471 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3438472 + Lcom/fsck/k9/activity/MessageList; onPause
3438473 - Lcom/fsck/k9/activity/MessageList; onPause
3438496 + Lcom/fsck/k9/activity/MessageCompose; onCreate
3438497 + Lcom/fsck/k9/K9Activity; onCreate
3438501 - Lcom/fsck/k9/K9Activity; onCreate
3438556 - Lcom/fsck/k9/activity/MessageCompose; onCreate
3438557 + Lcom/fsck/k9/activity/MessageCompose; onResume
3438557 + Lcom/fsck/k9/K9Activity; onResume
3438559 - Lcom/fsck/k9/K9Activity; onResume
3438560 - Lcom/fsck/k9/activity/MessageCompose; onResume
3440878 + Lcom/fsck/k9/activity/MessageCompose; onPause
3440879 - Lcom/fsck/k9/activity/MessageCompose; onPause
3440893 + Lcom/fsck/k9/activity/MessageList; onResume
3440894 + Lcom/fsck/k9/K9Activity; onResume
3440895 - Lcom/fsck/k9/K9Activity; onResume
3440983 - Lcom/fsck/k9/activity/MessageList; onResume
3449481 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
3449484 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3452037 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
3452048 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3454131 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
3454133 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3456220 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
3456222 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3456450 + Lcom/fsck/k9/service/MailService; onCreate
3456451 - Lcom/fsck/k9/service/MailService; onCreate
3456502 + Lcom/fsck/k9/service/MailService; onDestroy
3456503 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
3457003 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@440c6100
3457004 - Lcom/fsck/k9/activity/MessageList; onClick
3459527 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
3459555 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3459556 + Lcom/fsck/k9/activity/MessageList; onPause
3459557 - Lcom/fsck/k9/activity/MessageList; onPause
3459576 + Lcom/fsck/k9/activity/FolderList; onCreate
3459580 + Lcom/fsck/k9/K9ListActivity; onCreate
3459582 - Lcom/fsck/k9/K9ListActivity; onCreate
3459611 - Lcom/fsck/k9/activity/FolderList; onCreate
3459612 + Lcom/fsck/k9/activity/FolderList; onResume
3459617 + Lcom/fsck/k9/K9ListActivity; onResume
3459619 - Lcom/fsck/k9/K9ListActivity; onResume
3459764 - Lcom/fsck/k9/activity/FolderList; onResume
3463177 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@4403a2b8
3463212 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
3463213 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
3463215 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
3463217 + Lcom/fsck/k9/activity/FolderList; onPause
3463218 - Lcom/fsck/k9/activity/FolderList; onPause
3463242 + Lcom/fsck/k9/activity/MessageList; onCreate
3463243 + Lcom/fsck/k9/K9Activity; onCreate
3463246 - Lcom/fsck/k9/K9Activity; onCreate
3463272 - Lcom/fsck/k9/activity/MessageList; onCreate
3463272 + Lcom/fsck/k9/activity/MessageList; onResume
3463273 + Lcom/fsck/k9/K9Activity; onResume
3463274 - Lcom/fsck/k9/K9Activity; onResume
3463351 - Lcom/fsck/k9/activity/MessageList; onResume
3464407 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441e4678
3464421 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
3465743 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
3465745 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
