--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    ( 3704): 17956707 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    ( 3704): 17956708 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 17956709 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 17956823 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    ( 3704): 17961987 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17961991 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17962004 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17962005 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17962028 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17962031 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17962059 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17962060 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17962062 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17962064 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17962209 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@440e82e0
V/DBox    ( 3704): 17962246 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    ( 3704): 17962246 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    ( 3704): 17962251 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    ( 3704): 17962252 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    ( 3704): 17962253 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    ( 3704): 17962265 + Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    ( 3704): 17962265 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    ( 3704): 17962268 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    ( 3704): 17962380 - Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    ( 3704): 17962380 + Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    ( 3704): 17962381 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 17962388 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 17962389 - Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    ( 3704): 17969823 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    ( 3704): 17969823 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 17969835 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 17970026 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    ( 3704): 17974555 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    ( 3704): 17974555 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    ( 3704): Ljava/net/Socket;->closeV
V/DBox    ( 3704): 17974675 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    ( 3704): 17974675 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    ( 3704): Ljava/net/Socket;->connectV
V/DBox    ( 3704): 17975262 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975265 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975277 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
