
V/DBox    (32575): 121059587 + Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (32575): 121059588 - Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (32575): 121059588 + Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (32575): 121059588 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (32575): 121059588 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (32575): 121059589 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (32575): 121059589 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (32575): 121059589 - Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (32575): 121059589 + Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (32575): 121059590 - Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (32575): 121062206 + Lcom/gindin/zmanim/android/ZmanimActivity; onOptionsItemSelected Preferences
V/DBox    (32575): 121062210 - Lcom/gindin/zmanim/android/ZmanimActivity; onOptionsItemSelected
V/DBox    (32575): 121062220 + Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (32575): 121062220 - Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (32575): 121062225 + Lcom/gindin/zmanim/android/prefs/PersonalPreferences; onCreate
V/DBox    (32575): 121062275 - Lcom/gindin/zmanim/android/prefs/PersonalPreferences; onCreate
V/DBox    (32575): 121062706 + Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (32575): 121062706 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (32575): 121062706 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (32575): 121062707 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (32575): 121062707 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (32575): 121062708 - Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (32575): 121067090 + Lcom/gindin/zmanim/android/ZmanimActivity; onDestroy
V/DBox    (32575): 121067091 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onDestroy
V/DBox    (32575): 121067091 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onDestroy
V/DBox    (32575): 121067091 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onDestroy
V/DBox    (32575): 121067092 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onDestroy
V/DBox    (32575): 121067092 + Lcom/gindin/zmanim/android/ZmanimDisplay; onDestroy
V/DBox    (32575): 121067093 - Lcom/gindin/zmanim/android/ZmanimDisplay; onDestroy
V/DBox    (  531): 121078745 + Lcom/gindin/zmanim/android/ZmanimActivity; onCreate
V/DBox    (  531): Landroid/location/LocationManager;->getBestProviderLjava/lang/String;=passive
V/DBox    (  531): Landroid/location/LocationManager;->requestLocationUpdatesV
V/DBox    (  531): Landroid/location/LocationManager;->getLastKnownLocationLandroid/location/Location;=null
V/DBox    (  531): 121078836 - Lcom/gindin/zmanim/android/ZmanimActivity; onCreate
V/DBox    (  531): 121078836 + Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121078837 - Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121078837 + Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  531): 121078837 - Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  531): Landroid/location/Geocoder;-><init>V
V/DBox    (  531): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  531): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  531): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  531): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  531): Landroid/location/Location;-><init>V
V/DBox    (  531): Landroid/location/Location;->setAccuracyV
V/DBox    (  531): Landroid/location/Location;->setAltitudeV
V/DBox    (  531): Landroid/location/Location;->setBearingV
V/DBox    (  531): Landroid/location/Location;->setLatitudeV
V/DBox    (  531): Landroid/location/Location;->setLongitudeV
V/DBox    (  531): Landroid/location/Location;->setSpeedV
V/DBox    (  531): Landroid/location/Location;->setTimeV
V/DBox    (  531): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  531): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  531): Landroid/location/Location;-><init>V
V/DBox    (  531): Landroid/location/Location;->setAccuracyV
V/DBox    (  531): Landroid/location/Location;->setAltitudeV
V/DBox    (  531): Landroid/location/Location;->setBearingV
V/DBox    (  531): Landroid/location/Location;->setLatitudeV
V/DBox    (  531): Landroid/location/Location;->setLongitudeV
V/DBox    (  531): Landroid/location/Location;->setSpeedV
V/DBox    (  531): Landroid/location/Location;->setTimeV
V/DBox    (  531): Landroid/location/Location;->getExtrasLandroid/os/Bundle;=null
V/DBox    (  531): Landroid/location/Location;->getLatitudeD=40.00646179
V/DBox    (  531): Landroid/location/Location;->getLongitudeD=-83.01608146
V/DBox    (  531): Landroid/location/Location;->getLatitudeD=40.00646179
V/DBox    (  531): Landroid/location/Location;->getLongitudeD=-83.01608146
V/DBox    (  531): Landroid/location/Location;->getProviderLjava/lang/String;=gps
V/DBox    (  531): Landroid/location/Location;->getTimeJ=1415602095000
V/DBox    (  531): Landroid/location/Location;->getLatitudeD=40.00646179
V/DBox    (  531): Landroid/location/Location;->getLongitudeD=-83.01608146
V/DBox    (  531): Landroid/location/Location;->hasAltitudeZ=true
V/DBox    (  531): Landroid/location/Location;->getAltitudeD=204.0
V/DBox    (  531): Landroid/location/Location;->hasAccuracyZ=true
V/DBox    (  531): Landroid/location/Location;->getAccuracyF=41.0
V/DBox    (  531): 121083914 + Lcom/gindin/zmanim/android/ZmanimActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4283dd18
V/DBox    (  531): 121083917 - Lcom/gindin/zmanim/android/ZmanimActivity; onCreateOptionsMenu
V/DBox    (  531): 121087503 + Lcom/gindin/zmanim/android/ZmanimActivity; onOptionsItemSelected Location
V/DBox    (  531): 121087508 - Lcom/gindin/zmanim/android/ZmanimActivity; onOptionsItemSelected
V/DBox    (  531): 121087515 + Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121087515 - Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121087519 + Lcom/gindin/zmanim/android/prefs/EditLocationProviderPreferences; onCreate
V/DBox    (  531): 121087568 - Lcom/gindin/zmanim/android/prefs/EditLocationProviderPreferences; onCreate
V/DBox    (  531): 121088019 + Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121088020 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121088020 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121088021 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121088022 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121088022 - Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121089023 + Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (  531): 121089024 - Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (  531): 121089024 + Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121089024 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (  531): 121089025 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (  531): 121089025 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (  531): 121089025 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (  531): 121089026 - Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121089026 + Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  531): 121089027 - Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  531): 121090646 + Lcom/gindin/zmanim/android/ZmanimActivity; onOptionsItemSelected Preferences
V/DBox    (  531): 121090650 - Lcom/gindin/zmanim/android/ZmanimActivity; onOptionsItemSelected
V/DBox    (  531): 121090657 + Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121090657 - Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121090660 + Lcom/gindin/zmanim/android/prefs/PersonalPreferences; onCreate
V/DBox    (  531): 121090679 - Lcom/gindin/zmanim/android/prefs/PersonalPreferences; onCreate
V/DBox    (  531): 121091084 + Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121091085 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121091085 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121091086 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121091086 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121091086 - Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121091806 + Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (  531): 121091807 - Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (  531): 121091807 + Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121091807 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (  531): 121091807 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (  531): 121091808 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (  531): 121091808 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (  531): 121091808 - Lcom/gindin/zmanim/android/ZmanimActivity; onStart
