* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  373): 46272 + Lcom/fsck/k9/provider/AttachmentProvider; onCreate
V/DBox    (  373): 46279 - Lcom/fsck/k9/provider/AttachmentProvider; onCreate
V/DBox    (  373): 46299 + Lcom/fsck/k9/K9; onCreate
V/DBox    (  373): 46565 - Lcom/fsck/k9/K9; onCreate
V/DBox    (  373): 46585 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  373): 46586 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): 49715 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  373): 49716 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  547): 54842 + Lcom/google/android/apps/mytracks/content/MyTracksProvider; onCreate
V/DBox    (  547): 54863 - Lcom/google/android/apps/mytracks/content/MyTracksProvider; onCreate
V/DBox    (  547): 55003 + Lcom/google/android/apps/mytracks/services/TrackRecordingService; onCreate
V/DBox    (  547): Landroid/location/LocationManager;->requestLocationUpdatesV
V/DBox    (  547): 55064 - Lcom/google/android/apps/mytracks/services/TrackRecordingService; onCreate
V/DBox    (  547): 55080 + Lcom/google/android/apps/mytracks/services/TrackRecordingService; onDestroy
V/DBox    (  547): Landroid/location/LocationManager;->removeUpdatesV
V/DBox    (  547): 55112 - Lcom/google/android/apps/mytracks/services/TrackRecordingService; onDestroy
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 66977 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  373): 66977 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  373): 67019 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): 67478 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): 67528 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  373): 67528 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  373): 67538 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): 67863 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  373): 67863 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  373): 67864 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  373): 67872 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  373): 67905 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 71574 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@43fad6d0
V/DBox    (  373): 71601 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): 75634 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4400f060
V/DBox    (  373): 75799 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 77324 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 77627 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 77923 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  373): 77924 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  373): 77930 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  373): 77933 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
