--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  535): 242972 + Lcom/example/cwac_test/MainActivity; onCreate
V/DBox    (  535): 242973 + Landroid/support/v7/app/ActionBarActivity; onCreate
V/DBox    (  535): 242991 + Landroid/support/v4/app/FragmentActivity; onCreate
V/DBox    (  535): 242992 - Landroid/support/v4/app/FragmentActivity; onCreate
V/DBox    (  535): 242999 - Landroid/support/v7/app/ActionBarActivity; onCreate
V/DBox    (  535): 243176 - Lcom/example/cwac_test/MainActivity; onCreate
V/DBox    (  535): 243177 + Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 243185 - Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 243186 + Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 243186 - Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 243270 + Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu android.support.v7.internal.view.menu.MenuBuilder@46082110
V/DBox    (  535): 243290 - Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu
V/DBox    (  535): 246884 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460bbba0
V/DBox    (  535): 246920 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 249253 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
V/DBox    (  535): 249313 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 252463 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 252479 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 256084 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
V/DBox    (  535): 256115 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 258757 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 258777 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 261651 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 261654 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 261666 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 261669 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 261673 + Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 261677 - Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 262143 + Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 262145 + Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 262148 - Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 262153 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 262155 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 262158 - Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 265349 + Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 265350 - Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 265350 + Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 265350 - Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 266905 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460bbba0
V/DBox    (  535): 266928 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 268779 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 268793 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 271163 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
V/DBox    (  535): 271210 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 273618 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 273646 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 276797 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 276805 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 281005 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
V/DBox    (  535): 281037 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 283626 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 283628 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 283640 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 283643 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 283645 + Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 283648 - Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 284123 + Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 284124 + Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 284128 - Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 284134 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 284136 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 284137 - Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 288052 + Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 288053 - Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 288053 + Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 288054 - Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 293685 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 293686 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 293690 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 293703 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 293704 + Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 293705 - Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 294155 + Landroid/support/v7/app/ActionBarActivity; onStop
