--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  552): 50500 < Lcom/commonsware/cwac/wakeful/demo/AppService; releaseWakeLock
V/DBox    (  552): 50582 > Lcom/commonsware/cwac/wakeful/demo/AppService; acquireWakeLock
V/DBox    (  552): 50621 + Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork Intent { cmp=com.commonsware.cwac.wakeful.demo/.AppService }
V/DBox    (  552): 50893 - Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork
V/DBox    (  552): 50903 < Lcom/commonsware/cwac/wakeful/demo/AppService; releaseWakeLock
V/DBox    (  552): 57877 > Lcom/commonsware/cwac/wakeful/demo/AppService; acquireWakeLock
V/DBox    (  552): 57900 + Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork Intent { cmp=com.commonsware.cwac.wakeful.demo/.AppService }
V/DBox    (  552): 57919 - Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork
V/DBox    (  552): 57921 < Lcom/commonsware/cwac/wakeful/demo/AppService; releaseWakeLock
V/DBox    (  552): 67883 > Lcom/commonsware/cwac/wakeful/demo/AppService; acquireWakeLock
V/DBox    (  552): 67917 + Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork Intent { cmp=com.commonsware.cwac.wakeful.demo/.AppService }
V/DBox    (  552): 67923 - Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork
V/DBox    (  552): 67925 < Lcom/commonsware/cwac/wakeful/demo/AppService; releaseWakeLock
V/DBox    (  552): 77881 > Lcom/commonsware/cwac/wakeful/demo/AppService; acquireWakeLock
V/DBox    (  552): 77892 + Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork Intent { cmp=com.commonsware.cwac.wakeful.demo/.AppService }
V/DBox    (  552): 77915 - Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork
V/DBox    (  552): 77916 < Lcom/commonsware/cwac/wakeful/demo/AppService; releaseWakeLock
V/DBox    (  552): 87884 > Lcom/commonsware/cwac/wakeful/demo/AppService; acquireWakeLock
V/DBox    (  552): 87903 + Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork Intent { cmp=com.commonsware.cwac.wakeful.demo/.AppService }
V/DBox    (  552): 87927 - Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork
V/DBox    (  552): 87929 < Lcom/commonsware/cwac/wakeful/demo/AppService; releaseWakeLock
V/DBox    (  552): 97884 > Lcom/commonsware/cwac/wakeful/demo/AppService; acquireWakeLock
V/DBox    (  552): 97913 + Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork Intent { cmp=com.commonsware.cwac.wakeful.demo/.AppService }
V/DBox    (  552): 97924 - Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork
V/DBox    (  552): 97926 < Lcom/commonsware/cwac/wakeful/demo/AppService; releaseWakeLock
V/DBox    (  552): 107878 > Lcom/commonsware/cwac/wakeful/demo/AppService; acquireWakeLock
V/DBox    (  552): 107898 + Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork Intent { cmp=com.commonsware.cwac.wakeful.demo/.AppService }
V/DBox    (  552): 107906 - Lcom/commonsware/cwac/wakeful/demo/AppService; doWakefulWork
V/DBox    (  552): 107909 < Lcom/commonsware/cwac/wakeful/demo/AppService; releaseWakeLock
V/DBox    (  552): 117888 > Lcom/commonsware/cwac/wakeful/demo/AppService; acquireWakeLock
