--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  564): 57739 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  564): 57771 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  564): 57777 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  564): 57777 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  564): 57784 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  564): 57784 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  564): 57786 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  564): 57786 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  564): 57793 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  564): 57793 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  564): 57802 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  564): 57802 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  564): 57804 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  564): 57804 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  564): 57810 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  564): 57811 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  564): 57817 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  564): 57818 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  564): 57835 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  564): 58449 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  564): 58461 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  564): 58469 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  564): 58618 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  564): 58618 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 58619 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 58626 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 58639 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 58648 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  564): 58651 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  564): 58653 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 58674 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 58685 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 58715 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 58716 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 58730 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 58731 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 58751 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 59276 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  564): 59279 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  564): 59357 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 59380 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  564): 59382 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 59383 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 59422 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 61900 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 61937 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 61938 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@43f506b8
V/DBox    (  564): 61939 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  564): 62659 + Lcom/facebook/katana/HomeActivity$4; onItemClick android.widget.ListView@43f55238
V/DBox    (  564): 62727 - Lcom/facebook/katana/HomeActivity$4; onItemClick
V/DBox    (  564): 62771 + Lcom/facebook/katana/HomeActivity; onPause
