* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  648): 596158 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  648): 596190 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  648): 596195 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  648): 596195 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  648): 596197 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  648): 596198 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  648): 596199 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  648): 596199 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  648): 596207 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  648): 596207 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  648): 596214 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  648): 596214 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  648): 596216 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  648): 596216 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  648): 596224 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  648): 596225 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  648): 596228 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  648): 596229 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  648): 596246 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  648): 596691 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  648): 596702 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  648): 596710 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  648): 596820 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  648): 596821 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 596821 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 596827 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 596837 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 596845 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  648): 596845 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  648): 596846 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 596864 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 596881 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 596907 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 596907 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 596921 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 596925 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 596944 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 597184 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  648): 597184 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  648): 597674 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 597682 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  648): 597682 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 597683 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 597693 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 598376 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 598387 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 598389 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 598393 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 598395 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 598396 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 598397 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 598399 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 599419 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 599420 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  648): 599422 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 599423 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 599435 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 599780 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 599804 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600878 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600927 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600929 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600930 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600932 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600934 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600935 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600937 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 600938 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@43f15ce0
V/DBox    (  648): 600939 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  648): 601671 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 601745 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 601983 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 602002 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 602413 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 602432 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 602834 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 602858 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603145 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603211 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603601 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603620 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603826 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603867 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604136 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604171 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604415 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604472 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604743 + Lcom/facebook/katana/service/FacebookService; onStart
