--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  566): 52997 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  566): 53048 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  566): 53053 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  566): 53053 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  566): 53061 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  566): 53062 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  566): 53065 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  566): 53065 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  566): 53077 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  566): 53077 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  566): 53083 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  566): 53084 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  566): 53086 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  566): 53086 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  566): 53097 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  566): 53097 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  566): 53105 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  566): 53106 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  566): 53132 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  566): 53638 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 53649 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  566): 53657 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  566): 53774 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  566): 53775 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 53775 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 53782 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 53793 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 53801 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 53801 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 53802 + Lcom/facebook/katana/service/FacebookService; onStart
