--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 726917 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 726931 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 726932 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 726952 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 746560 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@4406e470
V/DBox    (  566): 746582 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 746591 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 746592 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 746592 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 746593 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 746648 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  566): 746689 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  566): 746710 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  566): 746719 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  566): 746721 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 746721 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  566): 746746 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  566): 746748 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 758918 + Lcom/facebook/katana/FriendsActivity; onItemClick android.widget.ListView@4403d788
V/DBox    (  566): 758934 - Lcom/facebook/katana/FriendsActivity; onItemClick
V/DBox    (  566): 758949 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 758975 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  566): 758975 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  566): 758976 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 758991 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  566): 759026 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 759052 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 759059 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  566): 759059 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  566): 759060 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 759063 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 759063 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 759064 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 759072 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 759072 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 759076 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  566): 759082 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 759134 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 760870 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 760873 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 760874 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 760875 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 760885 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 760886 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 764889 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 764895 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 764914 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 764915 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 767317 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@44043a88
V/DBox    (  566): 767325 + Lcom/facebook/katana/StreamActivity; onPause
