--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 1118569 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1118579 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1118586 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1118592 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1118593 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1118602 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1119418 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@440e6660
V/DBox    (  566): 1119423 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1119425 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1119430 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1119431 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1119431 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1119440 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  566): 1119467 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  566): 1119467 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  566): 1119468 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1119468 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1119472 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  566): 1119476 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1119483 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1120458 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  566): 1120460 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1120461 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1120464 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  566): 1120485 + Lcom/facebook/katana/HomeActivity; onResume
