--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  584): 102809 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  584): 102861 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  584): 102876 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  584): 102876 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  584): 102880 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  584): 102881 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  584): 102887 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  584): 102888 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  584): 102902 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  584): 102903 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  584): 102908 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  584): 102912 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  584): 102914 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  584): 102918 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  584): 102923 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  584): 102923 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  584): 102927 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  584): 102929 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  584): 102949 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  584): 103105 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  584): 103106 + Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  584): 103106 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  584): 103123 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  584): 103129 - Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  584): 126451 + Lcom/facebook/katana/LoginActivity; onClick android.widget.Button@43f3b9e8
V/DBox    (  584): 126529 - Lcom/facebook/katana/LoginActivity; onClick
V/DBox    (  584): 126556 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  584): 126558 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  584): 126560 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 126634 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 129196 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  584): 129203 + Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  584): 129206 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  584): 129207 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  584): 129207 - Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  584): 129221 + Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  584): 129438 - Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
