* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  771): 5696620 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5696623 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5696633 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5696647 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5696671 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46076710
V/DBox    (  771): 5696674 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5696696 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5696713 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5696714 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5696741 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5696744 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@46057d68
V/DBox    (  771): 5696747 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  771): 5696803 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5696828 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5698110 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  771): 5698116 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5698160 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5698160 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  771): 5705330 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5705330 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5705337 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5705347 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5705362 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5705371 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5705372 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5705389 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5705578 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@4608adf0
V/DBox    (  771): 5705583 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705585 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@4608adf0
V/DBox    (  771): 5705591 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705592 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46065058
V/DBox    (  771): 5705593 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705624 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46065058
V/DBox    (  771): 5705624 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705653 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@4608adf0
V/DBox    (  771): 5705654 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705655 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@4608adf0
V/DBox    (  771): 5705656 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705664 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46065058
V/DBox    (  771): 5705665 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705716 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46065058
V/DBox    (  771): 5705718 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705719 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46051538
V/DBox    (  771): 5705720 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705722 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46051538
V/DBox    (  771): 5705722 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705723 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@4601e718
V/DBox    (  771): 5705725 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705730 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@4601e718
V/DBox    (  771): 5705731 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705819 + Lcom/facebook/katana/HomeActivity; onFocusChange android.widget.LinearLayout@46076710
V/DBox    (  771): 5705819 - Lcom/facebook/katana/HomeActivity; onFocusChange
V/DBox    (  771): 5705846 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@46076710
V/DBox    (  771): 5705853 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  771): 5705869 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  771): 5705870 + Lcom/facebook/katana/FacebookListActivity; onPause
