--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    ( 1010): 17677025 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17677025 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17677029 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17677037 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17677054 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17677060 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17677061 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17677072 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17678707 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@4616c900
V/DBox    ( 1010): 17678719 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    ( 1010): 17678722 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17678730 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17678730 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17678731 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17678745 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    ( 1010): 17678832 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    ( 1010): 17678832 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    ( 1010): 17678833 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17678833 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17678839 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    ( 1010): 17679977 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    ( 1010): 17679978 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17679979 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17680009 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    ( 1010): 17680033 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17680034 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17680036 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17680055 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17680075 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17680123 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17680123 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17680164 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17680418 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    ( 1010): 17680420 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    ( 1010): 17680422 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    ( 1010): 17680423 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    ( 1010): 17680884 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@4616ef00
V/DBox    ( 1010): 17680903 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    ( 1010): 17680905 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17680905 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17680905 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17680906 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17680915 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    ( 1010): 17681009 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    ( 1010): 17681039 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    ( 1010): 17681049 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    ( 1010): 17681049 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    ( 1010): 17681050 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17681050 + Lcom/facebook/katana/StreamActivity; onResume
