--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  579): 87591 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  579): 87641 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  579): 87651 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  579): 87651 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  579): 87658 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  579): 87658 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  579): 87659 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  579): 87661 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  579): 87672 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  579): 87672 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  579): 87686 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  579): 87687 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  579): 87692 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  579): 87699 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  579): 87706 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  579): 87706 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  579): 87710 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  579): 87711 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  579): 87726 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  579): 87894 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  579): 87894 + Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  579): 87895 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  579): 87911 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  579): 87918 - Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  579): 103782 + Lcom/facebook/katana/LoginActivity; onClick android.widget.Button@43f3b988
V/DBox    (  579): 103852 - Lcom/facebook/katana/LoginActivity; onClick
V/DBox    (  579): 103873 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 103876 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 103877 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 103915 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 106431 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  579): 106439 + Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  579): 106441 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  579): 106442 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  579): 106444 - Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  579): 106456 + Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  579): 106652 - Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  579): 106653 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  579): 106657 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  579): 106873 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  579): 106875 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  579): 107393 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 107394 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 107397 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 107417 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  579): 107419 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 107421 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 107445 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108109 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108115 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108116 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108117 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108117 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108117 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108118 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108121 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108128 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108129 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108131 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 108134 - Lcom/facebook/katana/service/FacebookService; onStart
