* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  585): 71357 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  585): 71389 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  585): 71395 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  585): 71396 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  585): 71399 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  585): 71399 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  585): 71401 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  585): 71402 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  585): 71411 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  585): 71411 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  585): 71417 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  585): 71417 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  585): 71421 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  585): 71422 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  585): 71428 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  585): 71428 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  585): 71432 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  585): 71432 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  585): 71449 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  585): 72006 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  585): 72021 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  585): 72037 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  585): 72151 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  585): 72151 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 72152 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 72157 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 72169 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 72177 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  585): 72177 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  585): 72178 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72230 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72241 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72317 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72318 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72332 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72333 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72344 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72840 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72853 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  585): 72854 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72855 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72868 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 72871 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  585): 72872 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  585): 76161 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76178 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76179 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76180 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76181 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76182 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76183 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76202 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76205 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@43f4f8a0
V/DBox    (  585): 76205 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  585): 76554 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 76565 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77073 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f224c0
V/DBox    (  585): 77087 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 77091 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 77092 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 77092 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 77095 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 77110 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  585): 77154 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  585): 77155 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  585): 77155 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 77155 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 77164 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  585): 77365 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77366 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77367 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77368 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77493 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77494 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77543 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77544 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  585): 77546 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77549 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 77578 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 78706 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  585): 78707 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 78707 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 78730 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  585): 78762 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 78763 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 78763 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 78775 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 78816 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 78875 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 78875 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 78888 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 79151 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  585): 79157 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  585): 79158 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  585): 79159 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  585): 80111 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f47d08
V/DBox    (  585): 80121 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 80123 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 80124 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 80124 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 80125 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 80133 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  585): 80196 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  585): 80257 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  585): 80295 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  585): 80296 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  585): 80296 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  585): 80297 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  585): 80297 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 80298 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 80304 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  585): 80304 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  585): 80307 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  585): 80312 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 80415 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 80485 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 80487 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 82167 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  585): 82167 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  585): 82168 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  585): 82168 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 82169 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 82169 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  585): 82170 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  585): 82171 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  585): 82208 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 82212 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 82213 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 82225 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 82300 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 82310 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 82311 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 82326 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 82571 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  585): 82571 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  585): 82572 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  585): 82573 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  585): 82573 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  585): 82574 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  585): 83960 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f282d0
V/DBox    (  585): 83969 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 83974 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 83975 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 83977 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 83978 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 83997 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  585): 84044 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  585): 84044 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  585): 84045 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 84045 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 84048 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  585): 84054 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 84066 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 84957 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 84963 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 84964 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 84964 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 84966 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 84968 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 85421 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 85422 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 85423 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 85425 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86061 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86061 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86580 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  585): 86581 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 86582 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 86584 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  585): 86612 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 86613 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 86614 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 86630 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 86678 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86712 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86713 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 86740 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 87768 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f0df40
V/DBox    (  585): 87789 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 87790 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 87796 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 87796 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 87797 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 87811 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  585): 87859 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  585): 87860 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  585): 87860 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 87861 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 87867 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  585): 87875 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 87903 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 90800 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  585): 90800 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 90801 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 90801 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  585): 90815 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 90816 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 90816 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 90826 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  585): 90905 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 90910 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 90910 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 90922 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  585): 92069 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f26498
V/DBox    (  585): 92081 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  585): 92087 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 92088 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 92089 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  585): 92092 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  585): 92113 + Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  585): 92127 - Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  585): 92128 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  585): 92128 - Lcom/facebook/katana/FacebookListActivity; onResume
