--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  985): 875030 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  985): 875063 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  985): 875070 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  985): 875071 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  985): 875078 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  985): 875079 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  985): 875083 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  985): 875083 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  985): 875091 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  985): 875091 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  985): 875099 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  985): 875100 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  985): 875103 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  985): 875103 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  985): 875112 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  985): 875113 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  985): 875118 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  985): 875119 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  985): 875139 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  985): 875710 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  985): 875745 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  985): 875757 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  985): 875920 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  985): 875920 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  985): 875921 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  985): 875927 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  985): 875938 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  985): 875944 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  985): 875945 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  985): 875945 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 875963 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 875979 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876027 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876028 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876050 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876051 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876068 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876593 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876605 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  985): 876605 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876606 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  985): 876608 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  985): 876610 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 876649 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 878512 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 878534 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 878535 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 878542 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 878543 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@43f1a748
V/DBox    (  985): 878548 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  985): 886371 + Lcom/facebook/katana/HomeActivity$4; onItemClick android.widget.ListView@43f559c8
V/DBox    (  985): 886436 - Lcom/facebook/katana/HomeActivity$4; onItemClick
V/DBox    (  985): 886492 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  985): 886493 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  985): 886512 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  985): 886513 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  985): 902107 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902113 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902114 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902114 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902115 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902115 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902115 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902116 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902116 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902117 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902117 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902118 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902118 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902119 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902119 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902120 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902131 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902133 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902135 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902140 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902142 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902144 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902147 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902148 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902152 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902153 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902155 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902156 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902157 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902158 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902159 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902161 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902163 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902164 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902165 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902167 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902169 + Lcom/facebook/katana/service/FacebookService; onStart
