--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  561): 50715 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  561): 50796 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  561): 50812 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  561): 50813 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  561): 50824 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  561): 50826 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  561): 50828 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  561): 50837 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  561): 50844 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  561): 50853 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  561): 50862 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  561): 50871 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  561): 50878 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  561): 50879 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  561): 50890 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  561): 50890 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  561): 50898 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  561): 50905 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  561): 50928 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  561): 51464 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  561): 51541 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  561): 51548 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  561): 51658 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  561): 51659 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 51659 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 51665 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 51675 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 51683 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  561): 51684 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  561): 51685 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 51703 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 51720 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 51825 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 51826 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 51867 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 51868 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 51878 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 52014 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  561): 52015 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  561): 52451 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 52498 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  561): 52498 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 52499 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 52511 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 53087 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f20c68
V/DBox    (  561): 53096 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  561): 53098 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 53101 + Lcom/facebook/katana/FacebookListActivity; onPause
