* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  323): 17659873 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17719896 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17719896 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17719958 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17719959 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17720447 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17720447 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17720495 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17720496 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17749502 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17749502 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): 17749751 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17749752 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17760176 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17760176 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17760308 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17760308 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): Ljava/net/Socket;->closeV
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): 17820236 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17820238 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17820305 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17820306 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): Ljava/net/Socket;->connectV
V/DBox    (  323): 17863070 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17863071 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17863116 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17863116 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17923135 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17923136 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17923183 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17923185 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17962152 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  323): 17962154 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  323): 17962181 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  323): 17962350 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  323): 17962364 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  323): 17962365 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 17962367 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 17962557 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  323): 17962557 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  323): 17962558 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17962559 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17962681 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  323): 17965316 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17965317 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  323): 17965356 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17965357 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  323): 17966774 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@440942c0
V/DBox    (  323): 17966789 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  323): 17968190 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  323): 17968211 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  323): 17968213 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  323): 17968214 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  323): 17968215 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  323): 17968216 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  323): 17968243 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  323): 17968244 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 17968245 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 17968567 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  323): 17968569 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 17968572 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17968577 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17968603 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 17970652 + Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44092908
V/DBox    (  323): 17970665 - Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu
V/DBox    (  323): 17971780 + Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected Add Cc/Bcc
V/DBox    (  323): 17971783 - Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected
V/DBox    (  323): 17974789 + Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected Add attachment
V/DBox    (  323): 17974794 - Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected
V/DBox    (  323): 17974795 + Lcom/fsck/k9/activity/MessageCompose; onSaveInstanceState
V/DBox    (  323): 17974812 - Lcom/fsck/k9/activity/MessageCompose; onSaveInstanceState
V/DBox    (  323): 17974813 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 17974813 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 17987232 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 17987233 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17987234 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17987241 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 17988313 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 17988314 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 17988326 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  323): 17988326 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17988328 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17988388 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  323): 17992991 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Accounts
V/DBox    (  323): 17992995 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  323): 17993005 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  323): 17993006 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  323): 17993020 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  323): 17993022 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  323): 17993024 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  323): 17993050 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  323): 17993051 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  323): 17993051 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 17993053 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  323): 17993079 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  323): 17995124 + Lcom/fsck/k9/activity/Accounts; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4408c5f8
V/DBox    (  323): 17995146 - Lcom/fsck/k9/activity/Accounts; onCreateOptionsMenu
V/DBox    (  323): 17996753 + Lcom/fsck/k9/activity/Accounts; onOptionsItemSelected Compose
V/DBox    (  323): 17996791 - Lcom/fsck/k9/activity/Accounts; onOptionsItemSelected
V/DBox    (  323): 17996792 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  323): 17996793 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  323): 17996794 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  323): 17996794 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  323): 17996808 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  323): 17996809 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 17996812 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  323): 17996870 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  323): 17996871 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 17996872 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17996874 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 17996874 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 17997975 + Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@440bf4b0
V/DBox    (  323): 17997980 - Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu
V/DBox    (  323): 17999670 + Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected Add attachment
V/DBox    (  323): 17999677 - Lcom/fsck/k9/activity/MessageCompose; onOptionsItemSelected
V/DBox    (  323): 17999680 + Lcom/fsck/k9/activity/MessageCompose; onSaveInstanceState
V/DBox    (  323): 17999712 - Lcom/fsck/k9/activity/MessageCompose; onSaveInstanceState
V/DBox    (  323): 17999713 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 17999713 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 18001666 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 18001666 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 18001667 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  323): 18001671 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  323): 18003836 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 18003837 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  323): 18003864 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  323): 18003864 + Lcom/fsck/k9/K9ListActivity; onResume
