* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 1045305 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1045305 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1045391 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1045392 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1085827 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1085828 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1085840 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1085932 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1089393 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  360): 1089428 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1089429 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1089430 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1089431 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1089432 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1089443 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 1089444 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1089446 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1089503 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 1089504 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 1089504 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1089506 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1089507 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 1091386 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 1091387 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 1091407 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1091408 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1091415 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1091445 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1103834 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
V/DBox    (  360): 1103835 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1105260 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
V/DBox    (  360): 1105268 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1105423 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1105423 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1105475 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1105476 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1110720 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
V/DBox    (  360): 1110725 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1111756 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
V/DBox    (  360): 1111756 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1112738 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@4416a2d8
V/DBox    (  360): 1112745 - Lcom/fsck/k9/activity/MessageList; onClick
V/DBox    (  360): 1115905 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  360): 1115961 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1115980 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1115980 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1115993 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 1115994 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 1115997 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 1116019 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 1116020 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 1116020 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 1116023 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 1116083 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 1117985 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@4402e7a0
V/DBox    (  360): 1117993 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  360): 1117994 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 1117999 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 1118000 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 1118001 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 1118009 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 1118009 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1118018 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1118074 - Lcom/fsck/k9/activity/MessageList; onCreate
