* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 2734093 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2734094 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2734095 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2734098 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2770034 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 2770036 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 2770139 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 2770140 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2774686 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2774686 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2774689 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2774910 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2777140 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441af288
V/DBox    (  360): 2777167 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  360): 2778188 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  360): 2778357 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2778360 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2778366 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2778366 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2778367 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2778381 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 2778382 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2778386 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2778459 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 2778459 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 2778460 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2778462 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2778463 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 2780155 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 2780160 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 2780181 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2780181 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2780183 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2780226 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2782065 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
V/DBox    (  360): 2782066 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2783138 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Read/unread
V/DBox    (  360): 2783145 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2788094 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
V/DBox    (  360): 2788095 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2789341 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
V/DBox    (  360): 2789342 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2790387 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@440d7bd0
V/DBox    (  360): 2790389 - Lcom/fsck/k9/activity/MessageList; onClick
V/DBox    (  360): 2793359 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  360): 2793375 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2793395 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2793395 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2793410 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 2793411 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 2793414 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 2793438 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 2793438 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 2793439 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 2793442 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 2793496 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 2796495 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 2796496 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 2796520 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 2796521 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 2800169 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@43fcc8b8
V/DBox    (  360): 2800201 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  360): 2800201 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 2800202 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 2800202 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 2800203 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 2800217 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 2800218 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2800220 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2800307 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 2800309 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2800310 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2800319 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2800387 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2801432 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441e0fc0
V/DBox    (  360): 2801468 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  360): 2802662 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
V/DBox    (  360): 2802669 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2806229 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
V/DBox    (  360): 2806289 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2806290 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2806292 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2806294 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2806300 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2806313 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 2806313 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 2806330 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 2806443 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 2806444 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 2806451 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 2807735 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 2807735 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2807824 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2807827 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2807836 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2807940 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2808022 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 2808023 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2809714 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  360): 2809726 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2809727 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2809733 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2809740 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2809742 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2809779 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 2809780 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2809784 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2809993 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 2809994 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 2809995 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2810002 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2810002 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2811860 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 2811861 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 2811886 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2811886 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2811889 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2811962 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2813465 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
V/DBox    (  360): 2813480 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2815515 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Subject
V/DBox    (  360): 2815521 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2817286 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
V/DBox    (  360): 2817287 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2818928 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
V/DBox    (  360): 2818935 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2821189 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  360): 2821198 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2821199 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2821200 - Lcom/fsck/k9/activity/MessageList; onPause
