--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 43223 + Lcom/fsck/k9/provider/AttachmentProvider; onCreate
V/DBox    (  400): 43225 - Lcom/fsck/k9/provider/AttachmentProvider; onCreate
V/DBox    (  400): 43227 + Lcom/fsck/k9/K9; onCreate
V/DBox    (  400): 43294 - Lcom/fsck/k9/K9; onCreate
V/DBox    (  400): 60176 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  400): 60176 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  400): 60204 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  400): 60204 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  400): 62485 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  400): 62486 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  400): 62603 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  400): 62603 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  400): 79467 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  400): 79467 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 79507 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 79598 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  400): 79599 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  400): 79599 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 79602 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 79604 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  400): 88632 + Lcom/fsck/k9/activity/Accounts; onClick android.widget.Button@46184b30
V/DBox    (  400): 88644 - Lcom/fsck/k9/activity/Accounts; onClick
V/DBox    (  400): 88645 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  400): 88646 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  400): 88650 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  400): 88651 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  400): 88674 + Lcom/fsck/k9/activity/setup/AccountSetupBasics; onCreate
V/DBox    (  400): 88675 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 88681 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 88719 - Lcom/fsck/k9/activity/setup/AccountSetupBasics; onCreate
V/DBox    (  400): 88720 + Lcom/fsck/k9/activity/setup/AccountSetupBasics; onResume
V/DBox    (  400): 88720 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 88724 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 88726 - Lcom/fsck/k9/activity/setup/AccountSetupBasics; onResume
V/DBox    (  400): 118468 + Lcom/fsck/k9/activity/setup/AccountSetupBasics; onClick android.widget.Button@4610c1f0
V/DBox    (  400): 118611 - Lcom/fsck/k9/activity/setup/AccountSetupBasics; onClick
V/DBox    (  400): 118623 + Lcom/fsck/k9/activity/setup/AccountSetupBasics; onSaveInstanceState
V/DBox    (  400): 118637 - Lcom/fsck/k9/activity/setup/AccountSetupBasics; onSaveInstanceState
V/DBox    (  400): 118681 + Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onCreate
V/DBox    (  400): 118682 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 118686 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 118727 - Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onCreate
V/DBox    (  400): 118727 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 118730 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): 123913 + Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings$4$2; onClick android.app.AlertDialog@461f6498
V/DBox    (  400): 124141 - Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings$4$2; onClick
V/DBox    (  400): 124160 + Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onCreate
V/DBox    (  400): 124161 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 124164 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 124208 - Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onCreate
V/DBox    (  400): 124208 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 124210 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): 127078 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  400): 127078 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  400): 127099 + Lcom/fsck/k9/activity/setup/AccountSetupNames; onCreate
V/DBox    (  400): 127100 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 127102 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 127222 - Lcom/fsck/k9/activity/setup/AccountSetupNames; onCreate
V/DBox    (  400): 127222 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 127224 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 127245 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  400): 127246 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): 127569 + Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onDestroy
V/DBox    (  400): 127574 - Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onDestroy
V/DBox    (  400): 127611 + Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onDestroy
V/DBox    (  400): 127611 - Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onDestroy
V/DBox    (  400): 131143 + Lcom/fsck/k9/activity/setup/AccountSetupNames; onClick android.widget.Button@462762b0
V/DBox    (  400): 131212 - Lcom/fsck/k9/activity/setup/AccountSetupNames; onClick
V/DBox    (  400): 131233 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  400): 131234 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 131238 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 131267 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  400): 131268 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 131268 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 131271 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 131284 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 173059 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@462509e8
V/DBox    (  400): 173110 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  400): 173111 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  400): 173112 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  400): 173112 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  400): 173113 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  400): 173121 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  400): 173121 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 173124 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 173160 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  400): 173161 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 173161 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 173163 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 173236 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 183754 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
