--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 186102 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 186146 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 186146 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 186158 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 186158 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 186185 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 186186 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 186195 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 186195 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 186359 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@461b5680
V/DBox    (  400): 186376 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    (  400): 186379 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  400): 186385 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  400): 186389 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 186390 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 186464 + Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  400): 186465 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 186467 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 186642 - Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  400): 186642 + Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  400): 186643 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 186644 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 186647 - Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  400): 188492 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@462e80d0
V/DBox    (  400): 188495 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    (  400): 192716 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 192716 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 192718 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 192828 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 194491 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 194493 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 194516 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 194519 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 194525 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 194538 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 199224 + Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4629e0e0
