--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 960593 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  400): 960593 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 960595 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 960691 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  400): 960706 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  400): 960707 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 960708 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 960835 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  400): 960836 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 960836 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 960840 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 961016 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 964983 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 964987 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965003 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965005 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965028 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965029 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965054 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965061 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965167 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965168 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965214 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965214 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965231 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965232 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965258 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965260 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965292 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965293 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965319 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965321 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965337 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965339 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965371 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965372 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965394 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965395 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965418 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965418 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965445 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965446 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 965457 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 965458 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966248 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966250 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966258 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966260 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966307 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966317 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966334 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966335 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966349 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966351 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966372 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966374 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966398 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966399 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966426 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966426 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966452 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966452 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966481 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966481 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966509 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966510 - Lcom/fsck/k9/activity/MessageList$1; onTouch
