--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  401): 42936 + Lcom/fsck/k9/provider/AttachmentProvider; onCreate
V/DBox    (  401): 42945 - Lcom/fsck/k9/provider/AttachmentProvider; onCreate
V/DBox    (  401): 42948 + Lcom/fsck/k9/K9; onCreate
V/DBox    (  401): 43138 - Lcom/fsck/k9/K9; onCreate
V/DBox    (  401): 679289 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 679290 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 679318 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 679319 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 710951 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 710951 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 711004 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 711004 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 758797 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 758797 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 759021 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 759021 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 834752 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  401): 834753 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  401): 834782 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  401): 834864 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    (  401): 834865 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 834866 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 834870 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 834878 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 837593 + Lcom/fsck/k9/activity/Accounts; onClick android.widget.Button@46172680
V/DBox    (  401): 837606 - Lcom/fsck/k9/activity/Accounts; onClick
V/DBox    (  401): 837610 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 837612 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 837613 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 837614 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 837637 + Lcom/fsck/k9/activity/setup/AccountSetupBasics; onCreate
V/DBox    (  401): 837638 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 837642 - Lcom/fsck/k9/K9Activity; onCreate
