--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  401): 2318811 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 2318811 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 2318814 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 2318964 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 2320056 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2320058 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2320068 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2320070 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2320097 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2320098 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2320124 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2320128 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2320155 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2320156 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2320348 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2320348 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2320387 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2320387 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2322283 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
V/DBox    (  401): 2322284 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  401): 2326442 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2326443 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2326456 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2326458 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2326484 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2326488 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2326515 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2326516 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2326636 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2326638 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2326650 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2326651 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 2326667 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4625b9f0
V/DBox    (  401): 2326668 - Lcom/fsck/k9/activity/MessageList$1; onTouch
