--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  401): 2408392 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 2408393 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 2408394 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 2408408 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 2412031 + Lcom/fsck/k9/activity/Accounts; onItemClick android.widget.ListView@4616d568
V/DBox    (  401): 2412057 - Lcom/fsck/k9/activity/Accounts; onItemClick
V/DBox    (  401): 2412058 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 2412061 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 2412061 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 2412062 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 2412069 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  401): 2412069 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 2412071 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 2412098 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  401): 2412098 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 2412098 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 2412100 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 2412228 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 2413837 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@46585378
V/DBox    (  401): 2413861 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  401): 2418512 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
V/DBox    (  401): 2418530 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  401): 2418543 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  401): 2418544 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  401): 2418545 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 2418545 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 2418558 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 2418558 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 2418564 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 2418907 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 2418908 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 2418917 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 2428101 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 2428101 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 2428117 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 2428117 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 2428119 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): Ljava/net/Socket;->closeV
V/DBox    (  401): 2428348 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 2428409 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 2428409 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 2434904 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 2434905 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 2434918 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 2434918 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 2434921 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 2434931 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 2436856 + Lcom/fsck/k9/activity/Accounts; onCreateContextMenu com.android.internal.view.menu.ContextMenuBuilder@463a9348
V/DBox    (  401): 2436860 - Lcom/fsck/k9/activity/Accounts; onCreateContextMenu
V/DBox    (  401): 2438412 + Lcom/fsck/k9/activity/Accounts; onContextItemSelected Account settings
V/DBox    (  401): 2438421 - Lcom/fsck/k9/activity/Accounts; onContextItemSelected
V/DBox    (  401): 2438422 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 2438425 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 2438425 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 2438428 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 2438458 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 2438459 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 2438465 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 2438567 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 2438567 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 2438575 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 2448241 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 2448242 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): Ljava/net/Socket;->closeV
V/DBox    (  401): 2448322 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 2448322 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 2448324 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 2448356 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 2448425 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 2448426 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): 2449158 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 2449162 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 2449163 + Lcom/fsck/k9/activity/Accounts; onPause
