up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 1583864	 0.22000718	 9441 14622 80450	 1 0.00392156862745098	 0 0 0
 1584360	 0.8965517	 9450 14637 80502	 1 0.00392156862745098	 0 0 0
 1584832	 0.22000718	 9454 14647 80548	 1 0.00392156862745098	 0 0 0
 1585330	 0.22000718	 9461 14657 80599	 1 0.00392156862745098	 0 0 0
 1585819	 0.22000718	 9467 14668 80648	 1 0.00392156862745098	 0 0 0
 1586319	 0.22000718	 9474 14680 80700	 1 0.00392156862745098	 0 0 0
 1586814	 0.8965517	 9499 14714 80751	 1 0.00392156862745098	 0 0 0
 1587319	 0.22000718	 9504 14723 80798	 1 0.00392156862745098	 0 0 0
 1587832	 0.22000718	 9512 14736 80849	 1 0.00392156862745098	 0 0 0
 1588337	 0.8965517	 9519 14745 80896	 1 0.00392156862745098	 0 0 0
 1588833	 0.22000718	 9524 14755 80946	 1 0.00392156862745098	 0 0 0
 1589331	 0.22000718	 9536 14771 81003	 1 0.00392156862745098	 0 0 0
 1589820	 0.8965517	 9540 14780 81047	 1 0.00392156862745098	 0 0 0
 1590327	 0.22000718	 9546 14790 81097	 1 0.00392156862745098	 0 0 0
 1590819	 0.22000718	 9553 14801 81148	 1 0.00392156862745098	 0 0 0
 1591332	 0.22000718	 9559 14810 81198	 1 0.00392156862745098	 0 0 0
 1591831	 0.22000718	 9572 14825 81252	 1 0.00392156862745098	 0 0 0
 1592336	 0.22000718	 9581 14835 81298	 1 0.00392156862745098	 0 0 0
 1592819	 0.22000718	 9589 14846 81348	 1 0.00392156862745098	 0 0 0
 1593311	 0.8965517	 9594 14856 81396	 1 0.00392156862745098	 0 0 0
 1593820	 0.22000718	 9605 14870 81448	 1 0.00392156862745098	 0 0 0
 1594319	 0.22000718	 9616 14883 81502	 1 0.00392156862745098	 0 0 0
 1594835	 0.8965517	 9626 14895 81548	 0 0.00392156862745098	 0 0 0
 1595311	 0.22000718	 9643 14930 81599	 0 0.00392156862745098	 0 0 0
 1604409	 0.8965517	 9654 14953 81731	 1 0.00392156862745098	 0 0 0
 1604817	 0.22000718	 9658 14968 81765	 1 0.00392156862745098	 0 0 0
 1605326	 0.22000718	 9665 14978 81815	 1 0.00392156862745098	 0 0 0
 1605829	 0.22000718	 9675 14993 81865	 1 0.00392156862745098	 0 0 0
 1606314	 0.86206895	 9691 15013 81913	 1 0.00392156862745098	 0 0 0
 1606815	 0.8965517	 9723 15059 81964	 1 0.00392156862745098	 0 0 0
 1607316	 0.22000718	 9735 15075 82015	 1 0.00392156862745098	 0 0 0
 1607826	 0.22000718	 9738 15084 82064	 1 0.00392156862745098	 0 0 0
 1608326	 0.22000718	 9749 15100 82114	 1 0.00392156862745098	 0 0 0
 1608816	 0.22000718	 9757 15110 82164	 1 0.00392156862745098	 0 0 0
 1609325	 0.22000718	 9765 15119 82214	 1 0.00392156862745098	 0 0 0
 1609826	 0.22000718	 9772 15129 82264	 1 0.00392156862745098	 0 0 0
 1610339	 0.22000718	 9780 15139 82314	 1 0.00392156862745098	 0 0 0
 1610816	 0.8965517	 9791 15153 82368	 1 0.00392156862745098	 0 0 0
 1611336	 0.22000718	 9797 15164 82414	 1 0.00392156862745098	 0 0 0
 1611811	 0.22000718	 9802 15175 82465	 1 0.00392156862745098	 0 0 0
 1612326	 0.22000718	 9809 15186 82514	 1 0.00392156862745098	 0 0 0
 1612826	 0.22000718	 9818 15197 82565	 1 0.00392156862745098	 0 0 0
 1613316	 0.22000718	 9832 15213 82621	 1 0.00392156862745098	 0 0 0
 1613838	 0.22000718	 9837 15223 82664	 1 0.00392156862745098	 0 0 0
 1614316	 0.22000718	 9844 15233 82714	 1 0.00392156862745098	 0 0 0
 1614828	 0.22000718	 9850 15242 82763	 1 0.00392156862745098	 0 0 0
 1615311	 0.8965517	 9861 15268 82814	 1 0.00392156862745098	 0 0 0
