up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 2645120	 0.22000718	 10751 27569 156704	 1 0.00392156862745098	 0 0 0
 2645608	 0.22000718	 10765 27590 156747	 1 0.00392156862745098	 0 0 0
 2646066	 0.22000718	 10775 27609 156796	 1 0.00392156862745098	 0 0 0
 2646578	 0.22000718	 10799 27645 156850	 1 0.00392156862745098	 0 0 0
 2647079	 0.22000718	 10843 27703 156912	 1 0.00392156862745098	 0 0 0
 2647580	 0.22000718	 10860 27730 156950	 1 0.00392156862745098	 0 0 0
 2648576	 0.22000718	 10919 27818 157046	 1 0.00392156862745098	 0 0 0
 2649076	 0.22000718	 10931 27838 157096	 1 0.00392156862745098	 0 0 0
 2649579	 0.22000718	 10957 27882 157149	 1 0.00392156862745098	 0 0 0
 2650079	 0.22000718	 10972 27930 157197	 1 0.00392156862745098	 0 0 0
 2650559	 0.22000718	 10985 27979 157246	 1 0.00392156862745098	 0 0 0
 2651066	 0.22000718	 11012 28031 157298	 1 0.00392156862745098	 0 0 0
 2651566	 0.22000718	 11023 28079 157346	 1 0.00392156862745098	 0 0 0
 2652060	 0.22000718	 11038 28129 157396	 1 0.00392156862745098	 0 0 0
 2652560	 0.22000718	 11049 28179 157446	 1 0.00392156862745098	 0 0 0
 2653067	 0.22000718	 11062 28229 157496	 1 0.00392156862745098	 0 0 0
 2653566	 0.22000718	 11070 28281 157548	 1 0.00392156862745098	 0 0 0
 2654230	 0.22000718	 11100 28345 157612	 1 0.00392156862745098	 0 0 0
 2655076	 0.22000718	 11136 28429 157696	 1 0.00392156862745098	 0 0 0
 2655576	 0.22000718	 11146 28479 157746	 1 0.00392156862745098	 0 0 0
 2656060	 0.22000718	 11159 28529 157796	 1 0.00392156862745098	 0 0 0
 2656565	 0.22000718	 11169 28582 157849	 1 0.00392156862745098	 0 0 0
 2657085	 0.22000718	 11181 28630 157897	 1 0.00392156862745098	 0 0 0
 2657566	 0.22000718	 11206 28695 157962	 1 0.00392156862745098	 0 0 0
 2658067	 0.22000718	 11219 28730 157997	 1 0.00392156862745098	 0 0 0
 2658560	 0.22000718	 11231 28779 158046	 1 0.00392156862745098	 0 0 0
 2659080	 0.22000718	 11245 28830 158097	 1 0.00392156862745098	 0 0 0
 2659560	 0.22000718	 11263 28886 158153	 1 0.00392156862745098	 0 0 0
 2660066	 0.22000718	 11278 28929 158196	 1 0.00392156862745098	 0 0 0
 2660579	 0.22000718	 11291 28979 158246	 1 0.00392156862745098	 0 0 0
 2661076	 0.22000718	 11318 29030 158297	 1 0.00392156862745098	 0 0 0
 2661578	 0.22000718	 11328 29079 158346	 1 0.00392156862745098	 0 0 0
 2662066	 0.22000718	 11338 29129 158396	 1 0.00392156862745098	 0 0 0
 2662580	 0.22000718	 11350 29179 158446	 1 0.00392156862745098	 0 0 0
 2663060	 0.22000718	 11363 29231 158498	 1 0.00392156862745098	 0 0 0
 2663566	 0.22000718	 11377 29280 158547	 1 0.00392156862745098	 0 0 0
 2664060	 0.22000718	 11404 29345 158612	 1 0.00392156862745098	 0 0 0
 2664586	 0.22000718	 11418 29380 158647	 1 0.00392156862745098	 0 0 0
 2665060	 0.22000718	 11430 29429 158696	 1 0.00392156862745098	 0 0 0
 2665566	 0.22000718	 11443 29479 158746	 1 0.00392156862745098	 0 0 0
 2666060	 0.22000718	 11451 29529 158796	 1 0.00392156862745098	 0 0 0
 2666580	 0.22000718	 11462 29582 158849	 1 0.00392156862745098	 0 0 0
 2667067	 0.22000718	 11487 29645 158912	 1 0.00392156862745098	 0 0 0
 2667576	 0.22000718	 11496 29680 158947	 1 0.00392156862745098	 0 0 0
 2668059	 0.22000718	 11508 29729 158996	 1 0.00392156862745098	 0 0 0
 2668560	 0.22000718	 11519 29779 159046	 1 0.00392156862745098	 0 0 0
 2669093	 0.22000718	 11531 29830 159097	 1 0.00392156862745098	 0 0 0
 2669583	 0.22000718	 11545 29880 159147	 1 0.00392156862745098	 0 0 0
 2670095	 0.22000718	 11555 29933 159200	 1 0.00392156862745098	 0 0 0
 2670577	 0.22000718	 11581 29980 159247	 1 0.00392156862745098	 0 0 0
 2671080	 0.22000718	 11594 30029 159296	 1 0.00392156862745098	 0 0 0
 2671579	 0.22000718	 11606 30079 159346	 1 0.00392156862745098	 0 0 0
 2672060	 0.22000718	 11619 30129 159396	 1 0.00392156862745098	 0 0 0
 2672576	 0.22000718	 11633 30180 159447	 1 0.00392156862745098	 0 0 0
 2673076	 0.22000718	 11646 30229 159496	 1 0.00392156862745098	 0 0 0
 2673593	 0.22000718	 11672 30298 159565	 1 0.00392156862745098	 0 0 0
 2674059	 0.22000718	 11685 30329 159596	 1 0.00392156862745098	 0 0 0
 2674586	 0.22000718	 11699 30380 159647	 1 0.00392156862745098	 0 0 0
 2675097	 0.22000718	 11710 30429 159696	 1 0.00392156862745098	 0 0 0
 2675576	 0.22000718	 11719 30480 159747	 1 0.00392156862745098	 0 0 0
