up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 2127693	 0.8965517	 12847 19964 118141	 1 0.00392156862745098	 0 0 0
 2128164	 0.37931034	 12863 19991 118188	 1 0.00392156862745098	 0 0 0
 2128671	 0.22000718	 12876 20010 118240	 1 0.00392156862745098	 0 0 0
 2129233	 0.8965517	 12901 20046 118294	 1 0.00392156862745098	 0 0 0
 2129668	 0.22000718	 12913 20063 118339	 1 0.00392156862745098	 0 0 0
 2130145	 0.6551724	 12925 20083 118387	 1 1.0	 0 0 0
 2130652	 0.22000718	 12948 20117 118439	 1 1.0	 0 0 0
 2131158	 0.22000718	 12956 20127 118490	 1 1.0	 0 0 0
 2131657	 0.22000718	 12963 20137 118540	 1 1.0	 0 0 0
 2132157	 0.22000718	 12968 20146 118590	 1 1.0	 0 0 0
 2132667	 0.22000718	 12978 20161 118645	 1 1.0	 0 0 0
 2133144	 0.8965517	 12986 20177 118686	 1 0.8	 0 0 0
 2133669	 0.22000718	 12994 20192 118740	 1 0.8	 0 0 0
 2134157	 0.22000718	 13000 20203 118790	 1 0.8	 0 0 0
 2134670	 0.22000718	 13008 20212 118840	 1 0.8	 0 0 0
 2135171	 0.22000718	 13013 20222 118890	 1 0.8	 0 0 0
 2135648	 0.22000718	 13017 20231 118940	 1 0.8	 0 0 0
 2136148	 0.8965517	 13025 20245 118987	 1 0.6	 0 0 0
 2136659	 0.22000718	 13039 20266 119039	 1 0.6	 0 0 0
 2137157	 0.22000718	 13044 20275 119089	 1 0.6	 0 0 0
 2137673	 0.22000718	 13048 20286 119141	 1 0.6	 0 0 0
 2138166	 0.22000718	 13053 20294 119189	 1 0.6	 0 0 0
 2138667	 0.22000718	 13063 20305 119240	 1 0.6	 0 0 0
 2139145	 0.8965517	 13071 20320 119287	 1 0.4	 0 0 0
 2139670	 0.22000718	 13078 20335 119340	 1 0.4	 0 0 0
 2140148	 0.22000718	 13089 20349 119390	 1 0.4	 0 0 0
 2140647	 0.22000718	 13095 20358 119440	 1 0.4	 0 0 0
 2141167	 0.22000718	 13102 20366 119489	 1 0.4	 0 0 0
 2141670	 0.22000718	 13109 20376 119540	 1 0.4	 0 0 0
 2142151	 0.82758623	 13118 20392 119587	 1 0.20392156862745098	 0 0 0
 2142670	 0.22000718	 13124 20407 119640	 1 0.20392156862745098	 0 0 0
 2143147	 0.22000718	 13127 20415 119689	 1 0.20392156862745098	 0 0 0
 2143657	 0.8965517	 13136 20428 119743	 1 0.20392156862745098	 0 0 0
 2144157	 0.22000718	 13142 20437 119790	 1 0.20392156862745098	 0 0 0
 2144668	 0.22000718	 13147 20445 119839	 1 0.20392156862745098	 0 0 0
 2145155	 0.82758623	 13154 20459 119887	 1 0.00392156862745098	 0 0 0
 2145673	 0.22000718	 13161 20473 119940	 1 0.00392156862745098	 0 0 0
 2146171	 0.22000718	 13170 20484 119990	 1 0.00392156862745098	 0 0 0
 2146666	 0.22000718	 13176 20493 120040	 1 0.00392156862745098	 0 0 0
 2147171	 0.22000718	 13186 20507 120095	 1 0.00392156862745098	 0 0 0
 2147657	 0.22000718	 13191 20518 120140	 1 0.00392156862745098	 0 0 0
 2148147	 0.86206895	 13201 20534 120187	 1 0.00392156862745098	 0 0 0
 2148647	 0.22000718	 13216 20562 120240	 1 0.00392156862745098	 0 0 0
 2149166	 0.8965517	 13231 20590 120288	 1 0.00392156862745098	 0 0 0
 2149657	 0.22000718	 13239 20606 120340	 1 0.00392156862745098	 0 0 0
 2150148	 0.8965517	 13261 20638 120390	 1 0.00392156862745098	 0 0 0
 2150648	 0.8965517	 13283 20678 120444	 1 0.00392156862745098	 0 0 0
 2151147	 0.22000718	 13295 20694 120489	 1 0.00392156862745098	 0 0 0
 2151652	 0.22000718	 13312 20714 120540	 1 0.00392156862745098	 0 0 0
