Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0000,152.000,607.544,3.997000
0.0002,138.500,553.446,3.996000
0.0004,135.000,539.393,3.995500
0.0006,134.500,537.193,3.994000
0.0008,145.500,581.418,3.996000
0.0010,145.500,581.854,3.999000
0.0012,142.500,569.430,3.996000
0.0014,150.000,599.475,3.996500
0.0016,144.500,577.566,3.997000
0.0018,136.500,545.659,3.997500
0.0020,136.000,543.388,3.995500
0.0022,132.000,527.538,3.996500
0.0024,129.000,515.226,3.994000
0.0026,144.000,575.352,3.995500
0.0028,156.500,625.061,3.994000
0.0030,146.500,585.487,3.996500
0.0032,136.500,545.386,3.995500
0.0034,134.000,535.531,3.996500
0.0036,107.000,427.840,3.998500
0.0038,106.000,423.682,3.997000
0.0040,103.000,411.846,3.998500
0.0042,100.000,399.600,3.996000
0.0044,106.000,423.629,3.996500
0.0046,107.000,427.572,3.996000
0.0048,106.000,423.523,3.995500
0.0050,102.000,407.388,3.994000
0.0052,116.000,463.478,3.995500
0.0054,123.000,491.447,3.995500
0.0056,130.000,519.545,3.996500
0.0058,138.000,551.586,3.997000
0.0060,138.500,553.515,3.996500
0.0062,145.000,579.492,3.996500
0.0064,151.500,605.167,3.994500
0.0066,144.500,577.422,3.996000
0.0068,139.500,557.581,3.997000
0.0070,152.000,607.316,3.995500
0.0072,171.000,683.316,3.996000
0.0074,233.500,933.183,3.996500
0.0076,209.000,835.896,3.999500
0.0078,183.000,731.268,3.996000
0.0080,188.500,753.246,3.996000
0.0082,207.000,827.482,3.997500
0.0084,195.500,781.414,3.997000
0.0086,175.000,699.300,3.996000
0.0088,199.000,795.104,3.995500
0.0090,200.000,798.700,3.993500
0.0092,187.000,747.439,3.997000
0.0094,182.000,727.181,3.995500
0.0096,214.000,855.251,3.996500
0.0098,194.500,777.125,3.995500
0.0100,183.500,734.275,4.001500
0.0102,195.500,781.511,3.997500
0.0104,199.000,795.403,3.997000
0.0106,189.500,757.147,3.995500
0.0108,176.000,702.944,3.994000
0.0110,204.500,817.386,3.997000
0.0112,203.000,811.087,3.995500
0.0114,185.500,741.443,3.997000
0.0116,194.500,776.930,3.994500
0.0118,206.500,826.103,4.000500
0.0120,187.000,747.346,3.996500
0.0122,202.000,807.293,3.996500
0.0124,189.500,756.958,3.994500
0.0126,175.000,699.213,3.995500
0.0128,151.500,605.470,3.996500
0.0130,159.500,637.442,3.996500
0.0132,139.500,557.512,3.996500
0.0134,147.500,589.115,3.994000
0.0136,140.500,561.227,3.994500
0.0138,139.000,555.166,3.994000
0.0140,144.500,577.494,3.996500
0.0142,144.000,575.640,3.997500
0.0144,156.500,625.374,3.996000
0.0146,153.000,611.847,3.999000
0.0148,148.000,591.556,3.997000
0.0150,143.000,571.643,3.997500
