Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0000,143.000,571.357,3.995500
0.0002,143.500,573.354,3.995500
0.0004,138.000,551.517,3.996500
0.0006,142.000,567.432,3.996000
0.0008,145.500,581.491,3.996500
0.0010,149.000,595.404,3.996000
0.0012,147.500,589.484,3.996500
0.0014,143.000,571.500,3.996500
0.0016,136.000,543.388,3.995500
0.0018,137.500,549.381,3.995500
0.0020,139.500,557.372,3.995500
0.0022,139.000,555.513,3.996500
0.0024,138.000,551.517,3.996500
0.0026,136.500,545.522,3.996500
0.0028,135.500,541.526,3.996500
0.0030,144.000,575.640,3.997500
0.0032,138.500,553.515,3.996500
0.0034,133.000,531.468,3.996000
0.0036,138.500,553.515,3.996500
0.0038,138.000,551.448,3.996000
0.0040,147.000,587.485,3.996500
0.0042,137.000,547.383,3.995500
0.0044,137.000,547.452,3.996000
0.0046,138.000,551.586,3.997000
0.0048,139.000,555.792,3.998500
0.0050,136.500,545.795,3.998500
0.0052,136.000,543.592,3.997000
0.0054,141.000,563.507,3.996500
0.0056,142.000,567.503,3.996500
0.0058,139.500,557.512,3.996500
0.0060,140.500,561.368,3.995500
0.0062,145.000,579.203,3.994500
0.0064,145.500,581.418,3.996000
0.0066,144.500,577.494,3.996500
0.0068,149.000,595.404,3.996000
0.0070,152.000,607.468,3.996500
0.0072,151.500,605.773,3.998500
0.0074,147.500,589.853,3.999000
0.0076,148.500,593.555,3.997000
0.0078,136.000,543.796,3.998500
0.0080,136.500,545.454,3.996000
0.0082,141.000,563.507,3.996500
0.0084,147.500,589.189,3.994500
0.0086,153.000,611.464,3.996500
0.0088,147.500,589.484,3.996500
0.0090,153.500,613.539,3.997000
0.0092,140.500,561.859,3.999000
0.0094,139.000,555.513,3.996500
0.0096,141.500,565.646,3.997500
0.0098,136.000,543.388,3.995500
0.0100,142.500,569.501,3.996500
0.0102,148.000,591.482,3.996500
0.0104,146.000,583.416,3.996000
0.0106,146.000,583.343,3.995500
0.0108,140.500,561.157,3.994000
0.0110,146.500,585.341,3.995500
0.0112,145.500,581.491,3.996500
0.0114,140.000,559.580,3.997000
0.0116,133.000,531.801,3.998500
0.0118,135.000,539.393,3.995500
