up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 212075	 0.79310346	 5533 7706 21178	 1 0.00392156862745098	 1 300297 46753
 212566	 0.8965517	 5553 7736 21221	 1 0.00392156862745098	 1 300297 46753
 212979	 0.8965517	 5561 7749 21266	 1 0.00392156862745098	 1 300297 46753
 213519	 0.8965517	 5571 7765 21316	 1 0.00392156862745098	 1 300297 46753
 214031	 0.8965517	 5589 7793 21367	 1 0.00392156862745098	 1 300297 46753
 214515	 0.8965517	 5596 7804 21415	 1 0.00392156862745098	 1 300297 46753
 215005	 0.8965517	 5623 7844 21474	 1 0.00392156862745098	 1 300297 46753
 215503	 0.8965517	 5626 7854 21514	 1 0.00392156862745098	 1 300297 46753
 215978	 0.8965517	 5633 7866 21566	 1 0.00392156862745098	 1 300625 46753
 216477	 0.22000718	 5645 7885 21620	 1 0.00392156862745098	 1 300625 46753
 217002	 0.8965517	 5655 7898 21666	 1 0.00392156862745098	 1 300625 46753
 217487	 0.22000718	 5661 7908 21715	 1 0.00392156862745098	 1 300625 46753
 218002	 0.8965517	 5670 7920 21766	 1 0.00392156862745098	 1 300625 46753
 218504	 0.8965517	 5681 7934 21816	 1 0.00392156862745098	 1 300625 46753
 219017	 0.8965517	 5691 7945 21866	 1 0.00392156862745098	 1 300625 46753
 219504	 0.8965517	 5697 7956 21915	 1 0.00392156862745098	 1 300625 46753
 219996	 0.22000718	 5707 7971 21966	 1 0.00392156862745098	 1 300625 46753
 220497	 0.8965517	 5712 7980 22015	 1 0.00392156862745098	 1 300625 46753
 220977	 0.22000718	 5722 7991 22065	 1 0.00392156862745098	 1 300625 46753
 221470	 0.8965517	 5734 8005 22118	 1 0.00392156862745098	 1 300625 46753
 222000	 0.22000718	 5740 8018 22166	 1 0.00392156862745098	 1 300625 46753
 222505	 0.8965517	 5746 8028 22214	 1 0.00392156862745098	 1 300625 46753
 222998	 0.8965517	 5757 8043 22268	 1 0.00392156862745098	 1 300625 46753
 223512	 0.8965517	 5764 8054 22315	 1 0.00392156862745098	 1 300625 46753
 224005	 0.8965517	 5769 8064 22364	 1 0.00392156862745098	 1 300625 46753
 224486	 0.8965517	 5774 8074 22414	 1 0.00392156862745098	 1 300625 46753
 224994	 0.8965517	 5784 8088 22464	 1 0.00392156862745098	 1 300625 46753
 225480	 0.8965517	 5792 8099 22514	 1 0.00392156862745098	 1 300625 46753
 225969	 0.8965517	 5800 8110 22565	 1 0.00392156862745098	 1 300625 46753
 226555	 0.8965517	 5813 8125 22620	 1 0.00392156862745098	 1 300625 46753
 227009	 0.8965517	 5818 8135 22664	 1 0.00392156862745098	 1 300625 46753
 227490	 0.8965517	 5824 8146 22714	 1 0.00392156862745098	 1 300625 46753
 227976	 0.22000718	 5832 8160 22769	 1 0.00392156862745098	 1 300625 46753
 228476	 0.22000718	 5842 8170 22814	 1 0.00392156862745098	 1 300625 46753
 229010	 0.8965517	 5848 8181 22865	 1 0.00392156862745098	 1 300625 46753
 229487	 0.8965517	 5855 8191 22914	 1 0.00392156862745098	 1 300625 46753
 230014	 0.8965517	 5864 8205 22964	 1 0.00392156862745098	 1 300625 46753
 230502	 0.8965517	 5871 8217 23015	 1 0.00392156862745098	 1 300625 46753
 230970	 0.22000718	 5879 8228 23065	 1 0.00392156862745098	 1 300625 46753
 231511	 0.8965517	 5889 8241 23114	 1 0.00392156862745098	 1 300625 46753
 231970	 0.22000718	 5897 8253 23165	 1 0.00392156862745098	 1 300625 46753
 232496	 0.8965517	 5904 8263 23214	 1 0.00392156862745098	 1 300625 46753
 232986	 0.8965517	 5914 8278 23268	 1 0.00392156862745098	 1 300625 46753
 233497	 0.8965517	 5922 8288 23314	 1 0.00392156862745098	 1 300625 46753
 233976	 0.8965517	 5927 8300 23366	 1 0.00392156862745098	 1 300625 46753
 234486	 0.22000718	 5938 8313 23418	 1 0.00392156862745098	 1 300625 46753
 234995	 0.22000718	 5946 8324 23465	 1 0.00392156862745098	 1 300625 46753
 235496	 0.22000718	 5953 8333 23514	 1 0.00392156862745098	 1 300625 46753
 236003	 0.8965517	 5959 8343 23564	 1 0.00392156862745098	 1 300625 46753
 236475	 0.22000718	 5971 8356 23614	 1 0.00392156862745098	 1 300625 46753
 236976	 0.8965517	 5978 8367 23665	 1 0.00392156862745098	 1 300625 46753
 237485	 0.8965517	 5985 8377 23715	 1 0.00392156862745098	 1 300625 46753
 238004	 0.8965517	 5994 8390 23764	 1 0.00392156862745098	 1 300625 46753
 238493	 0.22000718	 6002 8400 23814	 1 0.00392156862745098	 1 300625 46753
 238970	 0.8965517	 6008 8410 23864	 1 0.00392156862745098	 1 300625 46753
 239485	 0.7586207	 6016 8421 23917	 1 0.00392156862745098	 1 300625 46753
 239969	 0.22000718	 6026 8432 23965	 1 0.00392156862745098	 1 300625 46753
 240469	 0.22000718	 6032 8444 24016	 1 0.00392156862745098	 1 300625 46753
 241000	 0.22000718	 6041 8456 24067	 1 0.00392156862745098	 1 300625 46753
 241487	 0.8965517	 6047 8468 24115	 1 0.00392156862745098	 1 300625 46753
 242007	 0.8965517	 6057 8479 24165	 1 0.00392156862745098	 1 300625 46753
 242504	 0.8965517	 6065 8489 24214	 1 0.00392156862745098	 1 300625 46753
 242979	 0.8965517	 6074 8502 24264	 1 0.00392156862745098	 1 300625 46753
 243496	 0.22000718	 6081 8512 24315	 1 0.00392156862745098	 1 300625 46753
 243986	 0.22000718	 6086 8521 24364	 1 0.00392156862745098	 1 300625 46753
 244468	 0.8965517	 6102 8547 24420	 1 0.00392156862745098	 1 300625 46753
 244998	 0.8965517	 6114 8567 24465	 1 0.00392156862745098	 1 300625 46753
