up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 2449691	 0.8965517	 18544 28982 244669	 1 1.0	 1 22762456 485141
 2450192	 0.22000718	 18552 28993 244721	 1 1.0	 1 22762784 485141
 2450672	 0.22000718	 18558 29003 244770	 1 1.0	 1 22762784 485141
 2451148	 0.22000718	 18563 29014 244821	 1 1.0	 1 22762784 485141
 2451645	 0.8965517	 18576 29033 244868	 1 1.0	 1 22762784 485141
 2452164	 0.22000718	 18593 29061 244920	 1 1.0	 1 22762784 485141
 2452643	 0.8965517	 18615 29096 244967	 1 1.0	 1 22762784 485141
 2453170	 0.22000718	 18651 29144 245032	 1 1.0	 1 22762784 485141
 2453656	 0.8965517	 18659 29154 245069	 1 1.0	 1 22762784 485141
 2454145	 0.22000718	 18667 29163 245119	 1 1.0	 1 22762784 485141
 2454645	 0.22000718	 18673 29173 245170	 1 1.0	 1 22762784 485141
 2455154	 0.22000718	 18679 29184 245220	 1 1.0	 1 22762784 485141
 2455646	 0.8965517	 18684 29193 245269	 1 1.0	 1 22762784 485141
 2456142	 0.8965517	 18694 29214 245315	 1 1.0	 1 22762924 485375
 2456703	 0.8965517	 18708 29257 245377	 1 1.0	 1 23019476 490231
 2457148	 0.7241379	 18715 29277 245411	 1 1.0	 1 23176976 493101
 2457692	 0.8965517	 18725 29307 245470	 1 1.0	 1 23410976 497745
 2458169	 0.8965517	 18731 29319 245509	 1 1.0	 1 23505476 502111
 2458665	 0.8965517	 18736 29332 245559	 1 1.0	 1 23556476 503161
 2459187	 0.8965517	 18743 29348 245606	 1 1.0	 1 23688476 506031
 2459685	 0.8965517	 18747 29362 245655	 1 1.0	 1 23824054 508901
 2460159	 0.22000718	 18750 29370 245704	 1 1.0	 1 23824054 508901
 2460665	 0.22000718	 18758 29380 245755	 1 1.0	 1 23824054 508901
 2461155	 0.22000718	 18762 29391 245805	 1 1.0	 1 23824054 508901
 2461655	 0.22000718	 18768 29403 245855	 1 1.0	 1 23824054 508901
 2462155	 0.8965517	 18784 29423 245913	 1 1.0	 1 23824382 508901
 2462646	 0.22000718	 18789 29433 245955	 1 1.0	 1 23824382 508901
 2463155	 0.22000718	 18794 29445 246006	 1 1.0	 1 23824382 508901
 2463655	 0.22000718	 18803 29456 246055	 1 1.0	 1 23824382 508901
 2464165	 0.22000718	 18812 29471 246106	 1 1.0	 1 23824382 508901
 2464646	 0.22000718	 18819 29482 246155	 1 1.0	 1 23824382 508901
 2465146	 0.22000718	 18827 29493 246206	 1 1.0	 1 23824382 508901
 2465655	 0.22000718	 18831 29502 246254	 1 1.0	 1 23824382 508901
 2466157	 0.8965517	 18837 29513 246304	 1 1.0	 1 23824766 509049
 2466665	 0.8965517	 18847 29533 246360	 1 1.0	 1 23863818 511237
 2467181	 0.22000718	 18854 29546 246406	 1 1.0	 1 23938876 513919
 2467655	 0.22000718	 18867 29572 246458	 1 1.0	 1 24087428 516859
 2468188	 0.8965517	 18870 29591 246504	 1 1.0	 1 24300428 521199
 2468675	 0.8965517	 18885 29617 246555	 1 1.0	 1 24568928 525259
 2469147	 0.8965517	 18892 29640 246600	 1 1.0	 1 24829986 529949
 2469646	 0.22000718	 18904 29656 246648	 1 1.0	 1 24886064 531139
 2470146	 0.22000718	 18912 29668 246699	 1 1.0	 1 24886064 531139
 2470662	 0.22000718	 18916 29675 246746	 1 1.0	 1 24886064 531139
 2471171	 0.8965517	 18932 29694 246807	 1 1.0	 1 24886064 531209
 2471655	 0.22000718	 18939 29706 246849	 1 1.0	 1 24886064 531209
 2472157	 0.22000718	 18941 29715 246897	 1 1.0	 1 24886064 531209
 2472657	 0.22000718	 18947 29724 246947	 1 1.0	 1 24886064 531209
 2473167	 0.22000718	 18951 29736 246999	 1 1.0	 1 24886392 531209
 2473665	 0.22000718	 18958 29745 247048	 1 1.0	 1 24886392 531209
 2474146	 0.22000718	 18965 29754 247097	 1 1.0	 1 24886720 531209
 2474655	 0.22000718	 18975 29767 247149	 1 1.0	 1 24886720 531209
 2475146	 0.22000718	 18977 29775 247196	 1 1.0	 1 24886720 531209
 2475732	 0.8965517	 18988 29789 247252	 1 1.0	 1 24886720 531209
 2476156	 0.22000718	 18995 29800 247297	 1 1.0	 1 24887104 531357
 2476695	 0.8965517	 19000 29823 247348	 1 1.0	 1 25116656 536283
 2477149	 0.8965517	 19004 29846 247394	 1 1.0	 1 25344714 543579
 2477688	 0.8965517	 19014 29874 247446	 1 1.0	 1 25613324 548689
 2478161	 0.8965517	 19026 29903 247492	 1 1.0	 1 25901382 553659
 2478665	 0.8965517	 19034 29914 247543	 1 1.0	 1 25948460 554779
 2479156	 0.22000718	 19040 29924 247595	 1 1.0	 1 25948460 554779
 2479673	 0.22000718	 19048 29933 247643	 1 1.0	 1 25948460 554779
 2480167	 0.22000718	 19059 29949 247694	 1 1.0	 1 25948788 554779
 2480669	 0.22000718	 19066 29959 247743	 1 1.0	 1 25948788 554779
 2481155	 0.22000718	 19072 29969 247794	 1 1.0	 1 25948788 554779
 2481646	 0.22000718	 19077 29979 247844	 1 1.0	 1 25948788 554779
 2482148	 0.22000718	 19083 29989 247895	 1 1.0	 1 25948788 554779
 2482655	 0.8965517	 19087 29997 247943	 1 1.0	 1 25948788 554779
 2483146	 0.8965517	 19096 30007 247993	 1 1.0	 1 25948788 554779
 2483656	 0.22000718	 19105 30017 248044	 1 1.0	 1 25948788 554779
 2484169	 0.22000718	 19113 30028 248094	 1 1.0	 1 25948788 554779
 2484646	 0.22000718	 19126 30043 248143	 1 1.0	 1 25948788 554779
 2485170	 0.22000718	 19134 30053 248194	 1 1.0	 1 25948788 554779
 2485646	 0.22000718	 19139 30063 248244	 1 1.0	 1 25948788 554779
 2486159	 0.22000718	 19146 30074 248294	 1 1.0	 1 25948844 555163
 2486700	 0.8965517	 19149 30103 248346	 1 1.0	 1 26266896 561113
 2487206	 0.8965517	 19160 30131 248392	 1 1.0	 1 26601448 565523
 2487650	 0.8965517	 19175 30164 248441	 1 1.0	 1 26964448 570843
 2488182	 0.22000718	 19185 30176 248486	 1 1.0	 1 27010354 571963
 2488665	 0.8965517	 19191 30185 248536	 1 1.0	 1 27010354 571963
 2489165	 0.22000718	 19202 30201 248588	 1 1.0	 1 27010354 571963
 2489665	 0.22000718	 19209 30209 248636	 1 1.0	 1 27010354 571963
 2490146	 0.22000718	 19216 30219 248687	 1 1.0	 1 27010354 571963
 2490665	 0.22000718	 19223 30229 248737	 1 1.0	 1 27010354 571963
 2491169	 0.22000718	 19231 30238 248787	 1 1.0	 1 27010354 571963
 2491665	 0.22000718	 19236 30248 248837	 1 1.0	 1 27010354 571963
 2492173	 0.22000718	 19242 30259 248887	 1 1.0	 1 27010354 571963
 2492670	 0.22000718	 19249 30271 248937	 1 1.0	 1 27010354 571963
 2493168	 0.22000718	 19252 30280 248987	 1 1.0	 1 27010354 571963
 2493662	 0.22000718	 19262 30294 249036	 1 1.0	 1 27010354 571963
 2494155	 0.8965517	 19271 30305 249088	 1 1.0	 1 27010354 571963
 2494657	 0.8965517	 19275 30315 249136	 1 1.0	 1 27010354 571963
 2495170	 0.22000718	 19284 30325 249187	 1 1.0	 1 27010354 571963
 2495656	 0.22000718	 19290 30333 249236	 1 1.0	 1 27010354 571963
 2496175	 0.22000718	 19294 30344 249287	 1 1.0	 1 27010410 572347
 2496693	 0.8965517	 19302 30377 249336	 1 1.0	 1 27286462 577457
 2497165	 0.8965517	 19308 30400 249383	 1 1.0	 1 27510072 581587
 2497659	 0.8965517	 19315 30418 249431	 1 1.0	 1 27597400 583687
 2498146	 0.8965517	 19328 30434 249481	 1 1.0	 1 27672458 586587
 2498655	 0.8965517	 19338 30447 249530	 1 1.0	 1 27706958 588649
 2499170	 0.8965517	 19342 30457 249580	 1 1.0	 1 27708786 588859
 2499646	 0.8965517	 19345 30472 249628	 1 1.0	 1 27851286 591659
 2500155	 0.22000718	 19354 30488 249680	 1 1.0	 1 27971614 593689
 2500670	 0.22000718	 19358 30502 249727	 1 1.0	 1 28072692 595789
 2501155	 0.22000718	 19366 30512 249778	 1 1.0	 1 28072692 595789
 2501655	 0.22000718	 19369 30522 249828	 1 1.0	 1 28072692 595789
 2502146	 0.22000718	 19378 30531 249877	 1 1.0	 1 28073020 595789
 2502668	 0.22000718	 19391 30547 249929	 1 1.0	 1 28073020 595789
 2503155	 0.22000718	 19396 30558 249979	 1 1.0	 1 28073020 595789
 2503647	 0.8965517	 19403 30567 250027	 1 1.0	 1 28073020 595789
 2504165	 0.8965517	 19408 30575 250077	 1 1.0	 1 28073020 595789
 2504647	 0.22000718	 19414 30584 250128	 1 1.0	 1 28073020 595789
 2505146	 0.22000718	 19418 30593 250178	 1 1.0	 1 28073020 595789
 2505646	 0.22000718	 19423 30603 250228	 1 1.0	 1 28073020 595789
 2506146	 0.8965517	 19428 30614 250277	 1 1.0	 1 28073076 595937
 2506695	 0.8965517	 19441 30637 250329	 1 1.0	 1 28271180 599883
 2507271	 0.8965517	 19454 30669 250383	 1 1.0	 1 28541180 603523
 2507655	 0.8965517	 19466 30691 250424	 1 1.0	 1 28698680 605553
 2508146	 0.22000718	 19472 30702 250470	 1 1.0	 1 28766180 607023
 2508677	 0.8965517	 19478 30713 250519	 1 1.0	 1 28845680 611073
 2509155	 0.8965517	 19482 30727 250569	 1 1.0	 1 28902680 612333
 2509693	 0.8965517	 19488 30741 250619	 1 1.0	 1 28988180 615751
 2510155	 0.22000718	 19501 30763 250669	 1 1.0	 1 29108180 618003
 2510666	 0.22000718	 19506 30773 250719	 1 1.0	 1 29124680 618945
