up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 4547166	 0.8965517	 36047 58895 453832	 1 1.0	 1 137924 22353
 4547627	 0.8965517	 36071 58923 453878	 1 1.0	 1 137924 22353
 4548059	 0.8965517	 36103 58961 453926	 1 1.0	 1 137924 22353
 4548578	 0.8965517	 36112 58976 453975	 1 1.0	 1 137924 22353
 4549035	 0.3448276	 36148 59021 454025	 1 1.0	 1 137924 22353
 4549591	 0.8965517	 36164 59042 454075	 1 1.0	 1 137924 22353
 4550047	 0.8965517	 36191 59072 454124	 1 1.0	 1 137924 22353
 4550540	 0.8965517	 36198 59085 454173	 1 1.0	 1 137924 22353
 4551038	 0.8965517	 36209 59101 454229	 1 1.0	 1 137924 22353
 4551540	 0.22000718	 36218 59113 454273	 1 1.0	 1 137924 22353
 4552092	 0.8965517	 36230 59126 454325	 1 1.0	 1 137924 22353
 4552559	 0.8965517	 36247 59163 454380	 1 1.0	 1 226616 24713
 4553083	 0.8965517	 36254 59195 454425	 1 1.0	 1 576116 29963
 4553566	 0.8965517	 36266 59236 454477	 1 1.0	 1 1014116 34933
 4554087	 0.8965517	 36280 59267 454520	 1 1.0	 1 1374116 39133
 4554568	 0.8965517	 36294 59293 454568	 1 1.0	 1 1476116 44281
 4555089	 0.8965517	 36302 59325 454616	 1 1.0	 1 1875116 48271
 4555570	 0.8965517	 36312 59358 454668	 1 1.0	 1 2261459 53801
 4556073	 0.8965517	 36319 59373 454713	 1 1.0	 1 2261459 53801
 4556537	 0.8965517	 36329 59384 454763	 1 1.0	 1 2261459 53801
 4557037	 0.8965517	 36334 59394 454812	 1 1.0	 1 2261787 53801
 4557597	 0.8965517	 36345 59408 454865	 1 1.0	 1 2261787 53801
 4558075	 0.8965517	 36353 59419 454913	 1 1.0	 1 2261787 53801
 4558568	 0.8965517	 36363 59430 454963	 1 1.0	 1 2261787 53801
 4559067	 0.8965517	 36383 59452 455022	 1 1.0	 1 2261787 53801
 4559557	 0.22000718	 36392 59463 455062	 1 1.0	 1 2261787 53801
 4560056	 0.8965517	 36402 59475 455113	 1 1.0	 1 2261787 53801
 4560578	 0.8965517	 36412 59490 455166	 1 1.0	 1 2261787 53801
 4561057	 0.8965517	 36419 59502 455213	 1 1.0	 1 2262173 53801
 4561556	 0.8965517	 36428 59514 455264	 1 1.0	 1 2262173 53801
 4562037	 0.22000718	 36436 59524 455312	 1 1.0	 1 2262173 53801
 4562593	 0.8965517	 36447 59546 455364	 1 1.0	 1 2349281 56005
 4563092	 0.8965517	 36460 59577 455411	 1 1.0	 1 2710833 61325
 4563558	 0.22000718	 36467 59598 455458	 1 1.0	 1 2908833 66407
 4564083	 0.8965517	 36482 59625 455507	 1 1.0	 1 3024333 70331
 4564610	 0.8965517	 36487 59657 455557	 1 1.0	 1 3349833 76141
 4565065	 0.8965517	 36501 59690 455603	 1 1.0	 1 3606333 81363
 4565577	 0.86206895	 36510 59721 455656	 1 1.0	 1 3880891 88057
 4566066	 0.8965517	 36520 59749 455697	 1 1.0	 1 4130219 92397
 4566551	 0.8965517	 36530 59775 455742	 1 1.0	 1 4384562 97227
 4567037	 0.8965517	 36541 59790 455797	 1 1.0	 1 4384562 97297
 4567546	 0.22000718	 36553 59802 455845	 1 1.0	 1 4384562 97297
 4568064	 0.8965517	 36558 59812 455893	 1 1.0	 1 4384890 97297
 4568563	 0.8965517	 36566 59823 455944	 1 1.0	 1 4384890 97297
 4569074	 0.8965517	 36578 59836 455993	 1 1.0	 1 4385218 97297
 4569536	 0.8965517	 36584 59847 456043	 1 1.0	 1 4385218 97297
 4570061	 0.22000718	 36592 59858 456094	 1 1.0	 1 4385218 97297
 4570561	 0.8965517	 36602 59874 456144	 1 1.0	 1 4385218 97297
 4571061	 0.8965517	 36608 59885 456194	 1 1.0	 1 4385218 97297
 4571536	 0.8965517	 36615 59894 456243	 1 1.0	 1 4385218 97297
 4572060	 0.8965517	 36632 59915 456304	 1 1.0	 1 4385218 97297
 4572567	 0.8965517	 36640 59932 456344	 1 1.0	 1 4455826 99501
 4573050	 0.8965517	 36648 59956 456389	 1 1.0	 1 4752826 107249
 4573562	 0.22000718	 36656 59971 456443	 1 1.0	 1 4805326 108299
 4574075	 0.8965517	 36667 60001 456488	 1 1.0	 1 5115936 112919
 4574584	 0.8965517	 36679 60033 456535	 1 1.0	 1 5492436 117889
 4575041	 0.8965517	 36684 60059 456579	 1 1.0	 1 5849822 123559
 4575566	 0.8965517	 36692 60100 456635	 1 1.0	 1 6227822 129439
 4576069	 0.8965517	 36701 60126 456680	 1 1.0	 1 6507665 134269
 4576546	 0.8965517	 36707 60138 456731	 1 1.0	 1 6507665 134269
 4577062	 0.8965517	 36717 60152 456780	 1 1.0	 1 6507665 134269
 4577563	 0.22000718	 36723 60164 456832	 1 1.0	 1 6507665 134269
 4578046	 0.22000718	 36730 60174 456881	 1 1.0	 1 6507665 134269
 4578537	 0.8965517	 36738 60187 456934	 1 1.0	 1 6507665 134269
 4579061	 0.22000718	 36743 60196 456980	 1 1.0	 1 6507665 134269
 4579550	 0.8965517	 36749 60206 457030	 1 1.0	 1 6507665 134269
 4580052	 0.22000718	 36764 60227 457090	 1 1.0	 1 6507665 134269
 4580554	 0.22000718	 36772 60236 457130	 1 1.0	 1 6507665 134269
 4581035	 0.22000718	 36781 60248 457180	 1 1.0	 1 6507665 134269
 4581537	 0.22000718	 36786 60259 457230	 1 1.0	 1 6507665 134269
 4582046	 0.22000718	 36794 60272 457280	 1 1.0	 1 6507665 134269
 4582569	 0.8965517	 36799 60285 457327	 1 1.0	 1 6590601 136613
 4583037	 0.8965517	 36812 60318 457375	 1 1.0	 1 6967481 143069
 4583540	 0.8965517	 36824 60355 457424	 1 1.0	 1 7217981 147129
 4584105	 0.8965517	 36832 60391 457478	 1 1.0	 1 7625981 153499
 4584586	 0.8965517	 36845 60417 457523	 1 1.0	 1 7963539 158329
 4585085	 0.8965517	 36861 60458 457576	 1 1.0	 1 8355039 163649
 4585577	 0.8965517	 36867 60481 457617	 1 1.0	 1 8634039 167779
 4586062	 0.8965517	 36877 60496 457667	 1 1.0	 1 8634882 168269
 4586536	 0.22000718	 36888 60510 457721	 1 1.0	 1 8635210 168269
 4587036	 0.22000718	 36893 60520 457766	 1 1.0	 1 8635210 168269
 4587536	 0.8965517	 36900 60531 457817	 1 1.0	 1 8635210 168269
 4588036	 0.22000718	 36908 60545 457866	 1 1.0	 1 8635210 168269
 4588546	 0.22000718	 36920 60558 457916	 1 1.0	 1 8635210 168269
 4589057	 0.22000718	 36927 60568 457966	 1 1.0	 1 8635210 168269
 4589558	 0.22000718	 36935 60579 458017	 1 1.0	 1 8635210 168269
 4590053	 0.8965517	 36943 60592 458066	 1 1.0	 1 8635210 168269
 4590562	 0.22000718	 36949 60602 458116	 1 1.0	 1 8635210 168269
 4591046	 0.22000718	 36956 60613 458166	 1 1.0	 1 8635210 168269
 4591564	 0.8965517	 36965 60629 458221	 1 1.0	 1 8635538 168269
 4592053	 0.22000718	 36970 60638 458266	 1 1.0	 1 8635538 168269
 4592566	 0.8965517	 36976 60652 458316	 1 1.0	 1 8716646 170333
 4593109	 0.8965517	 36987 60684 458370	 1 1.0	 1 9088646 176703
 4593596	 0.8965517	 36995 60714 458412	 1 1.0	 1 9345198 181603
 4594085	 0.8965517	 37010 60739 458458	 1 1.0	 1 9685698 186923
 4594602	 0.8965517	 37016 60769 458507	 1 1.0	 1 10043026 193293
 4595094	 0.8965517	 37034 60800 458556	 1 1.0	 1 10320584 198403
 4595595	 0.8965517	 37043 60825 458601	 1 1.0	 1 10664412 203583
 4596036	 0.22000718	 37053 60841 458648	 1 1.0	 1 10758255 205683
 4596603	 0.8965517	 37063 60855 458701	 1 1.0	 1 10758255 205683
 4597058	 0.22000718	 37071 60865 458748	 1 1.0	 1 10758255 205683
 4597550	 0.8965517	 37077 60874 458797	 1 1.0	 1 10758583 205683
 4598058	 0.22000718	 37084 60886 458850	 1 1.0	 1 10758583 205683
 4598562	 0.22000718	 37089 60897 458897	 1 1.0	 1 10758583 205683
 4599066	 0.8965517	 37098 60907 458947	 1 1.0	 1 10758583 205683
 4599537	 0.8965517	 37102 60916 458996	 1 1.0	 1 10758583 205683
 4600052	 0.22000718	 37113 60932 459048	 1 1.0	 1 10758583 205683
 4600558	 0.22000718	 37122 60945 459098	 1 1.0	 1 10758583 205683
 4601046	 0.22000718	 37125 60956 459147	 1 1.0	 1 10758583 205683
 4601553	 0.22000718	 37137 60969 459197	 1 1.0	 1 10758911 205683
 4602057	 0.22000718	 37145 60980 459248	 1 1.0	 1 10758911 205683
 4602546	 0.22000718	 37152 60990 459297	 1 1.0	 1 10758911 205683
 4603063	 0.7586207	 37160 61003 459351	 1 1.0	 1 10758911 205683
 4603546	 0.22000718	 37167 61014 459398	 1 1.0	 1 10758911 205683
 4604049	 0.8965517	 37175 61023 459446	 1 1.0	 1 10758911 205683
 4604550	 0.22000718	 37187 61038 459502	 1 1.0	 1 10758911 205683
 4605052	 0.22000718	 37195 61050 459548	 1 1.0	 1 10758911 205683
 4605536	 0.22000718	 37202 61060 459597	 1 1.0	 1 10758911 205683
 4606045	 0.22000718	 37208 61071 459647	 1 1.0	 1 10758911 205683
 4606546	 0.8965517	 37218 61085 459697	 1 1.0	 1 10758911 205683
 4607063	 0.22000718	 37227 61096 459747	 1 1.0	 1 10758911 205683
 4607540	 0.22000718	 37235 61107 459798	 1 1.0	 1 10758911 205683
 4608053	 0.8965517	 37245 61121 459851	 1 1.0	 1 10758911 205683
 4608563	 0.8965517	 37251 61130 459897	 1 1.0	 1 10758911 205683
 4609036	 0.22000718	 37258 61139 459947	 1 1.0	 1 10758911 205683
 4609558	 0.22000718	 37268 61153 460001	 1 1.0	 1 10758911 205683
 4610058	 0.22000718	 37276 61164 460047	 1 1.0	 1 10758911 205683
 4610546	 0.22000718	 37283 61174 460097	 1 1.0	 1 10758911 205683
 4611045	 0.22000718	 37292 61185 460148	 1 1.0	 1 10758911 205683
 4611559	 0.22000718	 37302 61198 460197	 1 1.0	 1 10759239 205683
 4612039	 0.22000718	 37309 61209 460248	 1 1.0	 1 10759239 205683
 4612543	 0.6551724	 37321 61235 460296	 1 1.0	 1 10759239 205683
 4613059	 0.22000718	 37344 61267 460348	 1 1.0	 1 10759239 205683
 4613536	 0.22000718	 37356 61287 460398	 1 1.0	 1 10759567 205683
 4614053	 0.8965517	 37384 61322 460446	 1 1.0	 1 10759567 205683
 4614536	 0.22000718	 37394 61337 460501	 1 1.0	 1 10759567 205683
 4615062	 0.8965517	 37402 61347 460547	 1 1.0	 1 10759567 205683
 4615553	 0.22000718	 37408 61357 460597	 1 1.0	 1 10759567 205683
 4616059	 0.22000718	 37414 61367 460647	 1 1.0	 1 10759567 205683
 4616554	 0.22000718	 37423 61380 460697	 1 1.0	 1 10759567 205683
 4617061	 0.22000718	 37435 61396 460747	 1 1.0	 1 10759567 205683
 4617560	 0.22000718	 37441 61408 460797	 1 1.0	 1 10759567 205683
 4618045	 0.22000718	 37448 61425 460849	 1 1.0	 1 10759567 205683
 4618535	 0.8965517	 37474 61458 460898	 1 1.0	 1 10759895 205683
 4619048	 0.8965517	 37481 61479 460949	 1 1.0	 1 10759895 205683
 4619547	 0.8965517	 37507 61517 461002	 1 1.0	 1 10759895 205683
 4620049	 0.8965517	 37514 61526 461046	 1 1.0	 1 10759895 205683
 4620537	 0.8965517	 37524 61543 461094	 1 1.0	 1 10760223 205683
