up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 711717	 0.8965517	 10192 14543 71103	 1 1.0	 1 312315 51885
 712208	 0.8965517	 10199 14555 71151	 1 1.0	 1 312315 51885
 712655	 0.22000718	 10205 14565 71200	 1 1.0	 1 312315 51885
 713172	 0.8965517	 10212 14577 71250	 1 1.0	 1 312315 51885
 713656	 0.8965517	 10215 14587 71299	 1 1.0	 1 312315 51885
 714175	 0.8965517	 10230 14607 71360	 1 1.0	 1 312315 51885
 714655	 0.8965517	 10244 14634 71401	 1 1.0	 1 312315 51885
 715150	 0.22000718	 10249 14646 71451	 1 1.0	 1 312315 51885
 715650	 0.22000718	 10257 14657 71501	 1 1.0	 1 312315 51885
 716156	 0.8965517	 10267 14668 71549	 1 1.0	 1 312315 51885
 716677	 0.22000718	 10279 14682 71601	 1 1.0	 1 312315 51885
 717149	 0.8965517	 10282 14691 71650	 1 1.0	 1 312315 51885
 717655	 0.7241379	 10294 14706 71706	 1 1.0	 1 312315 51885
 718159	 0.22000718	 10302 14716 71750	 1 1.0	 1 312315 51885
 718650	 0.8965517	 10306 14724 71799	 1 1.0	 1 312315 51885
 719155	 0.8965517	 10313 14734 71850	 1 1.0	 1 312315 51885
 719650	 0.22000718	 10320 14745 71900	 1 1.0	 1 312315 51885
 720155	 0.22000718	 10330 14757 71951	 1 1.0	 1 312315 51885
 720665	 0.22000718	 10337 14766 72000	 1 1.0	 1 312315 51885
 721165	 0.22000718	 10346 14780 72050	 1 1.0	 1 312315 51885
 721656	 0.22000718	 10355 14791 72100	 1 1.0	 1 312315 51885
 722149	 0.22000718	 10363 14801 72150	 1 1.0	 1 312315 51885
 722665	 0.8965517	 10380 14821 72200	 1 1.0	 1 312489 52083
 723155	 0.22000718	 10390 14833 72252	 1 1.0	 1 312489 52083
 723670	 0.22000718	 10397 14843 72300	 1 1.0	 1 312489 52083
 724181	 0.22000718	 10402 14853 72349	 1 1.0	 1 312489 52083
 724681	 0.22000718	 10412 14866 72399	 1 1.0	 1 312489 52083
 725169	 0.22000718	 10417 14876 72450	 1 1.0	 1 312489 52083
 725650	 0.22000718	 10424 14885 72500	 1 1.0	 1 312489 52083
 726169	 0.8965517	 10430 14895 72550	 1 1.0	 1 312489 52083
 726649	 0.8965517	 10436 14905 72599	 1 1.0	 1 312489 52083
 727177	 0.22000718	 10440 14914 72650	 1 1.0	 1 312489 52083
 727649	 0.22000718	 10446 14925 72701	 1 1.0	 1 312489 52083
 728149	 0.22000718	 10458 14940 72750	 1 1.0	 1 312489 52083
 728656	 0.22000718	 10465 14950 72800	 1 1.0	 1 312489 52083
 729165	 0.22000718	 10473 14960 72850	 1 1.0	 1 312489 52083
 729672	 0.8965517	 10478 14970 72900	 1 1.0	 1 312489 52083
 730185	 0.8965517	 10484 14980 72950	 1 1.0	 1 312489 52083
 730678	 0.22000718	 10491 14989 73000	 1 1.0	 1 312489 52083
 731164	 0.22000718	 10504 15004 73056	 1 1.0	 1 312489 52083
 731668	 0.8965517	 10516 15017 73099	 1 1.0	 1 312489 52083
 732150	 0.8965517	 10522 15026 73149	 1 1.0	 1 312489 52083
 732672	 0.22000718	 10526 15034 73199	 1 1.0	 1 312489 52083
 733149	 0.22000718	 10532 15045 73251	 1 1.0	 1 312489 52083
 733676	 0.8965517	 10540 15056 73301	 1 1.0	 1 312489 52083
 734155	 0.22000718	 10546 15065 73350	 1 1.0	 1 312489 52083
 734670	 0.22000718	 10558 15080 73405	 1 1.0	 1 312489 52083
 735149	 0.22000718	 10566 15089 73450	 1 1.0	 1 312489 52083
 735675	 0.22000718	 10574 15099 73500	 1 1.0	 1 312489 52083
 736149	 0.22000718	 10580 15108 73549	 1 1.0	 1 312489 52083
 736670	 0.8965517	 10588 15118 73599	 1 1.0	 1 312489 52083
 737170	 0.22000718	 10593 15129 73650	 1 1.0	 1 312489 52083
 737655	 0.22000718	 10600 15139 73700	 1 1.0	 1 312489 52083
 738165	 0.8965517	 10612 15152 73753	 1 1.0	 1 312489 52083
 738655	 0.22000718	 10620 15162 73800	 1 1.0	 1 312489 52083
 739149	 0.22000718	 10625 15172 73850	 1 1.0	 1 312489 52083
 739655	 0.22000718	 10634 15183 73901	 1 1.0	 1 312489 52083
 740149	 0.22000718	 10641 15193 73951	 1 1.0	 1 312489 52083
 740665	 0.22000718	 10649 15203 74000	 1 1.0	 1 312489 52083
 741155	 0.22000718	 10655 15214 74051	 1 1.0	 1 312489 52083
 741670	 0.8965517	 10667 15230 74107	 1 1.0	 1 312489 52083
 742155	 0.22000718	 10676 15242 74151	 1 1.0	 1 312489 52083
 742648	 0.22000718	 10683 15252 74200	 1 1.0	 1 312489 52083
 743165	 0.22000718	 10690 15263 74251	 1 1.0	 1 312489 52083
 743649	 0.8965517	 10696 15273 74299	 1 1.0	 1 312547 52083
 744173	 0.8965517	 10707 15292 74353	 1 1.0	 1 312547 52083
