up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 2712374	 0.8965517	 21588 34142 270838	 1 1.0	 1 34070026 721965
 2712875	 0.22000718	 21596 34154 270889	 1 1.0	 1 34070026 721965
 2713325	 0.22000718	 21619 34182 270939	 1 1.0	 1 34070026 721965
 2713835	 0.8965517	 21628 34197 270988	 1 1.0	 1 34070026 721965
 2714322	 0.7241379	 21648 34225 271034	 1 1.0	 1 34070026 721965
 2714834	 0.22000718	 21671 34264 271089	 1 1.0	 1 34070026 721965
 2715345	 0.8965517	 21693 34294 271137	 1 1.0	 1 34070026 721965
 2715845	 0.22000718	 21699 34306 271189	 1 1.0	 1 34070026 721965
 2716325	 0.22000718	 21712 34321 271238	 1 1.0	 1 34070084 721965
 2716850	 0.22000718	 21718 34331 271288	 1 1.0	 1 34070084 721965
 2717344	 0.22000718	 21724 34341 271338	 1 1.0	 1 34070084 721965
 2717826	 0.22000718	 21731 34356 271390	 1 1.0	 1 34070084 721965
 2718374	 0.8965517	 21744 34385 271436	 1 1.0	 1 34229276 725865
 2718864	 0.8965517	 21753 34408 271483	 1 1.0	 1 34482776 732763
 2719382	 0.8965517	 21757 34436 271533	 1 1.0	 1 34727334 737733
 2719837	 0.55172414	 21767 34465 271577	 1 1.0	 1 34967392 742213
 2720329	 0.22000718	 21775 34489 271628	 1 1.0	 1 35131470 745013
 2720835	 0.22000718	 21792 34507 271688	 1 1.0	 1 35131470 745013
 2721335	 0.22000718	 21799 34518 271730	 1 1.0	 1 35131470 745013
 2721835	 0.22000718	 21805 34527 271779	 1 1.0	 1 35131470 745013
 2722326	 0.22000718	 21810 34536 271828	 1 1.0	 1 35131470 745013
 2722850	 0.22000718	 21817 34545 271878	 1 1.0	 1 35131470 745013
 2723335	 0.22000718	 21824 34555 271929	 1 1.0	 1 35131470 745013
 2723826	 0.22000718	 21830 34566 271980	 1 1.0	 1 35131470 745013
 2724344	 0.8965517	 21843 34582 272035	 1 1.0	 1 35131470 745013
 2724830	 0.8965517	 21858 34598 272075	 1 1.0	 1 35131470 745013
 2725335	 0.22000718	 21865 34610 272129	 1 1.0	 1 35131470 745013
 2725835	 0.22000718	 21877 34627 272179	 1 1.0	 1 35131470 745013
 2726344	 0.22000718	 21885 34637 272229	 1 1.0	 1 35131470 745013
 2726847	 0.8965517	 21893 34648 272280	 1 1.0	 1 35131470 745013
 2727336	 0.22000718	 21897 34658 272328	 1 1.0	 1 35131470 745013
 2727827	 0.8965517	 21903 34671 272375	 1 1.0	 1 35131470 745013
 2728365	 0.8965517	 21909 34696 272427	 1 1.0	 1 35293578 748337
 2728883	 0.8965517	 21918 34725 272479	 1 1.0	 1 35583518 752537
 2729352	 0.3448276	 21929 34756 272527	 1 1.0	 1 35943576 758067
 2729864	 0.22000718	 21938 34776 272574	 1 1.0	 1 36114634 766199
 2730345	 0.8965517	 21952 34799 272628	 1 1.0	 1 36193212 768923
 2730849	 0.8965517	 21957 34808 272672	 1 1.0	 1 36193540 768923
 2731344	 0.22000718	 21963 34817 272723	 1 1.0	 1 36193540 768923
