up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 920561	 0.8965517	 11026 15819 91983	 1 1.0	 1 313417 52187
 921055	 0.8965517	 11032 15831 92032	 1 1.0	 1 313417 52187
 921506	 0.8965517	 11044 15853 92078	 1 1.0	 1 313417 52187
 922007	 0.22000718	 11063 15882 92131	 1 1.0	 1 313417 52187
 922552	 0.8965517	 11071 15893 92182	 1 1.0	 1 313417 52187
 923008	 0.8965517	 11104 15940 92240	 1 1.0	 1 313417 52187
 923540	 0.22000718	 11127 15969 92281	 1 1.0	 1 313417 52187
 924025	 0.22000718	 11132 15980 92332	 1 1.0	 1 313417 52187
 924508	 0.8965517	 11149 16012 92381	 1 1.0	 1 313557 52421
 925056	 0.8965517	 11157 16048 92428	 1 1.0	 1 577609 57137
 925534	 0.8965517	 11169 16072 92477	 1 1.0	 1 843109 61967
 926025	 0.22000718	 11176 16082 92527	 1 1.0	 1 845447 62049
 926525	 0.8965517	 11184 16097 92581	 1 1.0	 1 845447 62049
 927031	 0.22000718	 11191 16106 92627	 1 1.0	 1 845447 62049
 927515	 0.22000718	 11197 16117 92678	 1 1.0	 1 845447 62049
 928033	 0.22000718	 11204 16131 92727	 1 1.0	 1 845447 62049
 928515	 0.22000718	 11211 16141 92777	 1 1.0	 1 845447 62049
 929030	 0.22000718	 11216 16151 92827	 1 1.0	 1 845447 62049
 929515	 0.22000718	 11222 16163 92877	 1 1.0	 1 845447 62049
 930008	 0.22000718	 11226 16174 92928	 1 1.0	 1 845447 62049
 930509	 0.8965517	 11238 16188 92976	 1 1.0	 1 845447 62049
 931008	 0.22000718	 11246 16199 93028	 1 1.0	 1 845447 62049
 931525	 0.22000718	 11252 16209 93077	 1 1.0	 1 845447 62049
 932008	 0.22000718	 11259 16220 93127	 1 1.0	 1 845447 62049
 932532	 0.22000718	 11265 16231 93177	 1 1.0	 1 845447 62049
 933025	 0.22000718	 11278 16249 93228	 1 1.0	 1 845447 62049
 933529	 0.22000718	 11285 16260 93277	 1 1.0	 1 845447 62049
 934031	 0.22000718	 11295 16272 93326	 1 1.0	 1 845447 62049
 934516	 0.22000718	 11303 16287 93379	 1 1.0	 1 875555 63553
 935035	 0.8965517	 11309 16315 93425	 1 1.0	 1 1198055 69013
 935531	 0.22000718	 11317 16340 93472	 1 1.0	 1 1376276 74391
 936015	 0.22000718	 11322 16350 93522	 1 1.0	 1 1376276 74391
