up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 8209957	 0.8965517	 46078 94261 814833	 1 1.0	 0 0 0
 8210439	 0.22000718	 46086 94271 814882	 1 1.0	 0 0 0
 8210904	 0.22000718	 46094 94279 814930	 1 1.0	 0 0 0
 8211404	 0.22000718	 46100 94290 814982	 1 1.0	 0 0 0
 8211913	 0.22000718	 46103 94299 815031	 1 1.0	 0 0 0
 8212413	 0.22000718	 46111 94308 815080	 1 1.0	 0 0 0
 8212904	 0.22000718	 46130 94339 815132	 1 1.0	 0 0 0
 8213404	 0.22000718	 46136 94348 815181	 1 1.0	 0 0 0
 8213905	 0.22000718	 46151 94364 815237	 1 1.0	 0 0 0
 8214414	 0.8965517	 46161 94375 815279	 1 1.0	 0 0 0
 8214899	 0.22000718	 46172 94389 815332	 1 1.0	 0 0 0
 8215433	 0.8965517	 46180 94399 815381	 1 1.0	 0 0 0
 8215923	 0.22000718	 46209 94435 815433	 1 1.0	 0 0 0
 8216404	 0.22000718	 46217 94447 815482	 1 1.0	 0 0 0
 8216904	 0.22000718	 46224 94457 815531	 1 1.0	 0 0 0
 8217401	 0.8965517	 46250 94490 815578	 1 1.0	 0 0 0
 8217896	 0.6551724	 46283 94533 815627	 1 1.0	 0 0 0
 8218404	 0.22000718	 46289 94545 815682	 1 1.0	 0 0 0
 8218929	 0.8965517	 46319 94583 815750	 1 1.0	 0 0 0
 8219396	 0.82758623	 46338 94610 815778	 1 1.0	 0 0 0
 8219914	 0.22000718	 46350 94627 815830	 1 1.0	 0 0 0
 8220397	 0.8965517	 46376 94669 815879	 1 1.0	 0 0 0
 8220906	 0.8965517	 46413 94718 815928	 1 1.0	 0 0 0
 8221409	 0.8965517	 46433 94769 815979	 1 1.0	 0 0 0
 8221903	 0.8965517	 46459 94804 816031	 1 1.0	 0 0 0
 8222428	 0.22000718	 46485 94837 816082	 1 1.0	 0 0 0
 8222917	 0.22000718	 46509 94870 816131	 1 1.0	 0 0 0
 8223415	 0.22000718	 46538 94905 816182	 1 1.0	 0 0 0
 8223898	 0.8965517	 46571 94949 816241	 1 1.0	 0 0 0
 8224416	 0.22000718	 46578 94960 816282	 1 1.0	 0 0 0
 8224939	 0.8965517	 46588 94974 816334	 1 1.0	 0 0 0
 8225415	 0.8965517	 46614 95009 816381	 1 1.0	 0 0 0
 8225895	 0.6551724	 46627 95031 816428	 1 1.0	 0 0 0
 8226400	 0.8965517	 46665 95079 816476	 1 1.0	 0 0 0
 8226931	 0.8965517	 46680 95101 816531	 1 1.0	 0 0 0
 8227401	 0.8965517	 46714 95145 816576	 1 1.0	 0 0 0
 8227899	 0.22000718	 46731 95171 816632	 1 1.0	 0 0 0
 8228404	 0.22000718	 46746 95192 816681	 1 0.11764705882352941	 0 0 0
 8228907	 0.8965517	 46761 95208 816729	 1 0.11764705882352941	 0 0 0
 8229401	 0.8965517	 46777 95234 816777	 1 0.11764705882352941	 0 0 0
 8229906	 0.82758623	 46817 95282 816827	 1 0.11764705882352941	 0 0 0
 8230397	 0.79310346	 46854 95330 816877	 1 0.11764705882352941	 0 0 0
 8230904	 0.86206895	 46890 95379 816927	 1 0.11764705882352941	 0 0 0
 8231405	 0.8965517	 46918 95417 816980	 1 0.11764705882352941	 0 0 0
 8231914	 0.22000718	 46933 95439 817030	 1 0.11764705882352941	 0 0 0
 8232415	 0.22000718	 46943 95454 817080	 1 0.11764705882352941	 0 0 0
 8232901	 0.3448276	 46975 95498 817129	 1 0.11764705882352941	 0 0 0
 8233404	 0.22000718	 46982 95509 817180	 1 0.11764705882352941	 0 0 0
 8233895	 0.8965517	 47019 95551 817237	 1 0.11764705882352941	 0 0 0
 8234411	 0.41379312	 47042 95583 817280	 1 0.11764705882352941	 0 0 0
