up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 2211691	 0.4827586	 12970 36294 220880	 1 0.00392156862745098	 0 0 0
 2212172	 0.4827586	 13000 36331 220929	 1 0.00392156862745098	 0 0 0
 2212655	 0.22000718	 13018 36356 220978	 1 0.00392156862745098	 0 0 0
 2213169	 0.22000718	 13024 36370 221029	 1 0.00392156862745098	 0 0 0
 2213647	 0.4827586	 13041 36398 221078	 1 0.00392156862745098	 0 0 0
 2214145	 0.22000718	 13067 36437 221129	 1 0.00392156862745098	 0 0 0
 2214672	 0.4827586	 13091 36469 221177	 1 0.00392156862745098	 0 0 0
 2215155	 0.4827586	 13095 36480 221227	 1 0.00392156862745098	 0 0 0
 2215646	 0.4827586	 13114 36505 221289	 1 0.00392156862745098	 0 0 0
 2216155	 0.22000718	 13129 36525 221328	 1 0.00392156862745098	 0 0 0
 2216646	 0.22000718	 13139 36537 221378	 1 0.00392156862745098	 0 0 0
 2217157	 0.4827586	 13157 36568 221426	 1 0.00392156862745098	 0 0 0
 2217661	 0.4827586	 13165 36619 221477	 1 0.00392156862745098	 0 0 0
 2218153	 0.4827586	 13171 36668 221526	 1 0.00392156862745098	 0 0 0
 2218653	 0.4827586	 13178 36718 221576	 1 0.00392156862745098	 0 0 0
 2219156	 0.4827586	 13190 36767 221625	 1 0.00392156862745098	 0 0 0
 2219647	 0.4827586	 13197 36817 221675	 1 0.00392156862745098	 0 0 0
 2220161	 0.4827586	 13208 36876 221734	 1 0.00392156862745098	 0 0 0
 2220652	 0.4827586	 13211 36917 221775	 1 0.00392156862745098	 0 0 0
 2221155	 0.4827586	 13219 36968 221826	 1 0.00392156862745098	 0 0 0
 2221652	 0.4827586	 13227 37018 221876	 1 0.00392156862745098	 0 0 0
 2222143	 0.4827586	 13235 37067 221925	 1 0.00392156862745098	 0 0 0
 2222652	 0.4827586	 13237 37117 221975	 1 0.00392156862745098	 0 0 0
 2223152	 0.4827586	 13243 37168 222026	 1 0.00392156862745098	 0 0 0
 2223647	 0.4827586	 13248 37217 222075	 1 0.00392156862745098	 0 0 0
 2224143	 0.4827586	 13254 37267 222125	 1 0.00392156862745098	 0 0 0
 2224738	 0.4827586	 13267 37325 222183	 1 0.00392156862745098	 0 0 0
