up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 415748	 0.8965517	 7558 10279 41467	 1 0.11764705882352941	 0 0 0
 416309	 0.8965517	 7585 10315 41517	 1 0.11764705882352941	 0 0 0
 416667	 0.8965517	 7602 10341 41555	 1 0.11764705882352941	 0 0 0
 417149	 0.8965517	 7616 10361 41606	 1 0.11764705882352941	 0 0 0
 417654	 0.8965517	 7645 10399 41653	 1 0.11764705882352941	 0 0 0
 418149	 0.8965517	 7660 10422 41705	 1 0.11764705882352941	 0 0 0
 418650	 0.8965517	 7686 10454 41761	 1 0.11764705882352941	 0 0 0
 419185	 0.8965517	 7693 10469 41806	 1 0.11764705882352941	 0 0 0
 419647	 0.22000718	 7702 10480 41856	 1 0.11764705882352941	 0 0 0
 420171	 0.22000718	 7707 10490 41905	 1 0.11764705882352941	 0 0 0
 420667	 0.8965517	 7722 10508 41955	 1 0.11764705882352941	 0 0 0
 421183	 0.22000718	 7730 10520 42006	 1 0.11764705882352941	 0 0 0
 421647	 0.8965517	 7746 10548 42056	 1 1.0	 0 0 0
 422176	 0.22000718	 7756 10563 42109	 1 1.0	 0 0 0
 422649	 0.8965517	 7761 10572 42154	 1 1.0	 0 0 0
 423159	 0.8965517	 7765 10583 42205	 1 1.0	 0 0 0
 423676	 0.22000718	 7771 10593 42255	 1 1.0	 0 0 0
 424149	 0.8965517	 7780 10608 42306	 1 1.0	 0 0 0
 424647	 0.8965517	 7787 10619 42356	 1 1.0	 0 0 0
 425182	 0.8965517	 7793 10629 42405	 1 1.0	 0 0 0
 425677	 0.22000718	 7806 10643 42459	 1 1.0	 0 0 0
 426169	 0.22000718	 7814 10654 42505	 1 1.0	 0 0 0
 426666	 0.22000718	 7820 10664 42555	 1 1.0	 0 0 0
 427158	 0.8965517	 7827 10675 42604	 1 1.0	 0 0 0
 427659	 0.8965517	 7838 10689 42654	 1 1.0	 0 0 0
 428155	 0.22000718	 7844 10700 42706	 1 1.0	 0 0 0
 428673	 0.22000718	 7850 10709 42754	 1 1.0	 0 0 0
 429173	 0.8965517	 7863 10727 42812	 1 1.0	 0 0 0
 429646	 0.8965517	 7867 10736 42854	 1 1.0	 0 0 0
 430147	 0.8965517	 7873 10747 42905	 1 1.0	 0 0 0
 430676	 0.22000718	 7882 10759 42956	 1 1.0	 0 0 0
 431169	 0.8965517	 7890 10771 43004	 1 1.0	 0 0 0
 431691	 0.8965517	 7908 10797 43057	 1 0.8	 0 0 0
 432148	 0.8965517	 7916 10808 43104	 1 0.8	 0 0 0
 432771	 0.8965517	 7931 10826 43163	 1 0.8	 0 0 0
 433147	 0.22000718	 7940 10837 43206	 1 0.8	 0 0 0
 433656	 0.8965517	 7947 10848 43256	 1 0.8	 0 0 0
 434174	 0.22000718	 7957 10862 43310	 1 0.8	 0 0 0
 434646	 0.8965517	 7966 10874 43355	 1 0.8	 0 0 0
 435172	 0.22000718	 7974 10885 43405	 1 0.8	 0 0 0
