up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 792861	 0.8965517	 10389 14529 79155	 1 0.00392156862745098	 1 424229 39190
 793378	 0.8965517	 10395 14544 79206	 1 0.00392156862745098	 1 424229 39190
 793806	 0.8965517	 10414 14577 79254	 1 0.00392156862745098	 1 424229 39190
 794328	 0.8965517	 10421 14588 79305	 1 0.00392156862745098	 1 424229 39190
 794843	 0.8965517	 10429 14603 79356	 1 0.00392156862745098	 1 424229 39190
 795307	 0.8965517	 10451 14645 79405	 1 0.00392156862745098	 1 424229 39190
 795834	 0.22000718	 10474 14677 79454	 1 0.00392156862745098	 1 424229 39190
 796325	 0.8965517	 10483 14689 79503	 1 0.00392156862745098	 1 424229 39190
 796825	 0.22000718	 10489 14699 79554	 1 0.00392156862745098	 1 424229 39190
 797329	 0.22000718	 10495 14708 79603	 1 0.00392156862745098	 1 424229 39190
 797823	 0.22000718	 10505 14724 79655	 1 0.00392156862745098	 1 424229 39190
 798307	 0.8965517	 10518 14741 79713	 1 0.00392156862745098	 1 424229 39190
 798825	 0.22000718	 10526 14752 79755	 1 0.00392156862745098	 1 424229 39190
 799316	 0.8965517	 10530 14763 79805	 1 0.00392156862745098	 1 424229 39190
 799806	 0.8965517	 10540 14781 79854	 1 1.0	 1 424229 39190
 800317	 0.8965517	 10545 14790 79903	 1 1.0	 1 424229 39190
 800825	 0.22000718	 10552 14802 79953	 1 1.0	 1 424229 39190
 801325	 0.22000718	 10557 14813 80004	 1 1.0	 1 424229 39190
 801815	 0.22000718	 10567 14827 80053	 1 1.0	 1 424229 39190
 802307	 0.22000718	 10574 14837 80103	 1 1.0	 1 424229 39190
 802834	 0.8965517	 10580 14846 80152	 1 1.0	 1 424229 39190
 803325	 0.22000718	 10586 14857 80203	 1 1.0	 1 424229 39190
 803830	 0.22000718	 10592 14866 80253	 1 1.0	 1 424229 39190
 804332	 0.22000718	 10600 14876 80303	 1 1.0	 1 424229 39190
 804815	 0.8965517	 10609 14888 80351	 1 1.0	 1 424229 39190
 805329	 0.22000718	 10619 14898 80402	 1 1.0	 1 424229 39190
 805815	 0.8965517	 10623 14908 80451	 1 1.0	 1 424229 39190
 806316	 0.22000718	 10630 14917 80502	 1 1.0	 1 424229 39190
 806806	 0.22000718	 10635 14927 80551	 1 1.0	 1 424229 39190
 807315	 0.8965517	 10642 14938 80603	 1 1.0	 1 424229 39190
 807806	 0.22000718	 10653 14950 80655	 1 1.0	 1 424229 39190
 808307	 0.22000718	 10660 14960 80701	 1 1.0	 1 424229 39190
 808806	 0.22000718	 10666 14971 80753	 1 1.0	 1 424229 39190
 809314	 0.22000718	 10672 14981 80802	 1 1.0	 1 424229 39190
 809815	 0.8965517	 10683 15002 80851	 1 0.8	 1 424229 39190
 810326	 0.22000718	 10687 15011 80901	 1 0.8	 1 424229 39190
 810815	 0.22000718	 10692 15022 80952	 1 0.8	 1 424229 39190
 811329	 0.22000718	 10700 15036 81001	 1 0.8	 1 424229 39190
 811815	 0.22000718	 10708 15046 81051	 1 0.8	 1 424229 39190
 812307	 0.22000718	 10713 15056 81101	 1 0.8	 1 424229 39190
 812829	 0.8965517	 10716 15065 81150	 1 0.8	 1 424229 39190
 813319	 0.22000718	 10720 15074 81200	 1 0.8	 1 424229 39190
 813807	 0.22000718	 10725 15085 81251	 1 0.8	 1 424229 39190
 814316	 0.8965517	 10732 15098 81304	 1 0.8	 1 424229 39190
 814825	 0.22000718	 10740 15108 81352	 1 0.8	 1 424229 39190
 815306	 0.22000718	 10746 15117 81401	 1 0.8	 1 424229 39190
 815815	 0.22000718	 10750 15128 81451	 1 0.8	 1 424229 39190
 816315	 0.22000718	 10758 15137 81501	 1 0.8	 1 424229 39190
 816816	 0.22000718	 10763 15146 81551	 1 0.8	 1 424229 39190
 817314	 0.22000718	 10770 15157 81601	 1 0.8	 1 424229 39190
 817844	 0.22000718	 10780 15172 81652	 1 0.8	 1 424229 39190
 818307	 0.22000718	 10789 15182 81701	 1 0.8	 1 424229 39190
 818828	 0.8965517	 10795 15190 81749	 1 0.8	 1 424229 39190
