up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 1154990	 0.37931034	 11533 30171 115388	 1 1.0	 1 8738 1924
 1155440	 0.37931034	 11546 30195 115435	 1 1.0	 1 8738 1924
 1155949	 0.22000718	 11571 30231 115484	 1 1.0	 1 8738 1924
 1156437	 0.22000718	 11581 30246 115535	 1 1.0	 1 8738 1924
 1156938	 0.37931034	 11594 30268 115584	 1 1.0	 1 8738 1924
 1157455	 0.37931034	 11627 30317 115638	 1 1.0	 1 8738 1924
 1157930	 0.22000718	 11655 30363 115695	 1 1.0	 1 8738 1924
 1158448	 0.22000718	 11665 30378 115735	 1 1.0	 1 8738 1924
 1158937	 0.37931034	 11672 30392 115783	 1 1.0	 1 8738 1924
 1159448	 0.22000718	 11679 30406 115834	 1 1.0	 1 8738 1924
 1159946	 0.22000718	 11686 30419 115884	 1 1.0	 1 8738 1924
 1160429	 0.22000718	 11695 30432 115934	 1 1.0	 1 8738 1924
 1160937	 0.22000718	 11703 30447 115985	 1 1.0	 1 9066 1924
 1161444	 0.22000718	 11713 30461 116034	 1 1.0	 1 9066 1924
 1161951	 0.22000718	 11722 30475 116085	 1 1.0	 1 9066 1924
 1162437	 0.37931034	 11748 30519 116137	 1 0.4980392156862745	 1 9066 1924
 1162938	 0.37931034	 11764 30564 116182	 1 0.4980392156862745	 1 9066 1924
 1163436	 0.37931034	 11773 30616 116234	 1 0.4980392156862745	 1 9066 1924
 1163928	 0.37931034	 11779 30664 116282	 1 0.4980392156862745	 1 9066 1924
 1164443	 0.37931034	 11782 30714 116332	 1 0.4980392156862745	 1 9066 1924
 1164935	 0.37931034	 11788 30764 116382	 1 0.4980392156862745	 1 9066 1924
 1165441	 0.37931034	 11792 30814 116432	 1 0.4980392156862745	 1 9066 1924
 1165935	 0.37931034	 11798 30864 116482	 1 0.4980392156862745	 1 9066 1924
 1166440	 0.37931034	 11814 30915 116533	 1 0.4980392156862745	 1 9066 1924
 1166928	 0.37931034	 11819 30964 116582	 1 0.4980392156862745	 1 9066 1924
 1167436	 0.37931034	 11827 31014 116632	 1 0.4980392156862745	 1 9066 1924
 1167928	 0.37931034	 11838 31064 116682	 1 0.4980392156862745	 1 9066 1924
 1168436	 0.37931034	 11844 31114 116732	 1 0.4980392156862745	 1 9066 1924
 1168933	 0.37931034	 11850 31164 116782	 1 0.4980392156862745	 1 9066 1924
 1169436	 0.37931034	 11858 31216 116834	 1 0.4980392156862745	 1 9066 1924
 1169944	 0.37931034	 11864 31264 116882	 1 0.4980392156862745	 1 9066 1924
 1170432	 0.37931034	 11877 31314 116932	 1 0.4980392156862745	 1 9066 1924
 1170936	 0.37931034	 11880 31364 116982	 1 0.4980392156862745	 1 9066 1924
 1171435	 0.37931034	 11886 31414 117032	 1 0.4980392156862745	 1 9066 1924
 1171927	 0.37931034	 11890 31463 117081	 1 0.4980392156862745	 1 9066 1924
 1172440	 0.37931034	 11895 31514 117132	 1 0.4980392156862745	 1 9066 1924
 1172938	 0.37931034	 11902 31565 117183	 1 0.4980392156862745	 1 9066 1924
 1173443	 0.37931034	 11909 31614 117232	 1 0.4980392156862745	 1 9066 1924
 1173933	 0.37931034	 11930 31664 117282	 1 0.4980392156862745	 1 9066 1924
 1174432	 0.37931034	 11944 31723 117341	 1 0.4980392156862745	 1 9066 1924
 1174927	 0.37931034	 11950 31763 117381	 1 0.4980392156862745	 1 9066 1924
 1175428	 0.37931034	 11959 31814 117432	 1 0.4980392156862745	 1 9066 1924
 1175932	 0.37931034	 11966 31864 117482	 1 0.4980392156862745	 1 9066 1924
 1176444	 0.37931034	 11973 31915 117533	 1 0.4980392156862745	 1 9066 1924
 1176942	 0.37931034	 11977 31964 117582	 1 0.4980392156862745	 1 9066 1924
 1177436	 0.37931034	 11981 32014 117632	 1 0.4980392156862745	 1 9066 1924
 1177936	 0.37931034	 11988 32064 117682	 1 0.4980392156862745	 1 9066 1924
 1178445	 0.37931034	 12003 32123 117741	 1 0.4980392156862745	 1 9066 1924
 1178942	 0.37931034	 12016 32165 117783	 1 0.4980392156862745	 1 9066 1924
 1179440	 0.37931034	 12026 32214 117832	 1 0.4980392156862745	 1 9066 1924
 1179956	 0.37931034	 12035 32266 117884	 1 0.4980392156862745	 1 9066 1924
 1180427	 0.37931034	 12042 32314 117932	 1 0.4980392156862745	 1 9066 1924
 1180935	 0.37931034	 12047 32364 117982	 1 0.4980392156862745	 1 9066 1924
 1181436	 0.37931034	 12055 32414 118032	 1 0.4980392156862745	 1 9066 1924
 1181939	 0.37931034	 12059 32465 118083	 1 0.4980392156862745	 1 9066 1924
 1182432	 0.37931034	 12073 32523 118141	 1 0.4980392156862745	 1 9066 1924
 1182932	 0.37931034	 12081 32564 118182	 1 0.4980392156862745	 1 9066 1924
 1183446	 0.37931034	 12089 32616 118234	 1 0.4980392156862745	 1 9066 1924
 1183936	 0.37931034	 12095 32664 118282	 1 0.4980392156862745	 1 9066 1924
 1184451	 0.37931034	 12101 32715 118333	 1 0.4980392156862745	 1 9066 1924
 1184940	 0.37931034	 12110 32764 118382	 1 0.4980392156862745	 1 9066 1924
 1185451	 0.37931034	 12116 32814 118432	 1 0.4980392156862745	 1 9066 1924
 1185928	 0.37931034	 12121 32864 118482	 1 0.4980392156862745	 1 9066 1924
 1186439	 0.37931034	 12127 32914 118532	 1 0.4980392156862745	 1 9066 1924
 1186945	 0.37931034	 12141 32964 118582	 1 0.4980392156862745	 1 9066 1924
 1187445	 0.37931034	 12149 33015 118633	 1 0.4980392156862745	 1 9066 1924
 1187927	 0.37931034	 12159 33064 118682	 1 0.4980392156862745	 1 9066 1924
 1188439	 0.37931034	 12166 33114 118732	 1 0.4980392156862745	 1 9066 1924
 1188935	 0.37931034	 12170 33164 118782	 1 0.4980392156862745	 1 9066 1924
 1189439	 0.37931034	 12178 33214 118832	 1 0.4980392156862745	 1 9066 1924
 1189928	 0.37931034	 12184 33264 118882	 1 0.4980392156862745	 1 9066 1924
 1190448	 0.37931034	 12194 33314 118932	 1 0.4980392156862745	 1 9066 1924
 1190928	 0.37931034	 12211 33364 118982	 1 0.4980392156862745	 1 9066 1924
 1191436	 0.37931034	 12214 33414 119032	 1 0.4980392156862745	 1 9066 1924
 1191928	 0.37931034	 12221 33465 119083	 1 0.4980392156862745	 1 9066 1924
 1192435	 0.37931034	 12227 33514 119132	 1 0.4980392156862745	 1 9066 1924
 1192935	 0.37931034	 12231 33564 119182	 1 0.4980392156862745	 1 9066 1924
