up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 1026449	 0.8965517	 4246 9204 102388	 1 0.11764705882352941	 0 0 0
 1026894	 0.8965517	 4250 9216 102433	 1 0.11764705882352941	 0 0 0
 1027343	 0.22000718	 4259 9227 102483	 1 0.11764705882352941	 0 0 0
 1027842	 0.22000718	 4266 9237 102533	 1 0.11764705882352941	 0 0 0
 1028352	 0.22000718	 4276 9247 102583	 1 0.11764705882352941	 0 0 0
 1028856	 0.22000718	 4284 9259 102634	 1 0.11764705882352941	 0 0 0
 1029364	 0.8965517	 4311 9299 102691	 1 0.11764705882352941	 0 0 0
 1029852	 0.22000718	 4317 9309 102733	 1 0.11764705882352941	 0 0 0
 1030343	 0.22000718	 4323 9319 102782	 1 0.11764705882352941	 0 0 0
 1030859	 0.22000718	 4331 9331 102834	 1 0.11764705882352941	 0 0 0
 1031357	 0.22000718	 4337 9340 102882	 1 0.11764705882352941	 0 0 0
 1031856	 0.22000718	 4341 9348 102931	 1 0.11764705882352941	 0 0 0
 1032359	 0.22000718	 4348 9360 102983	 1 0.11764705882352941	 0 0 0
 1032843	 0.22000718	 4357 9373 103032	 1 0.11764705882352941	 0 0 0
 1033354	 0.22000718	 4364 9384 103083	 1 0.11764705882352941	 0 0 0
 1033862	 0.22000718	 4368 9394 103132	 1 0.11764705882352941	 0 0 0
 1034352	 0.22000718	 4373 9404 103182	 1 0.11764705882352941	 0 0 0
 1034864	 0.22000718	 4383 9415 103233	 1 0.11764705882352941	 0 0 0
 1035353	 0.22000718	 4390 9425 103282	 1 0.11764705882352941	 0 0 0
 1035859	 0.8965517	 4398 9437 103334	 1 0.11764705882352941	 0 0 0
 1036441	 0.8965517	 4411 9453 103388	 1 0.11764705882352941	 0 0 0
 1036856	 0.22000718	 4425 9470 103439	 1 0.11764705882352941	 0 0 0
 1037359	 0.22000718	 4432 9481 103482	 1 0.11764705882352941	 0 0 0
 1037843	 0.22000718	 4441 9492 103533	 1 0.11764705882352941	 0 0 0
 1038343	 0.22000718	 4448 9501 103582	 1 0.11764705882352941	 0 0 0
 1038843	 0.22000718	 4456 9513 103634	 1 0.11764705882352941	 0 0 0
 1039365	 0.8965517	 4463 9521 103681	 1 0.11764705882352941	 0 0 0
 1039843	 0.22000718	 4474 9535 103732	 1 0.11764705882352941	 0 0 0
 1040356	 0.22000718	 4480 9546 103783	 1 0.11764705882352941	 0 0 0
 1040853	 0.22000718	 4485 9556 103832	 1 0.11764705882352941	 0 0 0
 1041362	 0.8965517	 4492 9565 103881	 1 0.11764705882352941	 0 0 0
 1041846	 0.8965517	 4500 9575 103932	 1 0.11764705882352941	 0 0 0
 1042346	 0.22000718	 4509 9586 103980	 1 0.11764705882352941	 0 0 0
 1042851	 0.22000718	 4515 9595 104030	 1 0.11764705882352941	 0 0 0
 1043342	 0.22000718	 4524 9611 104082	 1 0.11764705882352941	 0 0 0
 1043853	 0.8965517	 4530 9620 104131	 1 0.11764705882352941	 0 0 0
 1044352	 0.22000718	 4537 9630 104182	 1 0.11764705882352941	 0 0 0
 1044860	 0.22000718	 4544 9641 104231	 1 0.11764705882352941	 0 0 0
 1045361	 0.22000718	 4550 9650 104280	 1 0.11764705882352941	 0 0 0
 1045856	 0.22000718	 4557 9660 104331	 1 0.11764705882352941	 0 0 0
 1046353	 0.22000718	 4568 9674 104385	 1 0.11764705882352941	 0 0 0
 1046852	 0.22000718	 4577 9685 104432	 1 0.11764705882352941	 0 0 0
 1047363	 0.22000718	 4581 9695 104481	 1 0.11764705882352941	 0 0 0
 1047865	 0.22000718	 4587 9706 104532	 1 0.11764705882352941	 0 0 0
 1048362	 0.22000718	 4595 9717 104582	 1 0.11764705882352941	 0 0 0
 1048852	 0.22000718	 4603 9728 104631	 1 0.11764705882352941	 0 0 0
 1049342	 0.22000718	 4611 9738 104681	 1 0.11764705882352941	 0 0 0
 1049843	 0.8965517	 4620 9751 104735	 1 0.11764705882352941	 0 0 0
 1050356	 0.22000718	 4624 9762 104781	 1 0.11764705882352941	 0 0 0
 1050856	 0.22000718	 4630 9772 104831	 1 0.11764705882352941	 0 0 0
 1051359	 0.8965517	 4634 9782 104881	 1 0.11764705882352941	 0 0 0
 1051856	 0.22000718	 4641 9792 104931	 1 0.11764705882352941	 0 0 0
 1052353	 0.22000718	 4647 9802 104981	 1 0.11764705882352941	 0 0 0
 1052859	 0.22000718	 4654 9811 105031	 1 0.11764705882352941	 0 0 0
 1053342	 0.22000718	 4664 9824 105081	 1 0.11764705882352941	 0 0 0
 1053843	 0.22000718	 4670 9835 105131	 1 0.11764705882352941	 0 0 0
 1054342	 0.22000718	 4676 9844 105180	 1 0.11764705882352941	 0 0 0
 1054854	 0.8965517	 4685 9855 105232	 1 0.11764705882352941	 0 0 0
 1055369	 0.22000718	 4693 9864 105281	 1 0.11764705882352941	 0 0 0
 1055856	 0.22000718	 4699 9874 105331	 1 0.11764705882352941	 0 0 0
 1056365	 0.22000718	 4707 9885 105382	 1 0.11764705882352941	 0 0 0
 1056844	 0.22000718	 4715 9898 105431	 1 0.11764705882352941	 0 0 0
 1057363	 0.22000718	 4723 9908 105482	 1 0.11764705882352941	 0 0 0
 1057862	 0.22000718	 4732 9918 105531	 1 0.11764705882352941	 0 0 0
 1058361	 0.22000718	 4738 9928 105581	 1 0.11764705882352941	 0 0 0
 1058864	 0.22000718	 4746 9939 105633	 1 0.11764705882352941	 0 0 0
 1059363	 0.22000718	 4754 9949 105682	 1 0.11764705882352941	 0 0 0
 1059853	 0.22000718	 4767 9962 105735	 1 0.11764705882352941	 0 0 0
 1060356	 0.22000718	 4775 9971 105781	 1 0.11764705882352941	 0 0 0
 1060844	 0.22000718	 4781 9982 105830	 1 0.11764705882352941	 0 0 0
 1061356	 0.22000718	 4789 9993 105880	 1 0.11764705882352941	 0 0 0
 1061854	 0.22000718	 4796 10004 105930	 1 0.11764705882352941	 0 0 0
 1062368	 0.22000718	 4803 10015 105980	 1 0.11764705882352941	 0 0 0
 1062852	 0.22000718	 4810 10027 106032	 1 0.11764705882352941	 0 0 0
 1063352	 0.22000718	 4822 10042 106085	 1 0.11764705882352941	 0 0 0
 1063867	 0.8965517	 4828 10062 106131	 1 0.11764705882352941	 0 0 0
