up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 3578884	 0.8965517	 5351 11968 290542	 1 0.11764705882352941	 0 0 0
 3579375	 0.8965517	 5360 11981 290591	 1 0.11764705882352941	 0 0 0
 3579838	 0.22000718	 5376 11999 290650	 1 0.11764705882352941	 0 0 0
 3580356	 0.22000718	 5383 12010 290692	 1 0.11764705882352941	 0 0 0
 3580838	 0.22000718	 5389 12020 290741	 1 0.11764705882352941	 0 0 0
 3581343	 0.22000718	 5399 12031 290792	 1 0.11764705882352941	 0 0 0
 3581860	 0.22000718	 5417 12058 290841	 1 0.11764705882352941	 0 0 0
 3582354	 0.22000718	 5423 12070 290892	 1 0.11764705882352941	 0 0 0
 3582837	 0.22000718	 5431 12081 290941	 1 0.11764705882352941	 0 0 0
 3583359	 0.8965517	 5437 12093 290989	 1 0.11764705882352941	 0 0 0
 3583854	 0.8965517	 5445 12106 291039	 1 0.11764705882352941	 0 0 0
 3584361	 0.22000718	 5449 12115 291090	 1 0.11764705882352941	 0 0 0
 3584838	 0.22000718	 5456 12126 291142	 1 0.11764705882352941	 0 0 0
 3585338	 0.22000718	 5464 12136 291191	 1 0.11764705882352941	 0 0 0
 3585843	 0.22000718	 5467 12145 291241	 1 0.11764705882352941	 0 0 0
 3586343	 0.22000718	 5474 12155 291291	 1 0.11764705882352941	 0 0 0
 3586856	 0.22000718	 5481 12165 291341	 1 0.11764705882352941	 0 0 0
 3587338	 0.8965517	 5491 12179 291391	 1 0.11764705882352941	 0 0 0
 3587857	 0.22000718	 5497 12189 291441	 1 0.11764705882352941	 0 0 0
 3588358	 0.8965517	 5503 12200 291489	 1 0.11764705882352941	 0 0 0
 3588844	 0.22000718	 5512 12213 291541	 1 0.11764705882352941	 0 0 0
 3589354	 0.22000718	 5519 12223 291591	 1 0.11764705882352941	 0 0 0
 3589844	 0.22000718	 5525 12232 291640	 1 0.11764705882352941	 0 0 0
 3590353	 0.22000718	 5532 12242 291691	 1 0.11764705882352941	 0 0 0
 3590853	 0.22000718	 5544 12258 291741	 1 0.11764705882352941	 0 0 0
 3591338	 0.22000718	 5551 12269 291791	 1 0.11764705882352941	 0 0 0
 3591859	 0.22000718	 5558 12280 291841	 1 0.11764705882352941	 0 0 0
 3592344	 0.22000718	 5563 12288 291890	 1 0.11764705882352941	 0 0 0
 3592855	 0.22000718	 5568 12298 291941	 1 0.11764705882352941	 0 0 0
 3593349	 0.8965517	 5576 12309 291990	 1 0.11764705882352941	 0 0 0
 3593844	 0.8965517	 5583 12318 292039	 1 0.11764705882352941	 0 0 0
 3594338	 0.8965517	 5594 12335 292098	 1 0.11764705882352941	 0 0 0
 3594856	 0.22000718	 5597 12344 292140	 1 0.11764705882352941	 0 0 0
 3595353	 0.22000718	 5604 12355 292192	 1 0.11764705882352941	 0 0 0
 3595857	 0.22000718	 5611 12365 292241	 1 0.11764705882352941	 0 0 0
 3596344	 0.22000718	 5617 12374 292290	 1 0.11764705882352941	 0 0 0
 3596857	 0.22000718	 5624 12386 292342	 1 0.11764705882352941	 0 0 0
 3597344	 0.22000718	 5628 12395 292391	 1 0.11764705882352941	 0 0 0
 3597845	 0.22000718	 5640 12409 292446	 1 0.11764705882352941	 0 0 0
 3598364	 0.22000718	 5647 12418 292490	 1 0.11764705882352941	 0 0 0
 3598838	 0.22000718	 5656 12430 292541	 1 0.11764705882352941	 0 0 0
 3599339	 0.22000718	 5668 12445 292597	 1 0.11764705882352941	 0 0 0
 3599843	 0.22000718	 5674 12455 292641	 1 0.11764705882352941	 0 0 0
 3600355	 0.8965517	 5680 12464 292690	 1 0.11764705882352941	 0 0 0
 3600844	 0.22000718	 5688 12474 292740	 1 0.11764705882352941	 0 0 0
 3601344	 0.22000718	 5699 12489 292796	 1 0.11764705882352941	 0 0 0
 3601838	 0.22000718	 5703 12499 292841	 1 0.11764705882352941	 0 0 0
 3602345	 0.22000718	 5710 12509 292891	 1 0.11764705882352941	 0 0 0
 3602843	 0.22000718	 5715 12518 292941	 1 0.11764705882352941	 0 0 0
 3603338	 0.22000718	 5721 12528 292992	 1 0.11764705882352941	 0 0 0
 3603844	 0.22000718	 5727 12538 293042	 1 0.11764705882352941	 0 0 0
 3604346	 0.22000718	 5733 12548 293091	 1 0.11764705882352941	 0 0 0
 3604844	 0.22000718	 5740 12558 293141	 1 0.11764705882352941	 0 0 0
 3605353	 0.22000718	 5749 12571 293191	 1 0.11764705882352941	 0 0 0
 3605844	 0.22000718	 5754 12581 293242	 1 0.11764705882352941	 0 0 0
 3606345	 0.22000718	 5758 12589 293290	 1 0.11764705882352941	 0 0 0
 3606844	 0.22000718	 5765 12600 293341	 1 0.11764705882352941	 0 0 0
 3607338	 0.22000718	 5769 12611 293392	 1 0.11764705882352941	 0 0 0
 3607857	 0.22000718	 5777 12621 293441	 1 0.11764705882352941	 0 0 0
 3608361	 0.22000718	 5785 12633 293492	 1 0.11764705882352941	 0 0 0
 3608867	 0.22000718	 5796 12645 293540	 1 0.11764705882352941	 0 0 0
 3609356	 0.22000718	 5803 12655 293591	 1 0.11764705882352941	 0 0 0
 3609843	 0.22000718	 5809 12665 293641	 1 0.11764705882352941	 0 0 0
 3610338	 0.22000718	 5818 12675 293692	 1 0.11764705882352941	 0 0 0
 3610838	 0.22000718	 5823 12685 293741	 1 0.11764705882352941	 0 0 0
 3611354	 0.22000718	 5830 12695 293791	 1 0.11764705882352941	 0 0 0
 3611838	 0.22000718	 5834 12707 293841	 1 0.11764705882352941	 0 0 0
 3612413	 0.8965517	 5841 12720 293894	 1 0.11764705882352941	 0 0 0
 3612857	 0.8965517	 5847 12728 293939	 1 0.11764705882352941	 0 0 0
 3613345	 0.22000718	 5852 12737 293990	 1 0.11764705882352941	 0 0 0
 3613838	 0.22000718	 5857 12747 294041	 1 0.11764705882352941	 0 0 0
 3614356	 0.22000718	 5863 12757 294090	 1 0.11764705882352941	 0 0 0
 3614838	 0.22000718	 5870 12767 294141	 1 0.11764705882352941	 0 0 0
 3615337	 0.22000718	 5873 12777 294192	 1 0.11764705882352941	 0 0 0
 3615846	 0.8965517	 5887 12796 294250	 1 0.11764705882352941	 0 0 0
 3616376	 0.8965517	 5896 12813 294293	 1 0.11764705882352941	 0 0 0
