up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 1657734	 0.6896552	 11696 23379 165645	 1 0.00392156862745098	 1 355811 33315
 1658216	 0.6896552	 11705 23391 165693	 1 0.00392156862745098	 1 355811 33315
 1658695	 0.6896552	 11721 23417 165747	 1 0.00392156862745098	 1 355811 33315
 1659189	 0.6896552	 11742 23448 165793	 1 0.00392156862745098	 1 355811 33315
 1659706	 0.6896552	 11753 23468 165846	 1 0.00392156862745098	 1 355811 33315
 1660206	 0.6896552	 11776 23504 165895	 1 0.00392156862745098	 1 355811 33315
 1660688	 0.22000718	 11798 23537 165945	 1 0.00392156862745098	 1 355811 33315
 1661205	 0.22000718	 11811 23556 166000	 1 0.00392156862745098	 1 355811 33315
 1661686	 0.22000718	 11819 23568 166044	 1 0.00392156862745098	 1 355811 33315
 1662199	 0.22000718	 11826 23579 166094	 1 0.00392156862745098	 1 355811 33315
 1662687	 0.22000718	 11831 23588 166143	 1 0.00392156862745098	 1 355811 33315
 1663209	 0.22000718	 11839 23600 166194	 1 0.00392156862745098	 1 355811 33315
 1663685	 0.22000718	 11850 23612 166245	 1 0.00392156862745098	 1 355811 33315
 1664205	 0.22000718	 11858 23627 166293	 1 0.00392156862745098	 1 355811 33315
 1664705	 0.22000718	 11865 23641 166345	 1 0.00392156862745098	 1 355811 33315
 1665187	 0.6896552	 11877 23663 166394	 1 0.00392156862745098	 1 355811 33315
 1665692	 0.6896552	 11889 23710 166441	 1 0.00392156862745098	 1 355811 33315
 1666192	 0.6896552	 11893 23760 166491	 1 0.00392156862745098	 1 355811 33315
 1666682	 0.6896552	 11901 23810 166541	 1 0.00392156862745098	 1 355811 33315
 1667186	 0.6896552	 11903 23859 166590	 1 0.00392156862745098	 1 355811 33315
 1667689	 0.6896552	 11904 23909 166640	 1 0.00392156862745098	 1 355811 33315
 1668183	 0.6896552	 11909 23960 166691	 1 0.00392156862745098	 1 355811 33315
 1668683	 0.6896552	 11914 24010 166741	 1 0.00392156862745098	 1 355811 33315
 1669195	 0.6896552	 11922 24066 166797	 1 0.00392156862745098	 1 355811 33315
 1669683	 0.6896552	 11924 24109 166840	 1 0.00392156862745098	 1 355811 33315
 1670192	 0.6896552	 11928 24160 166891	 1 0.00392156862745098	 1 355811 33315
 1670683	 0.6896552	 11936 24210 166941	 1 0.00392156862745098	 1 355811 33315
 1671192	 0.6896552	 11939 24259 166990	 1 0.00392156862745098	 1 355811 33315
 1671686	 0.6896552	 11941 24309 167040	 1 0.00392156862745098	 1 355811 33315
 1672198	 0.6896552	 11951 24360 167091	 1 0.00392156862745098	 1 355811 33315
 1672694	 0.6896552	 11955 24410 167141	 1 0.00392156862745098	 1 355811 33315
 1673182	 0.6896552	 11961 24460 167191	 1 0.00392156862745098	 1 355811 33315
 1673682	 0.6896552	 11966 24510 167241	 1 0.00392156862745098	 1 355811 33315
 1674183	 0.6896552	 11970 24560 167291	 1 0.00392156862745098	 1 355811 33315
 1674692	 0.6896552	 11980 24610 167341	 1 0.00392156862745098	 1 355811 33315
 1675189	 0.6896552	 11985 24660 167391	 1 0.00392156862745098	 1 355811 33315
 1675683	 0.6896552	 11986 24710 167441	 1 0.00392156862745098	 1 355811 33315
 1676188	 0.6896552	 11991 24759 167490	 1 0.00392156862745098	 1 355811 33315
 1676685	 0.6896552	 11994 24809 167540	 1 0.00392156862745098	 1 355811 33315
 1677191	 0.6896552	 11997 24860 167591	 1 0.00392156862745098	 1 355811 33315
 1677692	 0.6896552	 12007 24910 167641	 1 0.00392156862745098	 1 355811 33315
 1678186	 0.6896552	 12009 24959 167690	 1 0.00392156862745098	 1 355811 33315
 1678683	 0.6896552	 12010 25009 167740	 1 0.00392156862745098	 1 355811 33315
 1679188	 0.6896552	 12014 25060 167791	 1 0.00392156862745098	 1 355811 33315
 1679683	 0.6896552	 12017 25110 167841	 1 0.00392156862745098	 1 355811 33315
 1680189	 0.6896552	 12031 25168 167899	 1 0.00392156862745098	 1 355811 33315
 1680683	 0.6896552	 12034 25209 167940	 1 0.00392156862745098	 1 355811 33315
 1681194	 0.6896552	 12038 25259 167990	 1 0.00392156862745098	 1 355811 33315
 1681694	 0.6896552	 12041 25309 168040	 1 0.00392156862745098	 1 355811 33315
 1682186	 0.6896552	 12043 25359 168090	 1 0.00392156862745098	 1 355811 33315
 1682692	 0.6896552	 12050 25416 168147	 1 0.00392156862745098	 1 355811 33315
 1683183	 0.6896552	 12053 25460 168191	 1 0.00392156862745098	 1 355811 33315
 1683692	 0.6896552	 12058 25509 168240	 1 0.00392156862745098	 1 355811 33315
 1684183	 0.6896552	 12063 25559 168290	 1 0.00392156862745098	 1 355811 33315
 1684692	 0.6896552	 12068 25610 168341	 1 0.00392156862745098	 1 355811 33315
 1685182	 0.6896552	 12071 25660 168391	 1 0.00392156862745098	 1 355811 33315
 1685686	 0.6896552	 12081 25709 168440	 1 0.00392156862745098	 1 355811 33315
 1686183	 0.6896552	 12087 25761 168492	 1 0.00392156862745098	 1 355811 33315
 1686686	 0.6896552	 12090 25809 168540	 1 0.00392156862745098	 1 355811 33315
 1687202	 0.6896552	 12094 25860 168591	 1 0.00392156862745098	 1 355811 33315
 1687695	 0.6896552	 12098 25909 168640	 1 0.00392156862745098	 1 355811 33315
 1688189	 0.6896552	 12105 25959 168690	 1 0.00392156862745098	 1 355811 33315
 1688686	 0.6896552	 12111 26010 168741	 1 0.00392156862745098	 1 355811 33315
 1689188	 0.6896552	 12112 26059 168790	 1 0.00392156862745098	 1 355811 33315
 1689692	 0.6896552	 12115 26110 168841	 1 0.00392156862745098	 1 355811 33315
