up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 530772	 0.8965517	 4624 6972 53021	 1 0.00392156862745098	 1 3882 1426
 531265	 0.8965517	 4632 6985 53070	 1 0.00392156862745098	 1 3882 1426
 531717	 0.8965517	 4661 7020 53122	 1 0.00392156862745098	 1 3882 1426
 532261	 0.8965517	 4671 7035 53174	 1 0.00392156862745098	 1 3882 1426
 532724	 0.8965517	 4693 7071 53220	 1 0.00392156862745098	 1 3882 1426
 533226	 0.22000718	 4707 7088 53275	 1 0.00392156862745098	 1 3882 1426
 533724	 0.8965517	 4728 7119 53319	 1 0.00392156862745098	 1 3882 1426
 534217	 0.22000718	 4736 7129 53369	 1 0.00392156862745098	 1 3882 1426
 534717	 0.22000718	 4742 7141 53419	 1 0.00392156862745098	 1 3882 1426
 535240	 0.22000718	 4749 7155 53469	 1 0.00392156862745098	 1 3882 1426
 535725	 0.8965517	 4756 7166 53520	 1 0.00392156862745098	 1 3882 1426
 536244	 0.22000718	 4772 7197 53569	 1 1.0	 1 3882 1426
 536725	 0.22000718	 4781 7211 53623	 1 1.0	 1 3882 1426
 537226	 0.22000718	 4788 7221 53669	 1 1.0	 1 3882 1426
 537725	 0.8965517	 4795 7234 53720	 1 1.0	 1 3882 1426
 538226	 0.22000718	 4805 7247 53769	 1 1.0	 1 3882 1426
 538717	 0.8965517	 4816 7261 53823	 1 1.0	 1 3882 1426
 539217	 0.22000718	 4821 7273 53870	 1 1.0	 1 3882 1426
 539735	 0.22000718	 4825 7283 53919	 1 1.0	 1 3882 1426
 540232	 0.22000718	 4833 7294 53969	 1 1.0	 1 3882 1426
 540739	 0.8965517	 4842 7308 54017	 1 1.0	 1 3882 1426
 541217	 0.8965517	 4847 7316 54066	 1 1.0	 1 3882 1426
 541735	 0.22000718	 4855 7326 54118	 1 1.0	 1 3882 1426
 542243	 0.22000718	 4867 7341 54173	 1 1.0	 1 3882 1426
 542735	 0.22000718	 4873 7353 54218	 1 1.0	 1 3882 1426
 543217	 0.22000718	 4881 7365 54269	 1 1.0	 1 3882 1426
 543725	 0.22000718	 4890 7375 54318	 1 1.0	 1 3882 1426
 544293	 0.8965517	 4901 7388 54371	 1 1.0	 1 3882 1426
 544739	 0.22000718	 4908 7400 54419	 1 1.0	 1 3882 1426
 545225	 0.8965517	 4915 7410 54468	 1 1.0	 1 3882 1426
 545717	 0.22000718	 4920 7419 54517	 1 1.0	 1 3882 1426
 546235	 0.22000718	 4936 7446 54568	 1 0.8	 1 3882 1426
 546717	 0.22000718	 4942 7457 54618	 1 0.8	 1 3882 1426
 547239	 0.22000718	 4948 7467 54668	 1 0.8	 1 3882 1426
 547718	 0.22000718	 4957 7481 54722	 1 0.8	 1 3882 1426
 548245	 0.22000718	 4963 7492 54769	 1 0.8	 1 3882 1426
 548725	 0.22000718	 4971 7502 54818	 1 0.8	 1 3882 1426
 549217	 0.8965517	 4976 7511 54867	 1 0.8	 1 3882 1426
 549726	 0.8965517	 4986 7522 54916	 1 0.8	 1 3882 1426
 550242	 0.22000718	 4995 7533 54969	 1 0.8	 1 3882 1426
 550717	 0.22000718	 4999 7543 55018	 1 0.8	 1 3882 1426
 551236	 0.22000718	 5007 7553 55068	 1 0.8	 1 3882 1426
 551742	 0.8965517	 5018 7570 55120	 1 0.8	 1 3882 1426
 552240	 0.22000718	 5025 7581 55168	 1 0.8	 1 3882 1426
 552726	 0.22000718	 5036 7598 55226	 1 0.8	 1 3882 1426
 553235	 0.8965517	 5050 7614 55275	 1 0.8	 1 3882 1426
 553745	 0.22000718	 5058 7624 55318	 1 0.8	 1 3882 1426
 554226	 0.22000718	 5064 7633 55368	 1 0.8	 1 3882 1426
 554740	 0.22000718	 5072 7644 55418	 1 0.8	 1 3882 1426
 555225	 0.22000718	 5080 7658 55468	 1 0.8	 1 3882 1426
 555735	 0.22000718	 5086 7668 55518	 1 0.8	 1 3882 1426
 556225	 0.22000718	 5094 7695 55569	 1 0.6	 1 3882 1426
 556717	 0.22000718	 5102 7709 55622	 1 0.6	 1 3882 1426
 557217	 0.22000718	 5109 7719 55668	 1 0.6	 1 3882 1426
 557717	 0.22000718	 5114 7729 55718	 1 0.6	 1 3882 1426
 558239	 0.22000718	 5122 7740 55768	 1 0.6	 1 3882 1426
 558740	 0.7586207	 5131 7752 55821	 1 0.6	 1 3882 1426
 559235	 0.22000718	 5138 7763 55869	 1 0.6	 1 3882 1426
 559735	 0.22000718	 5147 7774 55918	 1 0.6	 1 3882 1426
 560225	 0.8965517	 5155 7784 55968	 1 0.6	 1 3882 1426
 560741	 0.22000718	 5166 7799 56018	 1 0.6	 1 3882 1426
 561225	 0.22000718	 5174 7809 56068	 1 0.6	 1 3882 1426
 561741	 0.22000718	 5182 7820 56118	 1 0.6	 1 3882 1426
 562242	 0.22000718	 5189 7830 56168	 1 0.6	 1 3882 1426
 562718	 0.22000718	 5200 7844 56217	 1 0.6	 1 3882 1426
 563225	 0.22000718	 5204 7855 56269	 1 0.6	 1 3882 1426
 563745	 0.22000718	 5213 7866 56318	 1 0.6	 1 3882 1426
 564226	 0.8965517	 5223 7879 56370	 1 0.6	 1 3882 1426
 564740	 0.22000718	 5229 7889 56418	 1 0.6	 1 3882 1426
 565241	 0.22000718	 5236 7899 56468	 1 0.6	 1 3882 1426
 565736	 0.22000718	 5243 7909 56518	 1 0.6	 1 3882 1426
 566217	 0.22000718	 5256 7935 56568	 1 0.4	 1 3882 1426
 566742	 0.22000718	 5262 7944 56616	 1 0.4	 1 3882 1426
 567218	 0.8965517	 5269 7953 56666	 1 0.4	 1 3882 1426
 567735	 0.22000718	 5281 7968 56722	 1 0.4	 1 3882 1426
 568234	 0.22000718	 5289 7978 56767	 1 0.4	 1 3882 1426
 568717	 0.22000718	 5296 7987 56816	 1 0.4	 1 3882 1426
