up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 3521947	 1.0	 27081 111914 426417	 1 0.4980392156862745	 1 12751177 492673
 3522446	 1.0	 27085 112111 426617	 1 0.4980392156862745	 1 12751177 492673
 3522963	 1.0	 27090 112318 426824	 1 0.4980392156862745	 1 12751177 492673
 3523446	 1.0	 27094 112506 427016	 1 0.4980392156862745	 1 12751177 492673
 3523944	 1.0	 27097 112702 427216	 1 0.4980392156862745	 1 12751177 492673
 3524443	 1.0	 27102 112901 427416	 1 0.4980392156862745	 1 12751177 492673
 3524945	 1.0	 27109 113098 427615	 1 0.4980392156862745	 1 12751177 492673
 3525445	 1.0	 27109 113297 427815	 1 0.4980392156862745	 1 12751177 492673
 3525944	 1.0	 27113 113495 428015	 1 0.4980392156862745	 1 12751177 492673
 3526444	 1.0	 27115 113691 428214	 1 0.4980392156862745	 1 12751177 492673
 3526952	 1.0	 27122 113893 428418	 1 0.4980392156862745	 1 12751177 492673
 3527458	 1.0	 27125 114096 428622	 1 0.4980392156862745	 1 12751177 492673
 3527945	 1.0	 27127 114288 428814	 1 0.4980392156862745	 1 12751177 492673
 3528443	 1.0	 27130 114488 429014	 1 0.4980392156862745	 1 12751177 492673
 3528945	 1.0	 27134 114687 429213	 1 0.4980392156862745	 1 12751177 492673
 3529444	 1.0	 27138 114886 429413	 1 0.4980392156862745	 1 12751177 492673
 3529943	 1.0	 27141 115084 429613	 1 0.4980392156862745	 1 12751177 492673
 3530444	 1.0	 27143 115282 429812	 1 0.4980392156862745	 1 12751177 492673
 3530943	 1.0	 27148 115478 430010	 1 0.4980392156862745	 1 12751177 492673
 3531443	 1.0	 27152 115676 430209	 1 0.4980392156862745	 1 12751255 492673
