up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 3879222	 0.27966103	 20358 68483 447889	 1 1.0	 0 0 384
 3879704	 0.5	 20374 68510 448013	 1 1.0	 0 0 384
 3880209	 0.5	 20383 68527 448119	 1 1.0	 0 0 384
 3880713	 0.5	 20421 68593 448209	 1 1.0	 0 0 384
 3881202	 0.17293432	 20468 68665 448369	 1 1.0	 0 0 384
 3881699	 0.75	 20480 68694 448443	 1 1.0	 0 0 384
 3882201	 0.27966103	 20501 68737 448551	 1 1.0	 0 0 384
 3882706	 0.27966103	 20513 68764 448646	 1 1.0	 0 0 384
 3883198	 0.17293432	 20515 68770 448741	 1 1.0	 0 0 384
 3883704	 0.5	 20521 68783 448840	 1 1.0	 0 0 384
 3884201	 0.5	 20524 68790 448930	 1 1.0	 0 0 384
 3884752	 0.105932206	 20535 68808 449005	 1 1.0	 0 0 384
 3885245	 0.033103812	 20550 68845 449052	 1 1.0	 0 0 384
 3885758	 0.033103812	 20572 68884 449103	 1 1.0	 0 0 384
 3886288	 0.105932206	 20594 68932 449161	 1 1.0	 0 0 384
 3887243	 0.033103812	 20620 68979 449251	 1 1.0	 0 0 384
 3888260	 0.033103812	 20683 69067 449351	 1 1.0	 0 0 384
 3888767	 0.033103812	 20703 69106 449401	 1 1.0	 0 0 384
 3889193	 0.28310382	 20719 69150 449455	 1 0.9333333333333333	 0 0 384
 3889697	 0.5	 20728 69213 449552	 1 0.5294117647058824	 0 0 384
 3890199	 0.17293432	 20731 69268 449651	 1 0.4980392156862745	 0 0 384
 3890709	 0.5	 20735 69326 449753	 1 0.4980392156862745	 0 0 384
 3891199	 0.5	 20737 69380 449850	 1 0.4980392156862745	 0 0 384
 3891707	 0.5	 20739 69435 449951	 1 0.4980392156862745	 0 0 384
 3892313	 0.105932206	 20751 69502 450047	 1 0.4980392156862745	 0 0 384
 3892761	 0.033103812	 20772 69547 450092	 1 0.4980392156862745	 0 0 384
 3893761	 0.033103812	 20810 69649 450194	 1 0.4980392156862745	 0 0 384
 3894265	 0.033103812	 20840 69697 450242	 1 0.4980392156862745	 0 0 384
 3894722	 0.033103812	 20856 69744 450289	 1 0.4980392156862745	 0 0 384
 3895251	 0.033103812	 20874 69795 450340	 1 0.4980392156862745	 0 0 384
 3895759	 0.033103812	 20893 69847 450392	 1 0.4980392156862745	 0 0 384
 3896254	 0.033103812	 20920 69895 450440	 1 0.4980392156862745	 0 0 384
 3897248	 0.033103812	 20974 69999 450544	 1 0.4980392156862745	 0 0 384
 3898259	 0.033103812	 20995 70096 450641	 1 0.4980392156862745	 0 0 384
 3898747	 0.033103812	 21013 70144 450689	 1 0.4980392156862745	 0 0 384
 3899257	 0.033103812	 21028 70196 450741	 1 0.4980392156862745	 0 0 384
 3899739	 0.033103812	 21043 70246 450791	 1 0.4980392156862745	 0 0 384
 3900244	 0.033103812	 21062 70295 450840	 1 0.4980392156862745	 0 0 384
 3900751	 0.033103812	 21082 70347 450892	 1 0.4980392156862745	 0 0 384
 3901259	 0.033103812	 21098 70396 450941	 1 0.4980392156862745	 0 0 384
 3901726	 0.033103812	 21118 70442 450987	 1 0.4980392156862745	 0 0 384
 3902227	 0.033103812	 21139 70492 451037	 1 0.4980392156862745	 0 0 384
 3902759	 0.033103812	 21158 70547 451092	 1 0.4980392156862745	 0 0 384
 3903280	 0.033103812	 21175 70598 451143	 1 0.4980392156862745	 0 0 384
 3903751	 0.033103812	 21193 70646 451191	 1 0.4980392156862745	 0 0 384
 3904262	 0.033103812	 21207 70699 451244	 1 0.4980392156862745	 0 0 384
 3904759	 0.033103812	 21229 70746 451291	 1 0.4980392156862745	 0 0 384
 3905223	 0.033103812	 21248 70793 451338	 1 0.4980392156862745	 0 0 384
 3905771	 0.033103812	 21276 70851 451396	 1 0.4980392156862745	 0 0 384
