up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 2619541	 0.27966103	 18291 48915 336001	 1 0.5019607843137255	 1 340769 89336
 2620041	 0.3898305	 18297 48927 336100	 1 0.5019607843137255	 1 340769 89336
 2620537	 0.5	 18300 48934 336200	 1 0.5019607843137255	 1 340769 89336
 2621045	 0.27966103	 18303 48943 336302	 1 0.5019607843137255	 1 340769 89336
 2621539	 0.27966103	 18306 48951 336400	 1 0.5019607843137255	 1 340769 89336
 2622044	 0.3559322	 18312 48965 336500	 1 0.5019607843137255	 1 340769 89336
 2622545	 0.21186441	 18329 49001 336596	 1 0.5019607843137255	 1 340769 89336
 2623036	 0.5	 18335 49013 336693	 1 0.5019607843137255	 1 340769 89336
 2623538	 0.5	 18340 49020 336794	 1 0.5019607843137255	 1 340769 89336
 2624046	 0.21186441	 18343 49028 336893	 1 0.5019607843137255	 1 340769 89336
 2624540	 0.3559322	 18350 49040 336988	 1 0.5019607843137255	 1 340769 89336
 2625071	 0.105932206	 18356 49052 337090	 1 0.5019607843137255	 1 340769 89336
 2625563	 0.105932206	 18367 49067 337139	 1 0.5019607843137255	 1 340769 89336
 2626042	 0.25	 18371 49077 337187	 1 0.5019607843137255	 1 340769 89336
 2626599	 0.25	 18379 49094 337243	 1 0.5019607843137255	 1 340769 89336
 2627060	 0.105932206	 18380 49102 337289	 1 0.5019607843137255	 1 340769 89336
 2627595	 0.25	 18389 49118 337343	 1 0.5019607843137255	 1 340769 89336
 2628067	 0.04661017	 18394 49126 337390	 1 0.5019607843137255	 1 340769 89336
 2628575	 0.033103812	 18401 49141 337440	 1 0.5019607843137255	 1 340769 89336
 2629067	 0.04661017	 18408 49152 337492	 1 0.5019607843137255	 1 340769 89336
 2629592	 0.25	 18419 49167 337541	 1 0.5019607843137255	 1 340769 89336
 2630068	 0.04661017	 18425 49177 337591	 1 0.5019607843137255	 1 340769 89336
 2630590	 0.25	 18432 49190 337641	 1 0.5019607843137255	 1 340769 89336
 2631073	 0.04661017	 18437 49200 337690	 1 0.5019607843137255	 1 340769 89336
 2631574	 0.033103812	 18442 49213 337741	 1 0.5019607843137255	 1 340769 89336
 2632062	 0.04661017	 18448 49222 337791	 1 0.5019607843137255	 1 340769 89336
 2632591	 0.25	 18457 49236 337842	 1 0.5019607843137255	 1 340769 89336
 2633068	 0.04661017	 18462 49246 337892	 1 0.5019607843137255	 1 340769 89336
 2633542	 0.25	 18466 49253 337936	 1 0.5019607843137255	 1 340769 89336
 2634098	 0.25	 18476 49270 337992	 1 0.5019607843137255	 1 340769 89336
 2634578	 0.033103812	 18483 49283 338041	 1 0.5019607843137255	 1 340769 89336
