Time (s),Main Avg Power (mW)
0.0000,1095.685
0.0002,1106.160
0.0004,1083.115
0.0006,1087.694
0.0008,1100.269
0.0010,1096.077
0.0012,1085.210
0.0014,1085.599
0.0016,1070.545
0.0018,1051.690
0.0020,1047.500
0.0022,1049.720
0.0024,1047.500
0.0026,1041.339
0.0028,1051.690
0.0030,1062.292
0.0032,1062.545
0.0034,1045.405
0.0036,1051.439
0.0038,1049.720
0.0040,1045.530
0.0042,1043.310
0.0044,1047.500
0.0046,1049.971
0.0048,1058.354
0.0050,1051.690
0.0052,1043.061
0.0054,1039.244
0.0056,1041.215
0.0058,1041.215
0.0060,1041.588
0.0062,1016.439
0.0064,1016.075
0.0066,1037.025
0.0068,1022.116
0.0070,1041.215
0.0072,1083.503
0.0074,1087.435
0.0076,1085.210
0.0078,1089.530
0.0080,1095.816
0.0082,1079.054
0.0084,1078.925
0.0086,1091.625
0.0088,1091.886
0.0090,1091.625
0.0092,1089.400
0.0094,1081.020
0.0096,1074.863
0.0098,1068.577
0.0100,1045.405
0.0102,1047.500
0.0104,1045.405
0.0106,1055.880
0.0108,1062.292
0.0110,1041.215
0.0112,1039.120
0.0114,1051.815
0.0116,1045.779
0.0118,1051.690
0.0120,1058.101
0.0122,1062.292
0.0124,1062.165
0.0126,1051.439
0.0128,1053.911
0.0130,1062.165
0.0132,1055.880
0.0134,1055.880
0.0136,1064.260
0.0138,1068.577
0.0140,1051.690
0.0142,1057.975
0.0144,1054.162
0.0146,1034.930
0.0148,1032.835
0.0150,1034.683
0.0152,1070.928
0.0154,1070.673
0.0156,1091.495
0.0158,1083.115
0.0160,1085.340
0.0162,1081.020
0.0164,1083.115
0.0166,1101.970
0.0168,1093.590
0.0170,1078.925
0.0172,1099.613
0.0174,1100.006
0.0176,1087.305
0.0178,1089.400
0.0180,1102.101
0.0182,1068.577
0.0184,1051.815
0.0186,1053.785
0.0188,1049.720
0.0190,1045.530
0.0192,1045.530
0.0194,1049.720
0.0196,1060.196
0.0198,1053.785
0.0200,1053.785
0.0202,1053.785
0.0204,1045.530
0.0206,1049.971
0.0208,1049.971
0.0210,1039.244
0.0212,1051.690
0.0214,1056.006
0.0216,1053.911
0.0218,1045.405
0.0220,1039.120
0.0222,1041.588
0.0224,1039.120
0.0226,1041.215
0.0228,1017.927
0.0230,1028.645
0.0232,1039.492
0.0234,1009.790
0.0236,1041.215
0.0238,1066.355
0.0240,1074.863
0.0242,1093.721
0.0244,1104.065
0.0246,1085.210
0.0248,1079.054
0.0250,1091.886
0.0252,1079.054
0.0254,1085.210
