Time (s),Main Avg Power (mW)
0.0000,1608.576
0.0002,1581.348
0.0004,1571.250
0.0006,1566.686
0.0008,1567.060
0.0010,1590.105
0.0012,1575.440
0.0014,1983.018
0.0016,1722.090
0.0018,1516.780
0.0020,1552.395
0.0022,1552.395
0.0024,1533.723
0.0026,1516.780
0.0028,1533.540
0.0030,1562.870
0.0032,1537.730
0.0034,1537.730
0.0036,1523.065
0.0038,1517.323
0.0040,1544.015
0.0042,1541.552
0.0044,1736.755
0.0046,1519.056
0.0048,1518.875
0.0050,1548.205
0.0052,1535.635
0.0054,1525.160
0.0056,1512.590
0.0058,1512.770
0.0060,1518.513
0.0062,1516.780
0.0064,1947.420
0.0066,1682.285
0.0068,1520.607
0.0070,1588.199
0.0072,1589.726
0.0074,1579.818
0.0076,1558.680
0.0078,1567.247
0.0080,1581.725
0.0082,1571.250
0.0084,1579.630
0.0086,1567.060
0.0088,1562.870
0.0090,1585.915
0.0092,1579.818
0.0094,1560.775
0.0096,1527.255
0.0098,1518.875
0.0100,1549.930
0.0102,1544.015
0.0104,1544.015
0.0106,1525.160
0.0108,1516.961
0.0110,1546.110
0.0112,1543.647
0.0114,1962.078
0.0116,1732.152
0.0118,1529.532
0.0120,1567.060
0.0122,1569.155
0.0124,1543.647
0.0126,1529.350
0.0128,1529.350
0.0130,1558.680
0.0132,1552.025
0.0134,1548.205
0.0136,1537.730
0.0138,1527.437
0.0140,1558.680
0.0142,1536.813
0.0144,1719.995
0.0146,1510.495
0.0148,1502.115
0.0150,1577.535
0.0152,1571.250
0.0154,1573.345
0.0156,1554.490
0.0158,1564.592
0.0160,1588.010
0.0162,1579.630
0.0164,2020.710
0.0166,1772.370
0.0168,1554.490
0.0170,1596.390
0.0172,1596.580
0.0174,1585.915
0.0176,1556.771
0.0178,1567.247
0.0180,1566.686
0.0182,1544.015
0.0184,1539.825
0.0186,1520.970
0.0188,1512.229
0.0190,1546.110
0.0192,1544.015
0.0194,1546.110
0.0196,1525.160
0.0198,1516.418
0.0200,1556.585
0.0202,1541.920
0.0204,1533.174
0.0206,1523.065
0.0208,1510.495
0.0210,1552.395
0.0212,1550.485
0.0214,1966.266
0.0216,1722.295
0.0218,1512.590
0.0220,1548.390
0.0222,1533.540
0.0224,1544.015
0.0226,1487.450
0.0228,1491.640
0.0230,1550.485
0.0232,1499.662
0.0234,1537.363
0.0236,1544.015
0.0238,1545.741
0.0240,1592.200
0.0242,1598.676
0.0244,1769.853
0.0246,1544.015
0.0248,1558.680
0.0250,1590.105
0.0252,1579.630
0.0254,1579.630
0.0256,1569.155
0.0258,1550.300
0.0260,1572.970
0.0262,1564.592
0.0264,1951.608
0.0266,1717.900
0.0268,1519.056
0.0270,1562.497
0.0272,1554.490
0.0274,1541.920
0.0276,1518.875
0.0278,1516.780
0.0280,1548.205
0.0282,1541.920
0.0284,1546.110
0.0286,1540.009
0.0288,1527.255
0.0290,1556.585
0.0292,1554.490
0.0294,1547.836
0.0296,1521.151
0.0298,1529.350
0.0300,1571.250
0.0302,1554.490
0.0304,1544.015
0.0306,1531.445
0.0308,1531.445
0.0310,1525.160
0.0312,1527.255
0.0314,1963.938
0.0316,1732.772
0.0318,1881.310
0.0320,2434.390
0.0322,1584.009
0.0324,1592.200
0.0326,1552.395
0.0328,1566.686
0.0330,1604.770
0.0332,1585.536
0.0334,1577.535
0.0336,1571.250
0.0338,1558.680
0.0340,1587.631
0.0342,1589.726
0.0344,1774.465
0.0346,1537.730
0.0348,1527.255
0.0350,1558.866
0.0352,1542.104
0.0354,1531.445
0.0356,1518.875
0.0358,1518.875
0.0360,1554.119
0.0362,1552.395
0.0364,1978.830
0.0366,1734.660
0.0368,1520.970
0.0370,1554.490
0.0372,1550.300
0.0374,1546.110
0.0376,1519.419
0.0378,1533.174
0.0380,1562.870
0.0382,1535.635
0.0384,1531.628
0.0386,1512.770
0.0388,1508.400
0.0390,1546.110
0.0392,1514.685
0.0394,1531.628
0.0396,1493.735
0.0398,1482.906
0.0400,1541.920
0.0402,1554.490
0.0404,1562.870
0.0406,1569.155
0.0408,1564.965
0.0410,1588.010
0.0412,1573.345
0.0414,2006.052
0.0416,1765.664
0.0418,1556.214
0.0420,1600.580
0.0422,1592.200
0.0424,1575.440
0.0426,1552.395
0.0428,1550.485
0.0430,1548.390
0.0432,1537.913
0.0434,1537.730
0.0436,1531.628
0.0438,1523.065
0.0440,1548.205
0.0442,1545.741
0.0444,1726.486
0.0446,1510.135
0.0448,1520.970
0.0450,1560.403
0.0452,1556.585
0.0454,1541.552
0.0456,1535.818
0.0458,1527.255
0.0460,1552.395
0.0462,1550.300
0.0464,1966.266
0.0466,1755.610
0.0468,1527.255
0.0470,1560.775
0.0472,1558.680
0.0474,1541.920
0.0476,1508.400
0.0478,1514.685
0.0480,1563.056
0.0482,1531.628
0.0484,1548.205
0.0486,1569.155
0.0488,1547.836
0.0490,1588.010
0.0492,1585.536
0.0494,1581.725
0.0496,1556.585
0.0498,1560.775
0.0500,1609.152
0.0502,1592.200
0.0504,1571.250
0.0506,1604.387
0.0508,1570.875
0.0510,1602.866
0.0512,1577.535
0.0514,1976.736
0.0516,1753.515
0.0518,1524.796
0.0520,1562.870
0.0522,1564.965
0.0524,1573.345
0.0526,1602.675
0.0528,1562.870
0.0530,1621.530
0.0532,1583.442
0.0534,1707.018
0.0536,1868.740
0.0538,1894.106
0.0540,1923.899
