up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 916322	 0.7241379	 11446 16265 64075	 1 1.0	 1 488037 24141
 916840	 0.22000718	 11453 16277 64127	 1 1.0	 1 488037 24141
 917324	 0.22000718	 11464 16291 64176	 1 1.0	 1 488037 24141
 917831	 0.22000718	 11469 16302 64227	 1 1.0	 1 488101 24141
 918327	 0.22000718	 11474 16311 64276	 1 1.0	 1 488101 24141
 918818	 0.8965517	 11487 16328 64333	 1 1.0	 1 488101 24141
 919316	 0.3448276	 11508 16356 64375	 1 1.0	 1 488101 24141
 919831	 0.22000718	 11516 16368 64427	 1 1.0	 1 488101 24141
 920327	 0.22000718	 11523 16379 64477	 1 1.0	 1 488101 24141
 920805	 0.8965517	 11531 16389 64523	 1 1.0	 1 488165 24141
 921320	 0.22000718	 11545 16406 64576	 1 1.0	 1 488165 24141
 921824	 0.22000718	 11554 16416 64626	 1 1.0	 1 488165 24141
 922323	 0.22000718	 11560 16425 64676	 1 1.0	 1 488165 24141
 922828	 0.22000718	 11569 16436 64727	 1 1.0	 1 488165 24141
 923333	 0.22000718	 11575 16445 64776	 1 1.0	 1 488165 24141
 923830	 0.22000718	 11582 16454 64826	 1 1.0	 1 488229 24141
 924305	 0.22000718	 11594 16468 64878	 1 1.0	 1 488229 24141
 924825	 0.22000718	 11603 16482 64930	 1 1.0	 1 488229 24141
 925318	 0.22000718	 11613 16493 64976	 1 1.0	 1 488229 24141
 925818	 0.22000718	 11615 16501 65026	 1 1.0	 1 488229 24141
 926304	 0.22000718	 11618 16509 65075	 1 1.0	 1 488229 24141
 926829	 0.22000718	 11625 16519 65126	 1 1.0	 1 488293 24141
 927312	 0.22000718	 11631 16526 65173	 1 1.0	 1 488293 24141
 927827	 0.8965517	 11635 16537 65226	 1 1.0	 1 488293 24141
 928324	 0.22000718	 11642 16546 65276	 1 1.0	 1 488293 24141
 928818	 0.22000718	 11652 16560 65326	 1 1.0	 1 488293 24141
 929324	 0.22000718	 11655 16568 65375	 1 1.0	 1 488293 24141
 929825	 0.22000718	 11664 16581 65426	 1 1.0	 1 488357 24141
 930326	 0.22000718	 11672 16590 65476	 1 1.0	 1 488357 24141
 930837	 0.22000718	 11678 16601 65528	 1 1.0	 1 488357 24141
 931319	 0.22000718	 11683 16609 65575	 1 1.0	 1 488357 24141
 931828	 0.22000718	 11689 16619 65626	 1 1.0	 1 488357 24141
 932326	 0.22000718	 11696 16628 65676	 1 1.0	 1 488357 24141
 932824	 0.22000718	 11706 16642 65726	 1 1.0	 1 488421 24141
 933324	 0.22000718	 11711 16652 65776	 1 1.0	 1 488421 24141
 933823	 0.22000718	 11719 16661 65826	 1 1.0	 1 488421 24141
 934324	 0.22000718	 11725 16669 65876	 1 1.0	 1 488421 24141
 934804	 0.22000718	 11732 16679 65926	 1 1.0	 1 488421 24141
 935319	 0.22000718	 11738 16688 65976	 1 1.0	 1 488421 24141
 935825	 0.22000718	 11744 16697 66026	 1 1.0	 1 488485 24141
 936375	 0.8965517	 11754 16710 66079	 1 1.0	 1 488485 24141
