Time (s),Main Avg Power (mW)
0.0000,488.925
0.0002,472.448
0.0004,468.821
0.0006,444.705
0.0008,441.254
0.0010,417.253
0.0012,369.150
0.0014,382.018
0.0016,439.408
0.0018,448.517
0.0020,439.288
0.0022,435.479
0.0024,444.705
0.0026,431.847
0.0028,428.330
0.0030,431.905
0.0032,419.099
0.0034,441.254
0.0036,446.672
0.0038,448.517
0.0040,448.517
0.0042,455.839
0.0044,483.586
0.0046,444.766
0.0048,444.826
0.0050,448.517
0.0052,454.301
0.0054,454.301
0.0056,452.393
0.0058,461.438
0.0060,455.900
0.0062,459.467
0.0064,481.871
0.0066,459.530
0.0068,453.931
0.0070,446.551
0.0072,448.396
0.0074,491.236
0.0076,452.209
0.0078,452.393
0.0080,448.639
0.0082,446.611
0.0084,480.025
0.0086,452.147
0.0088,450.241
0.0090,444.766
0.0092,440.955
0.0094,448.517
0.0096,439.408
0.0098,441.254
0.0100,443.100
0.0102,448.760
0.0104,472.448
0.0106,465.129
0.0108,446.793
0.0110,446.672
0.0112,442.920
0.0114,437.561
0.0116,437.561
0.0118,472.640
0.0120,446.853
0.0122,450.546
0.0124,466.975
0.0126,468.948
0.0128,446.611
0.0130,444.705
0.0132,446.551
0.0134,453.993
0.0136,455.777
0.0138,454.178
0.0140,457.994
0.0142,455.777
0.0144,476.333
0.0146,476.333
0.0148,452.209
0.0150,439.169
0.0152,457.746
0.0154,448.396
0.0156,442.920
0.0158,442.920
0.0160,446.793
0.0162,450.485
0.0164,457.994
0.0166,478.179
0.0168,454.055
0.0170,446.853
0.0172,441.074
0.0174,431.905
0.0176,367.404
0.0178,374.586
0.0180,431.905
0.0182,450.363
0.0184,446.672
0.0186,452.393
0.0188,430.176
0.0190,426.368
0.0192,426.253
0.0194,441.254
0.0196,422.562
0.0198,430.001
0.0200,483.718
0.0202,448.457
0.0204,452.147
0.0206,472.704
0.0208,456.086
0.0210,454.239
0.0212,446.793
0.0214,444.766
0.0216,450.241
0.0218,452.209
0.0220,450.241
0.0222,455.777
0.0224,455.839
0.0226,478.179
0.0228,470.794
