Time (s),Main Avg Power (mW)
0.0000,947.126
0.0002,939.359
0.0004,957.685
0.0006,972.710
0.0008,952.407
0.0010,968.756
0.0012,946.357
0.0014,966.911
0.0016,961.245
0.0018,959.530
0.0020,922.875
0.0022,920.904
0.0024,950.432
0.0026,989.188
0.0028,954.123
0.0030,939.232
0.0032,917.089
0.0034,946.613
0.0036,944.768
0.0038,917.089
0.0040,911.677
0.0042,906.141
0.0044,972.578
0.0046,947.126
0.0048,920.904
0.0050,907.863
0.0052,948.330
0.0054,907.863
0.0056,902.205
0.0058,905.772
0.0060,913.275
0.0062,913.399
0.0064,902.450
0.0066,924.470
0.0068,922.875
0.0070,909.955
0.0072,900.482
0.0074,906.018
0.0076,911.554
0.0078,904.050
0.0080,906.018
0.0082,904.050
0.0084,907.863
0.0086,888.287
0.0088,913.523
0.0090,950.432
0.0092,948.458
0.0094,959.530
0.0096,944.896
0.0098,935.542
0.0100,942.923
0.0102,961.375
0.0104,929.880
0.0106,952.278
0.0108,952.407
0.0110,930.132
0.0112,909.831
0.0114,939.232
0.0116,939.232
0.0118,942.795
0.0120,937.387
0.0122,894.946
0.0124,922.625
0.0126,927.909
0.0128,959.660
0.0130,906.263
0.0132,937.895
0.0134,952.665
0.0136,893.101
0.0138,896.792
0.0140,887.445
0.0142,887.685
0.0144,883.875
0.0146,881.791
0.0148,900.482
0.0150,871.076
0.0152,887.806
0.0154,895.068
0.0156,887.685
0.0158,869.113
0.0160,915.244
0.0162,915.244
0.0164,900.482
0.0166,887.445
0.0168,916.965
0.0170,902.327
0.0172,893.343
0.0174,891.497
0.0176,891.739
0.0178,900.726
0.0180,898.758
0.0182,891.377
0.0184,889.411
0.0186,933.443
0.0188,976.269
0.0190,933.823
0.0192,915.368
0.0194,907.863
0.0196,902.816
0.0198,902.450
0.0200,898.758
0.0202,904.417
0.0204,906.141
0.0206,920.655
0.0208,942.923
0.0210,924.470
0.0212,896.792
0.0214,894.946
0.0216,895.068
0.0218,922.875
0.0220,967.173
0.0222,970.733
0.0224,950.304
0.0226,974.292
0.0228,959.530
0.0230,913.399
0.0232,891.014
0.0234,889.411
0.0236,887.084
0.0238,898.637
0.0240,888.046
0.0242,883.995
0.0244,889.411
0.0246,893.222
0.0248,896.913
0.0250,865.657
0.0252,858.157
0.0254,854.119
0.0256,898.515
0.0258,900.482
0.0260,883.995
0.0262,891.377
0.0264,885.960
0.0266,885.840
0.0268,892.980
0.0270,939.232
0.0272,920.780
0.0274,876.494
0.0276,867.268
0.0278,876.256
0.0280,894.946
0.0282,928.412
0.0284,875.122
0.0286,904.050
0.0288,963.221
0.0290,972.578
0.0292,933.823
0.0294,922.625
0.0296,935.415
0.0298,920.655
0.0300,924.470
0.0302,944.640
0.0304,953.994
0.0306,939.359
0.0308,915.244
0.0310,924.721
0.0312,911.677
0.0314,882.149
0.0316,896.670
0.0318,915.120
0.0320,905.895
0.0322,891.256
0.0324,919.059
0.0326,939.487
0.0328,917.214
0.0330,918.935
0.0332,944.768
0.0334,904.295
0.0336,903.928
0.0338,929.880
0.0340,907.740
0.0342,909.708
0.0344,919.059
0.0346,915.244
0.0348,909.955
0.0350,911.677
0.0352,944.896
0.0354,915.492
0.0356,906.141
0.0358,917.089
0.0360,916.965
0.0362,916.965
0.0364,907.863
0.0366,911.554
0.0368,913.523
0.0370,907.863
0.0372,943.178
0.0374,922.875
0.0376,911.800
0.0378,913.523
0.0380,930.006
0.0382,911.554
0.0384,920.780
0.0386,944.640
0.0388,987.209
0.0390,952.407
0.0392,956.487
0.0394,959.790
0.0396,924.470
0.0398,953.865
0.0400,948.587
0.0402,930.006
0.0404,927.909
0.0406,942.923
0.0408,957.166
0.0410,950.175
0.0412,957.685
0.0414,930.132
0.0416,858.157
0.0418,900.360
0.0420,998.280
0.0422,981.673
0.0424,939.359
0.0426,926.315
0.0428,902.083
0.0430,909.585
0.0432,946.613
0.0434,976.269
0.0436,961.505
0.0438,922.625
0.0440,920.904
0.0442,913.399
0.0444,950.432
0.0446,948.330
0.0448,883.875
0.0450,867.268
0.0452,917.214
0.0454,917.338
0.0456,896.792
0.0458,884.354
0.0460,870.958
0.0462,906.263
0.0464,900.604
0.0466,893.222
0.0468,885.840
0.0470,880.184
0.0472,889.290
0.0474,905.895
0.0476,891.256
0.0478,867.385
0.0480,867.385
0.0482,928.412
0.0484,965.589
0.0486,956.099
0.0488,987.476
0.0490,976.137
0.0492,929.880
0.0494,933.570
0.0496,922.500
0.0498,963.221
0.0500,918.935
0.0502,909.708
0.0504,913.523
0.0506,915.368
0.0508,926.315
0.0510,920.780
0.0512,987.209
0.0514,1005.661
0.0516,994.724
0.0518,1018.764
0.0520,1413.462
0.0522,1446.872
0.0524,1391.318
0.0526,1395.198
0.0528,1359.949
0.0530,1359.949
0.0532,1448.914
0.0534,1389.473
0.0536,1404.045
0.0538,1427.837
0.0540,1476.400
0.0542,1375.810
0.0544,1413.462
0.0546,1393.353
0.0548,1367.516
0.0550,1354.413
0.0552,1343.160
0.0554,1635.999
0.0556,1424.533
0.0558,1355.891
0.0560,1415.307
0.0562,1423.761
0.0564,1372.866
0.0566,1380.247
0.0568,1385.970
0.0570,1379.499
0.0572,1398.889
0.0574,1406.843
0.0576,1422.880
0.0578,1402.580
0.0580,1306.437
0.0582,1311.973
0.0584,1388.156
0.0586,1392.975
0.0588,1422.688
0.0590,1428.417
0.0592,1420.843
0.0594,1454.254
0.0596,1472.510
0.0598,1473.556
0.0600,1449.974
0.0602,1402.390
0.0604,1411.616
0.0606,1405.890
0.0608,1415.499
0.0610,1417.536
0.0612,1418.228
0.0614,1408.116
0.0616,1419.189
0.0618,1435.604
0.0620,1430.262
0.0622,1445.026
0.0624,1393.164
0.0626,1384.125
0.0628,1405.890
0.0630,1407.926
0.0632,1400.734
0.0634,1396.854
0.0636,1407.926
0.0638,1430.069
0.0640,1393.353
0.0642,1372.866
0.0644,1367.330
0.0646,1391.318
0.0648,1400.355
0.0650,1403.094
0.0652,1402.390
0.0654,1440.164
0.0656,1413.844
0.0658,1424.533
0.0660,1385.970
0.0662,1459.791
0.0664,1481.094
0.0666,1444.831
0.0668,1474.355
0.0670,1474.155
0.0672,1455.902
0.0674,1448.718
0.0676,1469.217
0.0678,1487.674
0.0680,1433.759
0.0682,1445.614
0.0684,1407.544
0.0686,1433.953
0.0688,1453.269
0.0690,1468.819
0.0692,1382.092
0.0694,1437.450
0.0696,1409.771
0.0698,1463.481
0.0700,1453.663
0.0702,1408.116
0.0704,1457.748
0.0706,1405.128
0.0708,1487.271
0.0710,1463.481
0.0712,1458.142
0.0714,1377.281
0.0716,1465.129
0.0718,1478.245
0.0720,1405.128
0.0722,1450.563
0.0724,1383.188
0.0726,1442.594
0.0728,1461.636
0.0730,1382.813
0.0732,1444.831
0.0734,1399.647
0.0736,1422.688
0.0738,1477.845
0.0740,1426.572
0.0742,1448.914
0.0744,1335.056
0.0746,1376.557
0.0748,1339.289
