Time (s),Main Avg Power (mW)
0.0000,11.575
0.0002,10.797
0.0004,12.395
0.0006,10.103
0.0008,10.103
0.0010,10.657
0.0012,10.531
0.0014,11.578
0.0016,16.124
0.0018,11.463
0.0020,10.081
0.0022,11.270
0.0024,10.349
0.0026,11.524
0.0028,10.383
0.0030,10.499
0.0032,10.314
0.0034,11.967
0.0036,11.314
0.0038,10.657
0.0040,11.447
0.0042,9.626
0.0044,12.174
0.0046,15.374
0.0048,10.723
0.0050,11.145
0.0052,10.484
0.0054,12.312
0.0056,9.823
0.0058,11.215
0.0060,10.154
0.0062,11.429
0.0064,10.679
0.0066,11.439
0.0068,10.753
0.0070,10.041
0.0072,10.763
0.0074,10.782
0.0076,12.030
0.0078,16.892
0.0080,10.516
0.0082,9.626
0.0084,26.907
0.0086,11.676
0.0088,10.885
0.0090,10.794
0.0092,10.590
0.0094,11.993
0.0096,10.968
0.0098,10.184
0.0100,11.810
0.0102,13.154
0.0104,21.285
0.0106,21.848
0.0108,28.351
0.0110,26.095
0.0112,27.332
0.0114,29.414
0.0116,29.330
0.0118,26.025
0.0120,29.348
0.0122,29.825
0.0124,27.313
0.0126,39.096
0.0128,48.135
0.0130,57.721
0.0132,58.414
0.0134,46.201
0.0136,23.182
0.0138,13.546
0.0140,9.645
0.0142,11.338
0.0144,16.262
0.0146,11.877
0.0148,10.457
0.0150,10.883
0.0152,10.410
0.0154,10.782
0.0156,10.888
0.0158,11.175
0.0160,10.333
0.0162,11.447
0.0164,9.287
0.0166,12.491
0.0168,10.569
0.0170,10.336
0.0172,14.957
0.0174,12.883
0.0176,13.544
0.0178,10.813
0.0180,11.277
0.0182,10.361
0.0184,10.438
0.0186,11.432
0.0188,11.745
0.0190,9.925
0.0192,10.828
0.0194,10.717
0.0196,11.439
0.0198,11.795
0.0200,10.274
0.0202,11.326
0.0204,16.759
0.0206,11.086
0.0208,10.828
0.0210,10.693
0.0212,10.979
0.0214,10.040
0.0216,12.001
0.0218,10.451
0.0220,11.033
0.0222,10.568
0.0224,11.030
0.0226,10.150
0.0228,11.943
0.0230,10.658
0.0232,10.332
0.0234,10.878
0.0236,15.922
0.0238,12.453
0.0240,10.745
0.0242,11.241
0.0244,9.380
0.0246,11.348
0.0248,11.278
0.0250,11.655
0.0252,9.209
0.0254,11.264
0.0256,10.379
0.0258,11.264
0.0260,11.233
0.0262,10.021
0.0264,11.274
0.0266,10.177
0.0268,18.950
0.0270,10.531
0.0272,10.211
0.0274,11.205
0.0276,10.033
0.0278,12.342
0.0280,10.569
0.0282,11.558
0.0284,9.986
0.0286,9.870
0.0288,11.380
0.0290,10.481
0.0292,11.580
0.0294,9.601
0.0296,10.735
0.0298,16.372
0.0300,12.047
0.0302,10.244
0.0304,9.376
0.0306,11.348
0.0308,10.062
0.0310,12.438
0.0312,10.066
0.0314,11.070
0.0316,9.805
0.0318,11.148
0.0320,11.041
0.0322,10.270
0.0324,11.503
0.0326,9.918
0.0328,11.008
0.0330,18.103
0.0332,10.984
0.0334,9.933
0.0336,11.314
0.0338,9.951
0.0340,12.281
0.0342,10.546
0.0344,10.041
0.0346,10.531
0.0348,10.252
0.0350,12.525
0.0352,10.258
0.0354,11.673
0.0356,9.952
0.0358,11.448
0.0360,10.339
0.0362,17.588
0.0364,10.856
0.0366,10.250
0.0368,11.170
0.0370,9.889
0.0372,12.674
0.0374,10.213
0.0376,10.646
0.0378,10.081
0.0380,10.536
0.0382,12.349
0.0384,9.876
0.0386,11.082
0.0388,10.258
0.0390,11.429
0.0392,11.871
0.0394,15.276
0.0396,9.785
0.0398,10.129
0.0400,10.911
0.0402,11.063
0.0404,11.507
0.0406,10.011
0.0408,11.326
0.0410,9.514
0.0412,12.431
0.0414,10.503
0.0416,10.442
0.0418,9.930
0.0420,10.933
0.0422,11.001
0.0424,16.749
0.0426,11.617
0.0428,9.982
0.0430,11.035
0.0432,10.797
0.0434,11.498
0.0436,10.617
0.0438,11.326
0.0440,9.780
0.0442,11.782
0.0444,10.880
0.0446,12.222
0.0448,9.719
0.0450,9.490
0.0452,11.503
0.0454,11.314
0.0456,18.074
0.0458,9.421
0.0460,11.609
0.0462,9.864
0.0464,12.859
0.0466,10.541
0.0468,9.723
0.0470,11.473
0.0472,10.105
0.0474,12.230
0.0476,10.568
0.0478,11.085
0.0480,10.775
0.0482,10.135
0.0484,11.004
0.0486,11.838
0.0488,17.438
0.0490,9.253
0.0492,10.335
0.0494,11.210
0.0496,11.795
0.0498,10.140
0.0500,10.890
0.0502,10.283
0.0504,12.143
0.0506,10.909
0.0508,11.668
0.0510,9.844
0.0512,9.914
0.0514,10.922
0.0516,11.072
0.0518,12.074
0.0520,15.940
0.0522,10.798
0.0524,9.627
0.0526,12.743
0.0528,10.340
0.0530,10.798
0.0532,10.033
0.0534,11.351
0.0536,11.100
