Time (s),Main Avg Power (mW)
0.0000,10.366
0.0002,13.035
0.0004,16.613
0.0006,10.881
0.0008,12.111
0.0010,11.568
0.0012,11.422
0.0014,12.285
0.0016,12.276
0.0018,12.193
0.0020,12.728
0.0022,9.662
0.0024,13.791
0.0026,11.528
0.0028,11.215
0.0030,12.313
0.0032,10.068
0.0034,12.883
0.0036,16.742
0.0038,10.319
0.0040,13.363
0.0042,10.361
0.0044,12.728
0.0046,10.595
0.0048,11.153
0.0050,12.541
0.0052,11.206
0.0054,11.466
0.0056,10.853
0.0058,11.761
0.0060,11.540
0.0062,11.887
0.0064,10.652
0.0066,18.996
0.0068,11.668
0.0070,9.913
0.0072,12.551
0.0074,10.623
0.0076,12.433
0.0078,11.934
0.0080,9.795
0.0082,13.219
0.0084,10.491
0.0086,11.182
0.0088,12.903
0.0090,10.203
0.0092,12.791
0.0094,10.512
0.0096,10.980
0.0098,18.174
0.0100,11.634
0.0102,11.794
0.0104,10.593
0.0106,10.837
0.0108,13.042
0.0110,10.956
0.0112,10.747
0.0114,11.444
0.0116,12.326
0.0118,10.719
0.0120,11.498
0.0122,11.591
0.0124,11.125
0.0126,12.256
0.0128,16.742
0.0130,12.640
0.0132,10.366
0.0134,12.111
0.0136,11.990
0.0138,9.697
0.0140,12.699
0.0142,11.185
0.0144,10.403
0.0146,13.051
0.0148,10.403
0.0150,11.613
0.0152,11.931
0.0154,10.201
0.0156,12.547
0.0158,10.891
0.0160,17.673
0.0162,12.076
0.0164,10.918
0.0166,12.436
0.0168,10.779
0.0170,11.389
0.0172,11.554
0.0174,11.673
0.0176,11.237
0.0178,11.473
0.0180,11.103
0.0182,11.525
0.0184,12.023
0.0186,10.821
0.0188,11.358
0.0190,18.470
0.0192,10.137
0.0194,12.610
0.0196,36.302
0.0198,13.876
0.0200,12.175
0.0202,10.577
0.0204,11.968
0.0206,12.344
0.0208,10.838
0.0210,13.131
0.0212,9.915
0.0214,12.307
0.0216,19.540
0.0218,21.877
0.0220,25.833
0.0222,26.354
0.0224,32.543
0.0226,27.505
0.0228,26.583
0.0230,30.728
0.0232,31.149
0.0234,27.797
0.0236,27.491
0.0238,36.371
0.0240,44.571
0.0242,54.413
0.0244,58.480
0.0246,57.462
0.0248,30.702
0.0250,17.242
0.0252,12.754
0.0254,10.912
0.0256,18.211
0.0258,12.015
0.0260,10.047
0.0262,13.127
0.0264,10.231
0.0266,10.829
0.0268,12.170
0.0270,10.313
0.0272,13.378
0.0274,10.366
0.0276,11.153
0.0278,12.514
0.0280,11.318
0.0282,11.820
0.0284,15.084
0.0286,12.852
0.0288,12.027
0.0290,11.262
0.0292,10.431
0.0294,11.617
0.0296,11.820
0.0298,11.012
0.0300,12.089
0.0302,10.979
0.0304,11.649
0.0306,12.252
0.0308,10.187
0.0310,12.684
0.0312,10.364
0.0314,11.779
0.0316,18.724
0.0318,10.010
0.0320,13.035
0.0322,10.745
0.0324,10.976
0.0326,12.197
0.0328,11.104
0.0330,12.020
0.0332,11.104
0.0334,11.153
0.0336,11.643
0.0338,11.761
0.0340,11.125
0.0342,12.015
0.0344,11.088
0.0346,18.751
0.0348,11.215
0.0350,11.212
0.0352,11.444
0.0354,11.735
0.0356,11.001
0.0358,12.429
0.0360,10.602
0.0362,10.763
0.0364,12.285
0.0366,11.204
0.0368,11.921
0.0370,11.092
0.0372,10.488
0.0374,12.961
